counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;102,468;105,999;90,839;-47,419;0.01600000
1.00000000;0.00000000;0.00000000;102,479;106,011;90,847;-47,417;26.40100000
2.00000000;0.00000000;0.00000000;102,489;106,017;90,854;-47,419;48.44800000
3.00000000;0.00000000;0.00000000;102,502;106,030;90,864;-47,420;71.27500000
4.00000000;0.00000000;0.00000000;102,511;106,041;90,874;-47,422;93.34000000
5.00000000;0.00000000;0.00000000;102,524;106,054;90,887;-47,423;115.39100000
6.00000000;0.00000000;0.00000000;102,536;106,066;90,900;-47,428;137.86900000
7.00000000;0.00000000;0.00000000;102,548;106,079;90,913;-47,437;160.00600000
8.00000000;0.00000000;0.00000000;102,559;106,092;90,928;-47,446;182.22300000
9.00000000;0.00000000;0.00000000;102,569;106,104;90,943;-47,456;204.61400000
10.00000000;0.00000000;0.00000000;102,580;106,116;90,958;-47,465;226.54900000
11.00000000;0.00000000;0.00000000;102,594;106,130;90,974;-47,474;248.85800000
12.00000000;0.00000000;0.00000000;102,603;106,142;90,988;-47,481;271.37900000
13.00000000;0.00000000;0.00000000;102,612;106,155;91,002;-47,487;293.37300000
14.00000000;0.00000000;0.00000000;102,623;106,167;91,018;-47,495;315.38600000
15.00000000;0.00000000;0.00000000;102,633;106,178;91,031;-47,500;338.24100000
16.00000000;0.00000000;0.00000000;102,643;106,189;91,043;-47,508;360.71200000
17.00000000;0.00000000;0.00000000;102,653;106,200;91,052;-47,514;382.88300000
18.00000000;0.00000000;0.00000000;102,663;106,211;91,059;-47,519;404.84700000
19.00000000;0.00000000;0.00000000;102,673;106,222;91,068;-47,524;426.83000000
20.00000000;0.00000000;0.00000000;102,682;106,231;91,074;-47,527;448.74000000
21.00000000;0.00000000;0.00000000;102,693;106,242;91,081;-47,531;471.85600000
22.00000000;0.00000000;0.00000000;102,702;106,252;91,088;-47,534;493.66400000
23.00000000;0.00000000;0.00000000;102,712;106,262;91,096;-47,538;515.76300000
24.00000000;0.00000000;0.00000000;102,720;106,271;91,103;-47,541;538.50600000
25.00000000;0.00000000;0.00000000;102,730;106,281;91,111;-47,546;560.23700000
26.00000000;0.00000000;0.00000000;102,738;106,291;91,118;-47,550;581.95600000
27.00000000;0.00000000;0.00000000;102,746;106,300;91,127;-47,555;604.52700000
28.00000000;0.00000000;0.00000000;102,755;106,309;91,135;-47,562;626.35700000
29.00000000;0.00000000;0.00000000;102,764;106,319;91,143;-47,569;648.34400000
30.00000000;0.00000000;0.00000000;102,772;106,328;91,152;-47,577;671.35300000
31.00000000;0.00000000;0.00000000;102,780;106,336;91,159;-47,583;693.48300000
32.00000000;0.00000000;0.00000000;102,786;106,344;91,166;-47,589;715.78700000
33.00000000;0.00000000;0.00000000;102,793;106,352;91,173;-47,596;738.32800000
34.00000000;0.00000000;0.00000000;102,801;106,359;91,180;-47,601;760.46400000
35.00000000;0.00000000;0.00000000;102,807;106,366;91,188;-47,607;782.52000000
36.00000000;0.00000000;0.00000000;102,813;106,372;91,194;-47,612;805.22200000
37.00000000;0.00000000;0.00000000;102,819;106,379;91,202;-47,617;827.26100000
38.00000000;0.00000000;0.00000000;102,825;106,386;91,208;-47,621;849.60200000
39.00000000;0.00000000;0.00000000;102,830;106,391;91,215;-47,625;871.98500000
40.00000000;0.00000000;0.00000000;102,834;106,397;91,222;-47,628;893.54900000
41.00000000;0.00000000;0.00000000;102,840;106,402;91,229;-47,631;915.62900000
42.00000000;0.00000000;0.00000000;102,844;106,406;91,235;-47,634;938.64100000
43.00000000;0.00000000;0.00000000;102,848;106,411;91,242;-47,639;960.33400000
44.00000000;0.00000000;0.00000000;102,852;106,414;91,246;-47,644;981.76200000
45.00000000;0.00000000;0.00000000;102,854;106,415;91,249;-47,647;1,004.25100000
46.00000000;0.00000000;0.00000000;102,855;106,416;91,251;-47,651;1,026.02000000
47.00000000;0.00000000;0.00000000;102,856;106,417;91,252;-47,656;1,047.11700000
48.00000000;0.00000000;0.00000000;102,856;106,419;91,253;-47,660;1,068.96500000
49.00000000;0.00000000;0.00000000;102,856;106,417;91,255;-47,664;1,089.24900000
50.00000000;0.00000000;0.00000000;102,856;106,416;91,256;-47,667;1,110.61500000
51.00000000;0.00000000;0.00000000;102,852;106,415;91,259;-47,670;1,132.40300000
52.00000000;0.00000000;0.00000000;102,850;106,412;91,262;-47,674;1,155.13900000
53.00000000;0.00000000;0.00000000;102,846;106,409;91,264;-47,678;1,176.87200000
54.00000000;0.00000000;0.00000000;102,843;106,405;91,266;-47,683;1,198.66100000
55.00000000;0.00000000;0.00000000;102,837;106,400;91,268;-47,689;1,221.75500000
56.00000000;0.00000000;0.00000000;102,832;106,395;91,270;-47,695;1,243.61300000
57.00000000;0.00000000;0.00000000;102,827;106,391;91,271;-47,700;1,265.70200000
58.00000000;0.00000000;0.00000000;102,819;106,382;91,275;-47,706;1,290.08400000
59.00000000;0.00000000;0.00000000;102,812;106,376;91,279;-47,708;1,313.37700000
60.00000000;0.00000000;0.00000000;102,804;106,367;91,284;-47,711;1,339.45700000
61.00000000;0.00000000;0.00000000;102,801;106,360;91,287;-47,713;1,362.65000000
62.00000000;0.00000000;0.00000000;102,794;106,356;91,286;-47,716;1,384.75500000
63.00000000;0.00000000;0.00000000;102,787;106,358;91,290;-47,716;1,406.27800000
64.00000000;0.00000000;0.00000000;102,787;106,351;91,291;-47,718;1,427.96500000
65.00000000;0.00000000;0.00000000;102,787;106,347;91,293;-47,722;1,449.89800000
66.00000000;0.00000000;0.00000000;102,783;106,342;91,292;-47,724;1,472.05500000
67.00000000;0.00000000;0.00000000;102,780;106,338;91,296;-47,726;1,493.98700000
68.00000000;0.00000000;0.00000000;102,777;106,335;91,294;-47,728;1,515.30400000
69.00000000;0.00000000;0.00000000;102,775;106,333;91,297;-47,730;1,537.98600000
70.00000000;0.00000000;0.00000000;102,774;106,331;91,300;-47,730;1,559.20000000
71.00000000;0.00000000;0.00000000;102,773;106,331;91,302;-47,730;1,580.01400000
72.00000000;0.00000000;0.00000000;102,773;106,331;91,304;-47,730;1,600.59700000
73.00000000;0.00000000;0.00000000;102,773;106,331;91,306;-47,730;1,621.57000000
74.00000000;0.00000000;0.00000000;102,776;106,334;91,312;-47,730;1,642.87500000
75.00000000;0.00000000;0.00000000;102,779;106,337;91,315;-47,730;1,663.85300000
76.00000000;0.00000000;0.00000000;102,782;106,341;91,319;-47,731;1,685.85400000
77.00000000;0.00000000;0.00000000;102,787;106,347;91,323;-47,732;1,707.23400000
78.00000000;0.00000000;0.00000000;102,792;106,352;91,327;-47,734;1,729.28300000
79.00000000;0.00000000;0.00000000;102,798;106,359;91,331;-47,735;1,750.64900000
80.00000000;0.00000000;0.00000000;102,805;106,365;91,337;-47,737;1,772.55000000
81.00000000;0.00000000;0.00000000;102,811;106,372;91,344;-47,738;1,794.26700000
82.00000000;0.00000000;0.00000000;102,816;106,378;91,352;-47,740;1,816.31100000
83.00000000;0.00000000;0.00000000;102,823;106,386;91,359;-47,741;1,839.38300000
84.00000000;0.00000000;0.00000000;102,831;106,393;91,368;-47,743;1,861.59100000
85.00000000;0.00000000;0.00000000;102,838;106,402;91,375;-47,743;1,883.68600000
86.00000000;0.00000000;0.00000000;102,847;106,410;91,383;-47,744;1,906.48000000
87.00000000;0.00000000;0.00000000;102,856;106,419;91,391;-47,744;1,928.83200000
88.00000000;0.00000000;0.00000000;102,866;106,429;91,398;-47,744;1,951.67300000
89.00000000;0.00000000;0.00000000;102,876;106,441;91,403;-47,744;1,974.18700000
90.00000000;0.00000000;0.00000000;102,886;106,451;91,407;-47,744;1,996.67000000
91.00000000;0.00000000;0.00000000;102,898;106,462;91,410;-47,745;2,020.00100000
92.00000000;0.00000000;0.00000000;102,909;106,474;91,410;-47,746;2,042.65900000
93.00000000;0.00000000;0.00000000;102,921;106,487;91,412;-47,746;2,065.95100000
94.00000000;0.00000000;0.00000000;102,933;106,498;91,417;-47,747;2,090.04100000
95.00000000;0.00000000;0.00000000;102,945;106,509;91,422;-47,746;2,112.09500000
96.00000000;0.00000000;0.00000000;102,957;106,520;91,429;-47,746;2,133.45300000
97.00000000;0.00000000;0.00000000;102,971;106,533;91,438;-47,745;2,156.29700000
98.00000000;0.00000000;0.00000000;102,984;106,543;91,446;-47,747;2,178.09900000
99.00000000;0.00000000;0.00000000;102,996;106,554;91,454;-47,748;2,199.84700000
100.00000000;0.00000000;0.00000000;103,011;106,565;91,462;-47,748;2,222.56100000
101.00000000;0.00000000;0.00000000;103,025;106,580;91,470;-47,748;2,244.27300000
102.00000000;0.00000000;0.00000000;103,036;106,592;91,475;-47,750;2,265.93200000
103.00000000;0.00000000;0.00000000;103,050;106,605;91,482;-47,752;2,288.63500000
104.00000000;0.00000000;0.00000000;103,062;106,618;91,486;-47,752;2,310.49000000
105.00000000;0.00000000;0.00000000;103,074;106,633;91,490;-47,755;2,332.65700000
106.00000000;0.00000000;0.00000000;103,086;106,640;91,495;-47,757;2,356.10900000
107.00000000;0.00000000;0.00000000;103,097;106,653;91,500;-47,761;2,378.42100000
108.00000000;0.00000000;0.00000000;103,108;106,664;91,507;-47,765;2,400.73500000
