counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;74,857;76,750;59,747;-78,364;0.01500000
1.00000000;0.00000000;0.00000000;74,863;76,753;59,748;-78,363;27.05100000
2.00000000;0.00000000;0.00000000;74,870;76,754;59,749;-78,363;48.64800000
3.00000000;0.00000000;0.00000000;74,877;76,758;59,749;-78,363;69.83500000
4.00000000;0.00000000;0.00000000;74,885;76,758;59,749;-78,363;91.87600000
5.00000000;0.00000000;0.00000000;74,891;76,759;59,749;-78,363;112.94900000
6.00000000;0.00000000;0.00000000;74,897;76,767;59,749;-78,363;133.90300000
7.00000000;0.00000000;0.00000000;74,903;76,772;59,746;-78,363;154.06000000
8.00000000;0.00000000;0.00000000;74,909;76,779;59,745;-78,362;176.18100000
9.00000000;0.00000000;0.00000000;74,914;76,784;59,745;-78,361;197.92000000
10.00000000;0.00000000;0.00000000;74,921;76,791;59,747;-78,359;220.30100000
11.00000000;0.00000000;0.00000000;74,927;76,797;59,747;-78,357;242.94800000
12.00000000;0.00000000;0.00000000;74,932;76,802;59,747;-78,357;263.90500000
13.00000000;0.00000000;0.00000000;74,938;76,808;59,747;-78,357;284.93000000
14.00000000;0.00000000;0.00000000;74,942;76,812;59,747;-78,357;305.88200000
15.00000000;0.00000000;0.00000000;74,946;76,815;59,747;-78,357;327.43300000
16.00000000;0.00000000;0.00000000;74,949;76,818;59,747;-78,359;348.79600000
17.00000000;0.00000000;0.00000000;74,951;76,820;59,745;-78,359;370.22000000
18.00000000;0.00000000;0.00000000;74,954;76,823;59,743;-78,359;392.62800000
19.00000000;0.00000000;0.00000000;74,955;76,824;59,743;-78,359;413.94400000
20.00000000;0.00000000;0.00000000;74,956;76,824;59,743;-78,359;435.42000000
21.00000000;0.00000000;0.00000000;74,956;76,825;59,743;-78,359;457.42700000
22.00000000;0.00000000;0.00000000;74,956;76,825;59,743;-78,357;477.71900000
23.00000000;0.00000000;0.00000000;74,956;76,825;59,743;-78,356;498.83600000
24.00000000;0.00000000;0.00000000;74,956;76,823;59,743;-78,354;519.74200000
25.00000000;0.00000000;0.00000000;74,956;76,823;59,743;-78,352;542.03800000
26.00000000;0.00000000;0.00000000;74,956;76,823;59,743;-78,351;562.96600000
27.00000000;0.00000000;0.00000000;74,956;76,822;59,743;-78,350;583.17700000
28.00000000;0.00000000;0.00000000;74,956;76,822;59,743;-78,349;604.38100000
29.00000000;0.00000000;0.00000000;74,956;76,822;59,743;-78,349;626.52100000
30.00000000;0.00000000;0.00000000;74,956;76,822;59,743;-78,348;647.63600000
31.00000000;0.00000000;0.00000000;74,956;76,822;59,743;-78,346;668.60700000
32.00000000;0.00000000;0.00000000;74,957;76,824;59,742;-78,345;689.84300000
33.00000000;0.00000000;0.00000000;74,958;76,826;59,742;-78,345;711.44200000
34.00000000;0.00000000;0.00000000;74,960;76,827;59,742;-78,344;733.07400000
35.00000000;0.00000000;0.00000000;74,961;76,830;59,742;-78,343;754.17600000
36.00000000;0.00000000;0.00000000;74,963;76,832;59,744;-78,343;776.32900000
37.00000000;0.00000000;0.00000000;74,964;76,834;59,744;-78,343;797.64800000
38.00000000;0.00000000;0.00000000;74,966;76,837;59,744;-78,343;819.00100000
39.00000000;0.00000000;0.00000000;74,967;76,839;59,744;-78,343;839.87000000
40.00000000;0.00000000;0.00000000;74,969;76,840;59,744;-78,343;861.00900000
41.00000000;0.00000000;0.00000000;74,970;76,841;59,744;-78,343;882.21900000
42.00000000;0.00000000;0.00000000;74,971;76,843;59,744;-78,343;903.62600000
43.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,343;925.84600000
44.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,343;946.56100000
45.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,343;966.85700000
46.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,343;987.89100000
47.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,343;1,010.06800000
48.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,343;1,031.05200000
49.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,343;1,052.05300000
50.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,343;1,078.16900000
51.00000000;0.00000000;0.00000000;74,972;76,843;59,744;-78,346;1,099.53200000
52.00000000;0.00000000;0.00000000;74,973;76,843;59,744;-78,349;1,120.64200000
53.00000000;0.00000000;0.00000000;74,973;76,843;59,741;-78,353;1,142.81200000
54.00000000;0.00000000;0.00000000;74,973;76,844;59,739;-78,354;1,163.85900000
55.00000000;0.00000000;0.00000000;74,973;76,844;59,738;-78,354;1,184.77700000
56.00000000;0.00000000;0.00000000;74,973;76,844;59,737;-78,354;1,205.01300000
57.00000000;0.00000000;0.00000000;74,971;76,842;59,735;-78,354;1,227.04700000
58.00000000;0.00000000;0.00000000;74,971;76,842;59,735;-78,354;1,250.99000000
59.00000000;0.00000000;0.00000000;74,969;76,840;59,737;-78,352;1,272.07200000
60.00000000;0.00000000;0.00000000;74,968;76,839;59,738;-78,352;1,294.56300000
61.00000000;0.00000000;0.00000000;74,966;76,837;59,739;-78,350;1,315.76300000
62.00000000;0.00000000;0.00000000;74,964;76,834;59,739;-78,348;1,336.96900000
63.00000000;0.00000000;0.00000000;74,960;76,831;59,739;-78,347;1,359.33100000
64.00000000;0.00000000;0.00000000;74,955;76,827;59,739;-78,345;1,380.29300000
65.00000000;0.00000000;0.00000000;74,950;76,823;59,740;-78,343;1,401.21500000
66.00000000;0.00000000;0.00000000;74,945;76,818;59,742;-78,340;1,421.78200000
67.00000000;0.00000000;0.00000000;74,941;76,812;59,743;-78,337;1,444.42800000
68.00000000;0.00000000;0.00000000;74,934;76,806;59,745;-78,334;1,466.05700000
69.00000000;0.00000000;0.00000000;74,933;76,798;59,747;-78,331;1,487.63200000
70.00000000;0.00000000;0.00000000;74,923;76,790;59,750;-78,329;1,510.16100000
71.00000000;0.00000000;0.00000000;74,915;76,781;59,752;-78,329;1,531.41000000
72.00000000;0.00000000;0.00000000;74,905;76,772;59,752;-78,329;1,553.52400000
73.00000000;0.00000000;0.00000000;74,907;76,760;59,752;-78,329;1,577.02600000
74.00000000;0.00000000;0.00000000;74,905;76,749;59,752;-78,331;1,599.19800000
75.00000000;0.00000000;0.00000000;74,898;76,737;59,749;-78,332;1,621.35100000
76.00000000;0.00000000;0.00000000;74,887;76,729;59,746;-78,333;1,644.59000000
77.00000000;0.00000000;0.00000000;74,877;76,716;59,745;-78,331;1,667.98100000
78.00000000;0.00000000;0.00000000;74,865;76,708;59,747;-78,329;1,689.24300000
79.00000000;0.00000000;0.00000000;74,853;76,704;59,751;-78,327;1,711.56700000
80.00000000;0.00000000;0.00000000;74,848;76,700;59,753;-78,326;1,733.25400000
81.00000000;0.00000000;0.00000000;74,842;76,688;59,755;-78,322;1,754.78400000
82.00000000;0.00000000;0.00000000;74,828;76,677;59,756;-78,318;1,777.58800000
83.00000000;0.00000000;0.00000000;74,819;76,672;59,758;-78,317;1,798.98300000
84.00000000;0.00000000;0.00000000;74,806;76,665;59,758;-78,315;1,820.49400000
85.00000000;0.00000000;0.00000000;74,795;76,662;59,758;-78,314;1,842.79000000
86.00000000;0.00000000;0.00000000;74,784;76,659;59,758;-78,313;1,862.94100000
87.00000000;0.00000000;0.00000000;74,773;76,654;59,758;-78,312;1,883.89300000
88.00000000;0.00000000;0.00000000;74,761;76,645;59,759;-78,308;1,905.59700000
89.00000000;0.00000000;0.00000000;74,759;76,636;59,759;-78,304;1,928.13000000
90.00000000;0.00000000;0.00000000;74,760;76,627;59,759;-78,301;1,949.92900000
91.00000000;0.00000000;0.00000000;74,760;76,621;59,759;-78,299;1,971.62900000
92.00000000;0.00000000;0.00000000;74,754;76,614;59,757;-78,298;1,994.11200000
93.00000000;0.00000000;0.00000000;74,747;76,606;59,756;-78,296;2,015.86800000
94.00000000;0.00000000;0.00000000;74,740;76,600;59,756;-78,295;2,037.52700000
95.00000000;0.00000000;0.00000000;74,733;76,594;59,756;-78,294;2,059.93900000
96.00000000;0.00000000;0.00000000;74,727;76,588;59,755;-78,293;2,081.29500000
97.00000000;0.00000000;0.00000000;74,723;76,584;59,755;-78,292;2,102.36300000
98.00000000;0.00000000;0.00000000;74,719;76,579;59,757;-78,292;2,123.14900000
99.00000000;0.00000000;0.00000000;74,716;76,575;59,759;-78,292;2,145.53600000
100.00000000;0.00000000;0.00000000;74,712;76,572;59,761;-78,291;2,166.66100000
101.00000000;0.00000000;0.00000000;74,712;76,567;59,758;-78,290;2,187.81000000
102.00000000;0.00000000;0.00000000;74,712;76,563;59,756;-78,288;2,210.08500000
103.00000000;0.00000000;0.00000000;74,713;76,559;59,758;-78,286;2,231.03700000
104.00000000;0.00000000;0.00000000;74,708;76,554;59,758;-78,283;2,251.30400000
