counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;134,650;141,972;-62,774;409,930;0.01600000
1.00000000;0.00000000;0.00000000;134,652;141,971;-62,778;409,948;22.07300000
2.00000000;0.00000000;0.00000000;134,650;141,971;-62,778;409,959;43.34400000
3.00000000;0.00000000;0.00000000;134,648;141,971;-62,778;409,965;65.52400000
4.00000000;0.00000000;0.00000000;134,648;141,971;-62,778;409,966;87.67800000
5.00000000;0.00000000;0.00000000;134,648;141,970;-62,780;409,966;110.16000000
6.00000000;0.00000000;0.00000000;134,647;141,969;-62,787;409,968;133.53400000
7.00000000;0.00000000;0.00000000;134,646;141,969;-62,797;409,975;155.77100000
8.00000000;0.00000000;0.00000000;134,645;141,969;-62,807;409,986;177.60600000
9.00000000;0.00000000;0.00000000;134,644;141,969;-62,813;410,002;200.26600000
10.00000000;0.00000000;0.00000000;134,644;141,968;-62,818;410,019;221.53500000
11.00000000;0.00000000;0.00000000;134,643;141,967;-62,822;410,039;242.83800000
12.00000000;0.00000000;0.00000000;134,641;141,964;-62,829;410,061;267.27600000
13.00000000;0.00000000;0.00000000;134,640;141,962;-62,834;410,084;290.58400000
14.00000000;0.00000000;0.00000000;134,638;141,962;-62,843;410,105;311.33800000
15.00000000;0.00000000;0.00000000;134,637;141,962;-62,855;410,128;333.39500000
16.00000000;0.00000000;0.00000000;134,637;141,964;-62,861;410,150;354.84400000
17.00000000;0.00000000;0.00000000;134,637;141,964;-62,869;410,169;376.32200000
18.00000000;0.00000000;0.00000000;134,637;141,965;-62,881;410,190;398.53400000
19.00000000;0.00000000;0.00000000;134,637;141,969;-62,886;410,207;419.68900000
20.00000000;0.00000000;0.00000000;134,639;141,971;-62,888;410,224;440.30600000
21.00000000;0.00000000;0.00000000;134,640;141,972;-62,888;410,246;466.38500000
22.00000000;0.00000000;0.00000000;134,642;141,972;-62,891;410,264;487.38200000
23.00000000;0.00000000;0.00000000;134,644;141,973;-62,896;410,280;508.50400000
24.00000000;0.00000000;0.00000000;134,647;141,971;-62,899;410,289;529.84800000
25.00000000;0.00000000;0.00000000;134,649;141,975;-62,902;410,303;550.70500000
26.00000000;0.00000000;0.00000000;134,650;141,977;-62,902;410,321;571.76000000
27.00000000;0.00000000;0.00000000;134,652;141,978;-62,903;410,332;592.98800000
28.00000000;0.00000000;0.00000000;134,654;141,976;-62,907;410,340;615.32800000
29.00000000;0.00000000;0.00000000;134,656;141,977;-62,911;410,355;636.70400000
30.00000000;0.00000000;0.00000000;134,658;141,981;-62,913;410,370;658.11800000
31.00000000;0.00000000;0.00000000;134,659;141,982;-62,915;410,384;680.94300000
32.00000000;0.00000000;0.00000000;134,661;141,983;-62,915;410,388;703.34700000
33.00000000;0.00000000;0.00000000;134,664;141,983;-62,916;410,391;725.60200000
34.00000000;0.00000000;0.00000000;134,666;141,981;-62,923;410,392;750.32600000
35.00000000;0.00000000;0.00000000;134,668;141,981;-62,934;410,401;772.59700000
36.00000000;0.00000000;0.00000000;134,669;141,985;-62,941;410,409;794.77700000
37.00000000;0.00000000;0.00000000;134,671;141,986;-62,948;410,422;816.66600000
38.00000000;0.00000000;0.00000000;134,672;141,987;-62,953;410,436;837.64400000
39.00000000;0.00000000;0.00000000;134,672;141,988;-62,955;410,452;858.51100000
40.00000000;0.00000000;0.00000000;134,669;141,989;-62,955;410,470;879.20300000
41.00000000;0.00000000;0.00000000;134,669;141,989;-62,955;410,487;900.46700000
42.00000000;0.00000000;0.00000000;134,669;141,989;-62,957;410,507;921.71600000
43.00000000;0.00000000;0.00000000;134,672;141,991;-62,953;410,527;942.99500000
44.00000000;0.00000000;0.00000000;134,672;141,992;-62,952;410,546;965.39700000
45.00000000;0.00000000;0.00000000;134,673;141,993;-62,947;410,561;986.39800000
46.00000000;0.00000000;0.00000000;134,673;141,993;-62,944;410,574;1,007.38600000
47.00000000;0.00000000;0.00000000;134,673;141,993;-62,944;410,581;1,028.16500000
48.00000000;0.00000000;0.00000000;134,673;141,993;-62,950;410,591;1,051.88300000
49.00000000;0.00000000;0.00000000;134,675;141,996;-62,958;410,599;1,073.07200000
50.00000000;0.00000000;0.00000000;134,676;141,998;-62,961;410,608;1,094.59900000
51.00000000;0.00000000;0.00000000;134,676;142,000;-62,962;410,620;1,118.41400000
52.00000000;0.00000000;0.00000000;134,677;142,000;-62,962;410,635;1,142.69700000
53.00000000;0.00000000;0.00000000;134,677;142,000;-62,962;410,650;1,166.32500000
54.00000000;0.00000000;0.00000000;134,678;142,001;-62,962;410,661;1,187.76800000
55.00000000;0.00000000;0.00000000;134,678;142,004;-62,962;410,671;1,209.20300000
56.00000000;0.00000000;0.00000000;134,678;142,005;-62,962;410,679;1,231.19200000
57.00000000;0.00000000;0.00000000;134,678;142,006;-62,962;410,687;1,251.67100000
58.00000000;0.00000000;0.00000000;134,680;142,007;-62,961;410,697;1,273.11500000
59.00000000;0.00000000;0.00000000;134,682;142,008;-62,964;410,705;1,294.65200000
60.00000000;0.00000000;0.00000000;134,684;142,010;-62,968;410,712;1,317.91700000
61.00000000;0.00000000;0.00000000;134,685;142,012;-62,976;410,721;1,340.26800000
62.00000000;0.00000000;0.00000000;134,686;142,013;-62,983;410,730;1,361.68900000
63.00000000;0.00000000;0.00000000;134,688;142,015;-62,989;410,740;1,383.77400000
64.00000000;0.00000000;0.00000000;134,688;142,018;-62,994;410,754;1,405.46300000
65.00000000;0.00000000;0.00000000;134,689;142,020;-62,997;410,767;1,427.09100000
66.00000000;0.00000000;0.00000000;134,689;142,022;-62,995;410,785;1,450.17800000
67.00000000;0.00000000;0.00000000;134,689;142,024;-62,995;410,804;1,474.55500000
68.00000000;0.00000000;0.00000000;134,687;142,027;-62,995;410,822;1,497.57600000
69.00000000;0.00000000;0.00000000;134,689;142,029;-62,993;410,835;1,518.60700000
70.00000000;0.00000000;0.00000000;134,690;142,029;-62,992;410,844;1,539.97700000
71.00000000;0.00000000;0.00000000;134,691;142,029;-62,985;410,857;1,561.38300000
72.00000000;0.00000000;0.00000000;134,691;142,029;-62,979;410,872;1,583.48300000
73.00000000;0.00000000;0.00000000;134,691;142,029;-62,975;410,885;1,605.19800000
74.00000000;0.00000000;0.00000000;134,691;142,029;-62,974;410,900;1,627.02900000
75.00000000;0.00000000;0.00000000;134,692;142,033;-62,971;410,913;1,649.71600000
76.00000000;0.00000000;0.00000000;134,692;142,035;-62,967;410,928;1,671.36100000
77.00000000;0.00000000;0.00000000;134,693;142,035;-62,960;410,939;1,693.16400000
78.00000000;0.00000000;0.00000000;134,693;142,033;-62,952;410,953;1,716.21600000
79.00000000;0.00000000;0.00000000;134,691;142,033;-62,945;410,968;1,740.17500000
80.00000000;0.00000000;0.00000000;134,691;142,033;-62,945;410,978;1,764.64100000
81.00000000;0.00000000;0.00000000;134,689;142,033;-62,943;410,987;1,786.00500000
