counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;-27,989;-33,872;-240,949;153,093;0.01700000
1.00000000;0.00000000;0.00000000;-27,989;-33,875;-240,935;153,079;26.78400000
2.00000000;0.00000000;0.00000000;-27,990;-33,877;-240,922;153,069;49.93500000
3.00000000;0.00000000;0.00000000;-27,991;-33,879;-240,911;153,057;72.20700000
4.00000000;0.00000000;0.00000000;-27,991;-33,880;-240,911;153,048;94.43600000
5.00000000;0.00000000;0.00000000;-27,991;-33,882;-240,911;153,042;117.42300000
6.00000000;0.00000000;0.00000000;-27,992;-33,885;-240,911;153,035;139.65000000
7.00000000;0.00000000;0.00000000;-27,992;-33,886;-240,914;153,025;162.63300000
8.00000000;0.00000000;0.00000000;-27,994;-33,887;-240,914;153,010;186.90400000
9.00000000;0.00000000;0.00000000;-27,996;-33,889;-240,912;152,999;209.22900000
10.00000000;0.00000000;0.00000000;-27,993;-33,891;-240,911;152,990;232.61600000
11.00000000;0.00000000;0.00000000;-27,996;-33,895;-240,908;152,987;254.06900000
12.00000000;0.00000000;0.00000000;-27,998;-33,898;-240,908;152,985;276.10000000
13.00000000;0.00000000;0.00000000;-28,002;-33,901;-240,908;152,977;299.19300000
14.00000000;0.00000000;0.00000000;-28,005;-33,905;-240,907;152,966;321.82400000
15.00000000;0.00000000;0.00000000;-28,010;-33,909;-240,902;152,959;343.48900000
16.00000000;0.00000000;0.00000000;-28,015;-33,912;-240,895;152,950;366.26900000
17.00000000;0.00000000;0.00000000;-28,020;-33,913;-240,882;152,938;388.01000000
18.00000000;0.00000000;0.00000000;-28,023;-33,919;-240,873;152,929;409.42000000
19.00000000;0.00000000;0.00000000;-28,028;-33,924;-240,867;152,917;432.15000000
20.00000000;0.00000000;0.00000000;-28,035;-33,929;-240,864;152,905;453.64300000
21.00000000;0.00000000;0.00000000;-28,041;-33,932;-240,863;152,896;475.28800000
22.00000000;0.00000000;0.00000000;-28,045;-33,937;-240,862;152,888;496.38500000
23.00000000;0.00000000;0.00000000;-28,051;-33,943;-240,859;152,882;517.68200000
24.00000000;0.00000000;0.00000000;-28,056;-33,949;-240,856;152,878;538.90900000
25.00000000;0.00000000;0.00000000;-28,061;-33,956;-240,853;152,869;560.44100000
26.00000000;0.00000000;0.00000000;-28,067;-33,962;-240,851;152,856;583.02900000
27.00000000;0.00000000;0.00000000;-28,070;-33,967;-240,849;152,840;604.59500000
28.00000000;0.00000000;0.00000000;-28,071;-33,973;-240,849;152,822;626.22200000
29.00000000;0.00000000;0.00000000;-28,076;-33,978;-240,844;152,806;648.53700000
30.00000000;0.00000000;0.00000000;-28,080;-33,982;-240,831;152,791;671.90400000
31.00000000;0.00000000;0.00000000;-28,081;-33,988;-240,820;152,775;696.78200000
32.00000000;0.00000000;0.00000000;-28,085;-33,993;-240,810;152,759;718.06900000
33.00000000;0.00000000;0.00000000;-28,089;-33,997;-240,804;152,743;739.86100000
34.00000000;0.00000000;0.00000000;-28,095;-34,002;-240,798;152,731;761.58700000
35.00000000;0.00000000;0.00000000;-28,101;-34,010;-240,795;152,721;784.70200000
36.00000000;0.00000000;0.00000000;-28,105;-34,015;-240,795;152,713;806.28000000
37.00000000;0.00000000;0.00000000;-28,110;-34,018;-240,793;152,703;828.14900000
38.00000000;0.00000000;0.00000000;-28,115;-34,023;-240,790;152,693;850.64200000
39.00000000;0.00000000;0.00000000;-28,120;-34,027;-240,781;152,683;872.55100000
40.00000000;0.00000000;0.00000000;-28,127;-34,033;-240,773;152,679;894.33700000
41.00000000;0.00000000;0.00000000;-28,131;-34,037;-240,769;152,678;916.66700000
42.00000000;0.00000000;0.00000000;-28,136;-34,041;-240,767;152,678;938.66600000
43.00000000;0.00000000;0.00000000;-28,140;-34,045;-240,767;152,676;960.33400000
44.00000000;0.00000000;0.00000000;-28,144;-34,048;-240,766;152,673;983.23300000
45.00000000;0.00000000;0.00000000;-28,148;-34,051;-240,760;152,667;1,005.50300000
46.00000000;0.00000000;0.00000000;-28,150;-34,052;-240,750;152,660;1,027.70800000
47.00000000;0.00000000;0.00000000;-28,151;-34,052;-240,733;152,650;1,050.96900000
48.00000000;0.00000000;0.00000000;-28,151;-34,052;-240,718;152,641;1,073.09500000
49.00000000;0.00000000;0.00000000;-28,151;-34,052;-240,705;152,631;1,095.72100000
50.00000000;0.00000000;0.00000000;-28,149;-34,053;-240,697;152,619;1,118.75600000
51.00000000;0.00000000;0.00000000;-28,149;-34,053;-240,690;152,609;1,140.26000000
52.00000000;0.00000000;0.00000000;-28,149;-34,051;-240,684;152,600;1,162.82400000
53.00000000;0.00000000;0.00000000;-28,149;-34,049;-240,675;152,591;1,185.34600000
54.00000000;0.00000000;0.00000000;-28,149;-34,047;-240,670;152,587;1,207.15400000
55.00000000;0.00000000;0.00000000;-28,146;-34,046;-240,666;152,584;1,229.04900000
56.00000000;0.00000000;0.00000000;-28,144;-34,043;-240,663;152,577;1,252.05500000
57.00000000;0.00000000;0.00000000;-28,141;-34,040;-240,658;152,569;1,273.61800000
58.00000000;0.00000000;0.00000000;-28,138;-34,037;-240,650;152,559;1,296.13700000
59.00000000;0.00000000;0.00000000;-28,134;-34,033;-240,639;152,548;1,318.11100000
60.00000000;0.00000000;0.00000000;-28,131;-34,029;-240,625;152,535;1,339.22800000
61.00000000;0.00000000;0.00000000;-28,127;-34,025;-240,611;152,524;1,361.13500000
62.00000000;0.00000000;0.00000000;-28,123;-34,021;-240,602;152,511;1,383.51100000
63.00000000;0.00000000;0.00000000;-28,119;-34,018;-240,595;152,500;1,405.19600000
64.00000000;0.00000000;0.00000000;-28,116;-34,014;-240,588;152,488;1,426.59600000
65.00000000;0.00000000;0.00000000;-28,112;-34,010;-240,579;152,477;1,447.63800000
