counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;32,660;32,538;272,854;97,835;0.01400000
1.00000000;0.00000000;0.00000000;32,652;32,530;272,863;97,840;26.80500000
2.00000000;0.00000000;0.00000000;32,645;32,522;272,870;97,846;49.91400000
3.00000000;0.00000000;0.00000000;32,638;32,516;272,876;97,852;72.23600000
4.00000000;0.00000000;0.00000000;32,629;32,510;272,881;97,858;94.48400000
5.00000000;0.00000000;0.00000000;32,622;32,500;272,889;97,866;117.58900000
6.00000000;0.00000000;0.00000000;32,615;32,494;272,895;97,872;139.68800000
7.00000000;0.00000000;0.00000000;32,607;32,488;272,901;97,878;162.81500000
8.00000000;0.00000000;0.00000000;32,598;32,479;272,908;97,884;185.77800000
9.00000000;0.00000000;0.00000000;32,591;32,471;272,914;97,888;208.31000000
10.00000000;0.00000000;0.00000000;32,583;32,464;272,921;97,892;229.54700000
11.00000000;0.00000000;0.00000000;32,572;32,455;272,928;97,896;251.46400000
12.00000000;0.00000000;0.00000000;32,564;32,447;272,936;97,901;273.58500000
13.00000000;0.00000000;0.00000000;32,555;32,438;272,941;97,907;295.43900000
14.00000000;0.00000000;0.00000000;32,547;32,430;272,947;97,913;318.15200000
15.00000000;0.00000000;0.00000000;32,539;32,422;272,952;97,920;340.59500000
16.00000000;0.00000000;0.00000000;32,529;32,413;272,957;97,927;361.85500000
17.00000000;0.00000000;0.00000000;32,519;32,405;272,963;97,935;384.22100000
18.00000000;0.00000000;0.00000000;32,511;32,396;272,968;97,943;405.34300000
19.00000000;0.00000000;0.00000000;32,504;32,388;272,973;97,949;426.78700000
20.00000000;0.00000000;0.00000000;32,493;32,379;272,978;97,957;449.87700000
21.00000000;0.00000000;0.00000000;32,485;32,370;272,983;97,964;471.65000000
22.00000000;0.00000000;0.00000000;32,477;32,364;272,987;97,971;493.32500000
23.00000000;0.00000000;0.00000000;32,468;32,354;272,991;97,977;515.99800000
24.00000000;0.00000000;0.00000000;32,460;32,347;272,995;97,984;537.76400000
25.00000000;0.00000000;0.00000000;32,451;32,339;272,998;97,990;559.86800000
26.00000000;0.00000000;0.00000000;32,443;32,331;273,001;97,998;582.92600000
27.00000000;0.00000000;0.00000000;32,436;32,322;273,003;98,005;605.59700000
28.00000000;0.00000000;0.00000000;32,428;32,314;273,005;98,012;628.15400000
29.00000000;0.00000000;0.00000000;32,419;32,305;273,008;98,020;652.33600000
30.00000000;0.00000000;0.00000000;32,412;32,297;273,010;98,025;673.69100000
31.00000000;0.00000000;0.00000000;32,404;32,291;273,013;98,031;695.47900000
32.00000000;0.00000000;0.00000000;32,397;32,284;273,016;98,037;718.64900000
33.00000000;0.00000000;0.00000000;32,391;32,277;273,018;98,042;740.62400000
34.00000000;0.00000000;0.00000000;32,386;32,272;273,019;98,046;762.70200000
35.00000000;0.00000000;0.00000000;32,381;32,269;273,019;98,051;785.05200000
36.00000000;0.00000000;0.00000000;32,378;32,267;273,019;98,056;806.93800000
37.00000000;0.00000000;0.00000000;32,376;32,265;273,016;98,061;828.80100000
38.00000000;0.00000000;0.00000000;32,374;32,263;273,013;98,066;852.04700000
39.00000000;0.00000000;0.00000000;32,373;32,261;273,009;98,072;876.63200000
40.00000000;0.00000000;0.00000000;32,372;32,260;273,006;98,077;899.43900000
41.00000000;0.00000000;0.00000000;32,371;32,260;273,005;98,081;920.59600000
42.00000000;0.00000000;0.00000000;32,370;32,260;273,005;98,085;942.13600000
43.00000000;0.00000000;0.00000000;32,370;32,260;273,008;98,090;962.88300000
44.00000000;0.00000000;0.00000000;32,370;32,260;273,013;98,095;984.45200000
45.00000000;0.00000000;0.00000000;32,370;32,260;273,020;98,099;1,005.44200000
46.00000000;0.00000000;0.00000000;32,370;32,260;273,027;98,102;1,026.64000000
47.00000000;0.00000000;0.00000000;32,370;32,260;273,033;98,105;1,047.78500000
48.00000000;0.00000000;0.00000000;32,370;32,260;273,039;98,109;1,068.60200000
49.00000000;0.00000000;0.00000000;32,370;32,260;273,045;98,116;1,090.76900000
50.00000000;0.00000000;0.00000000;32,370;32,260;273,049;98,123;1,112.41100000
51.00000000;0.00000000;0.00000000;32,370;32,262;273,053;98,130;1,134.70400000
52.00000000;0.00000000;0.00000000;32,370;32,262;273,058;98,138;1,155.67700000
53.00000000;0.00000000;0.00000000;32,370;32,262;273,061;98,145;1,176.81600000
54.00000000;0.00000000;0.00000000;32,370;32,262;273,064;98,153;1,199.66200000
55.00000000;0.00000000;0.00000000;32,370;32,262;273,067;98,160;1,221.82700000
56.00000000;0.00000000;0.00000000;32,370;32,262;273,069;98,168;1,246.68800000
57.00000000;0.00000000;0.00000000;32,370;32,262;273,071;98,175;1,268.71200000
58.00000000;0.00000000;0.00000000;32,370;32,263;273,074;98,180;1,290.21800000
59.00000000;0.00000000;0.00000000;32,370;32,264;273,076;98,188;1,312.24000000
60.00000000;0.00000000;0.00000000;32,370;32,264;273,080;98,195;1,334.68300000
61.00000000;0.00000000;0.00000000;32,370;32,264;273,082;98,202;1,356.18500000
62.00000000;0.00000000;0.00000000;32,370;32,264;273,086;98,209;1,377.46100000
63.00000000;0.00000000;0.00000000;32,370;32,262;273,089;98,217;1,399.94300000
64.00000000;0.00000000;0.00000000;32,369;32,261;273,092;98,223;1,420.79300000
65.00000000;0.00000000;0.00000000;32,368;32,259;273,093;98,228;1,441.39400000
66.00000000;0.00000000;0.00000000;32,367;32,258;273,095;98,230;1,462.29800000
67.00000000;0.00000000;0.00000000;32,367;32,258;273,098;98,231;1,484.54700000
68.00000000;0.00000000;0.00000000;32,366;32,258;273,100;98,231;1,505.90300000
69.00000000;0.00000000;0.00000000;32,365;32,257;273,103;98,228;1,529.27100000
70.00000000;0.00000000;0.00000000;32,365;32,257;273,104;98,227;1,554.02700000
71.00000000;0.00000000;0.00000000;32,365;32,257;273,104;98,227;1,574.58800000
72.00000000;0.00000000;0.00000000;32,365;32,257;273,104;98,227;1,596.07300000
73.00000000;0.00000000;0.00000000;32,365;32,259;273,104;98,231;1,618.02000000
74.00000000;0.00000000;0.00000000;32,368;32,261;273,102;98,234;1,639.34300000
75.00000000;0.00000000;0.00000000;32,371;32,262;273,100;98,237;1,662.90200000
76.00000000;0.00000000;0.00000000;32,374;32,266;273,099;98,240;1,686.26600000
77.00000000;0.00000000;0.00000000;32,377;32,268;273,097;98,243;1,707.98900000
78.00000000;0.00000000;0.00000000;32,380;32,272;273,096;98,247;1,730.36700000
79.00000000;0.00000000;0.00000000;32,383;32,276;273,095;98,252;1,752.84200000
80.00000000;0.00000000;0.00000000;32,387;32,279;273,094;98,258;1,775.45200000
81.00000000;0.00000000;0.00000000;32,391;32,283;273,094;98,264;1,796.99800000
82.00000000;0.00000000;0.00000000;32,394;32,287;273,094;98,269;1,820.06300000
83.00000000;0.00000000;0.00000000;32,398;32,290;273,097;98,274;1,842.12300000
84.00000000;0.00000000;0.00000000;32,401;32,292;273,099;98,279;1,864.07300000
85.00000000;0.00000000;0.00000000;32,404;32,296;273,102;98,283;1,886.47000000
86.00000000;0.00000000;0.00000000;32,406;32,298;273,106;98,286;1,908.60800000
87.00000000;0.00000000;0.00000000;32,408;32,300;273,109;98,291;1,930.77300000
88.00000000;0.00000000;0.00000000;32,410;32,303;273,112;98,297;1,953.35200000
89.00000000;0.00000000;0.00000000;32,412;32,305;273,117;98,303;1,975.42100000
90.00000000;0.00000000;0.00000000;32,413;32,307;273,121;98,310;1,997.27900000
91.00000000;0.00000000;0.00000000;32,415;32,308;273,127;98,317;2,020.01800000
92.00000000;0.00000000;0.00000000;32,417;32,310;273,132;98,323;2,041.05800000
93.00000000;0.00000000;0.00000000;32,417;32,311;273,138;98,328;2,062.04900000
94.00000000;0.00000000;0.00000000;32,418;32,313;273,144;98,333;2,083.69200000
95.00000000;0.00000000;0.00000000;32,419;32,314;273,150;98,338;2,104.82900000
96.00000000;0.00000000;0.00000000;32,420;32,315;273,153;98,341;2,124.58500000
97.00000000;0.00000000;0.00000000;32,421;32,315;273,158;98,346;2,145.50700000
98.00000000;0.00000000;0.00000000;32,421;32,316;273,163;98,351;2,169.97200000
99.00000000;0.00000000;0.00000000;32,421;32,317;273,167;98,358;2,191.24700000
100.00000000;0.00000000;0.00000000;32,422;32,318;273,171;98,365;2,212.67000000
101.00000000;0.00000000;0.00000000;32,422;32,318;273,175;98,372;2,235.95300000
102.00000000;0.00000000;0.00000000;32,422;32,319;273,178;98,379;2,257.87200000
103.00000000;0.00000000;0.00000000;32,423;32,319;273,181;98,386;2,279.56200000
