counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;-102,549;-109,550;336,642;-73,372;0.01300000
1.00000000;0.00000000;0.00000000;-102,543;-109,544;336,644;-73,373;26.71600000
2.00000000;0.00000000;0.00000000;-102,536;-109,539;336,646;-73,373;50.64600000
3.00000000;0.00000000;0.00000000;-102,530;-109,533;336,647;-73,373;73.40000000
4.00000000;0.00000000;0.00000000;-102,524;-109,525;336,648;-73,374;95.85000000
5.00000000;0.00000000;0.00000000;-102,518;-109,520;336,648;-73,376;118.43500000
6.00000000;0.00000000;0.00000000;-102,512;-109,514;336,644;-73,378;141.74900000
7.00000000;0.00000000;0.00000000;-102,504;-109,505;336,638;-73,381;166.73200000
8.00000000;0.00000000;0.00000000;-102,496;-109,497;336,631;-73,384;190.12800000
9.00000000;0.00000000;0.00000000;-102,488;-109,488;336,626;-73,389;212.47400000
10.00000000;0.00000000;0.00000000;-102,480;-109,479;336,623;-73,393;234.72600000
11.00000000;0.00000000;0.00000000;-102,471;-109,469;336,618;-73,398;256.83900000
12.00000000;0.00000000;0.00000000;-102,459;-109,456;336,613;-73,403;279.01400000
13.00000000;0.00000000;0.00000000;-102,448;-109,444;336,609;-73,406;301.32700000
14.00000000;0.00000000;0.00000000;-102,434;-109,431;336,606;-73,408;323.79600000
15.00000000;0.00000000;0.00000000;-102,420;-109,419;336,605;-73,409;345.78400000
16.00000000;0.00000000;0.00000000;-102,404;-109,404;336,603;-73,409;368.07000000
17.00000000;0.00000000;0.00000000;-102,391;-109,390;336,601;-73,411;390.25200000
18.00000000;0.00000000;0.00000000;-102,377;-109,377;336,598;-73,413;412.09900000
19.00000000;0.00000000;0.00000000;-102,361;-109,361;336,591;-73,415;434.54500000
20.00000000;0.00000000;0.00000000;-102,347;-109,347;336,583;-73,415;456.32400000
21.00000000;0.00000000;0.00000000;-102,331;-109,332;336,571;-73,415;477.99500000
22.00000000;0.00000000;0.00000000;-102,316;-109,317;336,560;-73,415;500.81700000
23.00000000;0.00000000;0.00000000;-102,299;-109,299;336,547;-73,415;522.85600000
24.00000000;0.00000000;0.00000000;-102,285;-109,285;336,535;-73,415;544.77800000
25.00000000;0.00000000;0.00000000;-102,271;-109,270;336,526;-73,411;567.56200000
26.00000000;0.00000000;0.00000000;-102,255;-109,256;336,517;-73,407;589.59200000
27.00000000;0.00000000;0.00000000;-102,239;-109,241;336,510;-73,401;611.61000000
28.00000000;0.00000000;0.00000000;-102,223;-109,225;336,504;-73,395;634.86700000
29.00000000;0.00000000;0.00000000;-102,208;-109,210;336,500;-73,390;656.95600000
30.00000000;0.00000000;0.00000000;-102,193;-109,197;336,494;-73,386;679.10600000
31.00000000;0.00000000;0.00000000;-102,176;-109,180;336,486;-73,381;701.58600000
32.00000000;0.00000000;0.00000000;-102,161;-109,166;336,478;-73,377;723.44700000
33.00000000;0.00000000;0.00000000;-102,147;-109,151;336,470;-73,372;745.46300000
