counter;event
start;3/30/2022 4:21:50 PM
1;antfreeze_off
149;rot_gain_set_to_0
224;movedto_0;0
224;rotatedto_125degs
293;view_cleared
4,343;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,472;rot_gain_set_to_1
5,040;view_cleared
9,317;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,381;rot_gain_set_to_-1
9,768;view_cleared
14,031;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
14,090;rot_gain_set_to_3
14,508;view_cleared
18,101;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,156;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,610;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,730;rot_gain_set_to_5
22,843;view_cleared
27,267;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,338;SUCCESS
end;3/30/2022 4:31:57 PM
