counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;85,619;82,993;-119,592;340,878;0.01500000
1.00000000;0.00000000;0.00000000;85,627;83,001;-119,575;340,871;26.28400000
2.00000000;0.00000000;0.00000000;85,633;83,008;-119,563;340,864;47.21300000
3.00000000;0.00000000;0.00000000;85,639;83,015;-119,551;340,858;68.64600000
4.00000000;0.00000000;0.00000000;85,646;83,022;-119,538;340,850;90.16000000
5.00000000;0.00000000;0.00000000;85,652;83,029;-119,525;340,842;112.27000000
6.00000000;0.00000000;0.00000000;85,658;83,037;-119,512;340,834;133.55500000
7.00000000;0.00000000;0.00000000;85,665;83,042;-119,498;340,825;155.18600000
8.00000000;0.00000000;0.00000000;85,672;83,048;-119,484;340,813;177.70300000
9.00000000;0.00000000;0.00000000;85,679;83,055;-119,473;340,802;199.14600000
10.00000000;0.00000000;0.00000000;85,684;83,061;-119,461;340,791;220.12800000
11.00000000;0.00000000;0.00000000;85,689;83,066;-119,449;340,782;240.83600000
12.00000000;0.00000000;0.00000000;85,696;83,073;-119,432;340,771;264.44500000
13.00000000;0.00000000;0.00000000;85,702;83,080;-119,417;340,762;285.65000000
14.00000000;0.00000000;0.00000000;85,708;83,086;-119,403;340,753;306.89400000
15.00000000;0.00000000;0.00000000;85,714;83,093;-119,387;340,744;329.38900000
16.00000000;0.00000000;0.00000000;85,720;83,100;-119,370;340,734;351.05700000
17.00000000;0.00000000;0.00000000;85,726;83,106;-119,354;340,725;372.74500000
18.00000000;0.00000000;0.00000000;85,732;83,112;-119,339;340,715;395.20100000
19.00000000;0.00000000;0.00000000;85,738;83,118;-119,324;340,705;416.62800000
20.00000000;0.00000000;0.00000000;85,743;83,122;-119,311;340,693;437.77100000
21.00000000;0.00000000;0.00000000;85,748;83,125;-119,302;340,683;458.37600000
22.00000000;0.00000000;0.00000000;85,752;83,130;-119,292;340,671;479.74500000
23.00000000;0.00000000;0.00000000;85,756;83,135;-119,282;340,659;500.64700000
24.00000000;0.00000000;0.00000000;85,760;83,139;-119,274;340,646;521.66000000
25.00000000;0.00000000;0.00000000;85,762;83,142;-119,269;340,634;542.56200000
26.00000000;0.00000000;0.00000000;85,766;83,145;-119,263;340,621;568.30900000
27.00000000;0.00000000;0.00000000;85,768;83,148;-119,261;340,612;589.10000000
28.00000000;0.00000000;0.00000000;85,771;83,151;-119,258;340,602;611.13200000
29.00000000;0.00000000;0.00000000;85,772;83,153;-119,257;340,594;631.27400000
30.00000000;0.00000000;0.00000000;85,774;83,155;-119,254;340,586;652.16600000
31.00000000;0.00000000;0.00000000;85,776;83,155;-119,250;340,577;673.24900000
32.00000000;0.00000000;0.00000000;85,777;83,158;-119,246;340,569;695.10000000
33.00000000;0.00000000;0.00000000;85,778;83,159;-119,240;340,560;716.07000000
34.00000000;0.00000000;0.00000000;85,780;83,161;-119,231;340,549;741.08500000
35.00000000;0.00000000;0.00000000;85,782;83,164;-119,222;340,541;763.14700000
36.00000000;0.00000000;0.00000000;85,784;83,166;-119,212;340,532;784.33600000
37.00000000;0.00000000;0.00000000;85,786;83,168;-119,201;340,524;805.66200000
38.00000000;0.00000000;0.00000000;85,788;83,170;-119,190;340,517;828.15100000
39.00000000;0.00000000;0.00000000;85,789;83,172;-119,176;340,509;849.68700000
40.00000000;0.00000000;0.00000000;85,792;83,174;-119,163;340,503;870.62200000
41.00000000;0.00000000;0.00000000;85,794;83,176;-119,148;340,497;891.37700000
42.00000000;0.00000000;0.00000000;85,797;83,178;-119,133;340,489;913.84900000
43.00000000;0.00000000;0.00000000;85,800;83,180;-119,120;340,480;935.83100000
44.00000000;0.00000000;0.00000000;85,803;83,183;-119,107;340,470;957.45500000
45.00000000;0.00000000;0.00000000;85,805;83,186;-119,094;340,460;980.27900000
46.00000000;0.00000000;0.00000000;85,807;83,189;-119,084;340,450;1,001.74500000
47.00000000;0.00000000;0.00000000;85,809;83,191;-119,073;340,440;1,023.21300000
48.00000000;0.00000000;0.00000000;85,812;83,194;-119,063;340,431;1,045.46000000
49.00000000;0.00000000;0.00000000;85,815;83,197;-119,052;340,422;1,066.43700000
50.00000000;0.00000000;0.00000000;85,818;83,199;-119,039;340,412;1,091.38700000
51.00000000;0.00000000;0.00000000;85,820;83,202;-119,027;340,403;1,113.47700000
52.00000000;0.00000000;0.00000000;85,822;83,205;-119,017;340,394;1,134.55000000
53.00000000;0.00000000;0.00000000;85,825;83,208;-119,008;340,387;1,155.70300000
54.00000000;0.00000000;0.00000000;85,827;83,210;-118,999;340,380;1,177.43200000
55.00000000;0.00000000;0.00000000;85,828;83,212;-118,993;340,372;1,197.56300000
56.00000000;0.00000000;0.00000000;85,829;83,213;-118,989;340,363;1,219.85900000
57.00000000;0.00000000;0.00000000;85,830;83,214;-118,988;340,356;1,241.02700000
58.00000000;0.00000000;0.00000000;85,830;83,214;-118,988;340,348;1,263.73800000
59.00000000;0.00000000;0.00000000;85,828;83,214;-118,992;340,341;1,285.89000000
60.00000000;0.00000000;0.00000000;85,826;83,211;-118,995;340,335;1,308.28100000
61.00000000;0.00000000;0.00000000;85,824;83,208;-119,001;340,331;1,331.03400000
62.00000000;0.00000000;0.00000000;85,821;83,205;-119,004;340,327;1,352.51800000
63.00000000;0.00000000;0.00000000;85,818;83,201;-119,008;340,324;1,373.58200000
64.00000000;0.00000000;0.00000000;85,813;83,196;-119,012;340,321;1,396.43200000
65.00000000;0.00000000;0.00000000;85,807;83,191;-119,016;340,318;1,419.18900000
66.00000000;0.00000000;0.00000000;85,803;83,186;-119,019;340,312;1,441.26800000
67.00000000;0.00000000;0.00000000;85,797;83,181;-119,020;340,307;1,463.80100000
