counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;244,182;236,925;151,632;-197,615;0.01600000
1.00000000;0.00000000;0.00000000;244,190;236,932;151,641;-197,628;27.88800000
2.00000000;0.00000000;0.00000000;244,195;236,938;151,649;-197,637;50.76100000
3.00000000;0.00000000;0.00000000;244,201;236,944;151,657;-197,648;72.88300000
4.00000000;0.00000000;0.00000000;244,207;236,949;151,664;-197,655;95.71600000
5.00000000;0.00000000;0.00000000;244,212;236,954;151,672;-197,667;117.92900000
6.00000000;0.00000000;0.00000000;244,217;236,957;151,678;-197,678;140.10400000
7.00000000;0.00000000;0.00000000;244,222;236,962;151,686;-197,690;163.41500000
8.00000000;0.00000000;0.00000000;244,226;236,967;151,694;-197,702;185.57400000
9.00000000;0.00000000;0.00000000;244,231;236,972;151,704;-197,712;207.71000000
10.00000000;0.00000000;0.00000000;244,237;236,976;151,714;-197,721;230.11500000
11.00000000;0.00000000;0.00000000;244,242;236,979;151,722;-197,730;252.07100000
12.00000000;0.00000000;0.00000000;244,247;236,982;151,729;-197,741;274.27300000
13.00000000;0.00000000;0.00000000;244,251;236,986;151,736;-197,752;296.65700000
14.00000000;0.00000000;0.00000000;244,255;236,990;151,742;-197,762;318.00300000
15.00000000;0.00000000;0.00000000;244,259;236,994;151,748;-197,772;339.77900000
16.00000000;0.00000000;0.00000000;244,264;236,997;151,756;-197,783;362.45500000
17.00000000;0.00000000;0.00000000;244,268;237,004;151,764;-197,794;384.87000000
18.00000000;0.00000000;0.00000000;244,273;237,007;151,772;-197,806;407.19900000
19.00000000;0.00000000;0.00000000;244,278;237,012;151,780;-197,819;430.19300000
20.00000000;0.00000000;0.00000000;244,281;237,015;151,787;-197,831;451.68900000
21.00000000;0.00000000;0.00000000;244,285;237,019;151,795;-197,843;473.90100000
22.00000000;0.00000000;0.00000000;244,289;237,023;151,804;-197,856;497.05500000
23.00000000;0.00000000;0.00000000;244,294;237,027;151,815;-197,869;521.41500000
24.00000000;0.00000000;0.00000000;244,297;237,031;151,825;-197,881;544.11300000
