counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;-30,008;-26,531;46,362;49,407;0.02000000
1.00000000;0.00000000;0.00000000;-30,010;-26,534;46,359;49,411;28.91400000
2.00000000;0.00000000;0.00000000;-30,011;-26,535;46,358;49,413;49.80900000
3.00000000;0.00000000;0.00000000;-30,011;-26,535;46,357;49,415;71.04300000
4.00000000;0.00000000;0.00000000;-30,011;-26,535;46,356;49,416;93.32000000
5.00000000;0.00000000;0.00000000;-30,009;-26,533;46,354;49,417;114.91700000
6.00000000;0.00000000;0.00000000;-30,005;-26,529;46,351;49,418;137.80100000
7.00000000;0.00000000;0.00000000;-30,000;-26,524;46,349;49,418;161.82800000
8.00000000;0.00000000;0.00000000;-29,995;-26,520;46,349;49,418;183.59000000
9.00000000;0.00000000;0.00000000;-29,991;-26,516;46,349;49,415;204.83900000
10.00000000;0.00000000;0.00000000;-29,986;-26,510;46,353;49,415;227.06800000
11.00000000;0.00000000;0.00000000;-29,983;-26,507;46,358;49,414;248.81100000
12.00000000;0.00000000;0.00000000;-29,979;-26,504;46,367;49,412;272.99100000
13.00000000;0.00000000;0.00000000;-29,977;-26,502;46,376;49,411;295.13100000
14.00000000;0.00000000;0.00000000;-29,976;-26,501;46,385;49,411;317.16200000
15.00000000;0.00000000;0.00000000;-29,976;-26,500;46,393;49,413;339.08500000
16.00000000;0.00000000;0.00000000;-29,976;-26,500;46,398;49,421;362.08200000
17.00000000;0.00000000;0.00000000;-29,979;-26,500;46,403;49,429;385.24300000
18.00000000;0.00000000;0.00000000;-29,981;-26,504;46,407;49,435;407.16400000
19.00000000;0.00000000;0.00000000;-29,984;-26,506;46,412;49,440;428.89800000
20.00000000;0.00000000;0.00000000;-29,988;-26,509;46,420;49,445;450.81600000
21.00000000;0.00000000;0.00000000;-29,993;-26,513;46,428;49,453;473.31600000
22.00000000;0.00000000;0.00000000;-29,998;-26,517;46,437;49,461;495.36800000
23.00000000;0.00000000;0.00000000;-30,003;-26,522;46,445;49,472;517.03100000
24.00000000;0.00000000;0.00000000;-30,007;-26,526;46,453;49,484;538.94200000
25.00000000;0.00000000;0.00000000;-30,012;-26,531;46,461;49,499;561.53600000
26.00000000;0.00000000;0.00000000;-30,016;-26,535;46,469;49,513;583.08400000
27.00000000;0.00000000;0.00000000;-30,020;-26,540;46,477;49,525;604.63100000
28.00000000;0.00000000;0.00000000;-30,025;-26,545;46,485;49,540;627.17100000
29.00000000;0.00000000;0.00000000;-30,030;-26,550;46,494;49,556;648.89000000
30.00000000;0.00000000;0.00000000;-30,035;-26,556;46,504;49,568;670.28100000
31.00000000;0.00000000;0.00000000;-30,041;-26,562;46,512;49,589;692.45200000
32.00000000;0.00000000;0.00000000;-30,047;-26,567;46,517;49,609;713.70900000
33.00000000;0.00000000;0.00000000;-30,052;-26,574;46,523;49,628;734.92000000
34.00000000;0.00000000;0.00000000;-30,058;-26,580;46,528;49,648;756.06600000
35.00000000;0.00000000;0.00000000;-30,064;-26,586;46,534;49,668;778.80300000
36.00000000;0.00000000;0.00000000;-30,069;-26,593;46,541;49,688;800.62700000
37.00000000;0.00000000;0.00000000;-30,075;-26,597;46,547;49,708;822.86500000
38.00000000;0.00000000;0.00000000;-30,082;-26,603;46,553;49,728;845.52400000
39.00000000;0.00000000;0.00000000;-30,087;-26,609;46,560;49,739;867.06000000
40.00000000;0.00000000;0.00000000;-30,092;-26,614;46,570;49,745;888.80100000
41.00000000;0.00000000;0.00000000;-30,099;-26,620;46,580;49,750;911.68500000
42.00000000;0.00000000;0.00000000;-30,107;-26,627;46,589;49,755;933.21400000
43.00000000;0.00000000;0.00000000;-30,114;-26,635;46,596;49,759;954.59200000
44.00000000;0.00000000;0.00000000;-30,122;-26,642;46,602;49,763;976.94600000
45.00000000;0.00000000;0.00000000;-30,131;-26,651;46,607;49,766;998.37400000
46.00000000;0.00000000;0.00000000;-30,141;-26,659;46,612;49,770;1,019.63200000
47.00000000;0.00000000;0.00000000;-30,151;-26,668;46,620;49,775;1,039.95600000
48.00000000;0.00000000;0.00000000;-30,162;-26,679;46,629;49,781;1,061.82200000
49.00000000;0.00000000;0.00000000;-30,173;-26,688;46,636;49,787;1,083.05500000
50.00000000;0.00000000;0.00000000;-30,184;-26,699;46,644;49,796;1,104.47300000
51.00000000;0.00000000;0.00000000;-30,196;-26,711;46,652;49,807;1,128.05400000
52.00000000;0.00000000;0.00000000;-30,209;-26,723;46,659;49,819;1,150.84200000
53.00000000;0.00000000;0.00000000;-30,221;-26,734;46,665;49,827;1,172.28700000
54.00000000;0.00000000;0.00000000;-30,236;-26,748;46,671;49,839;1,197.43100000
55.00000000;0.00000000;0.00000000;-30,252;-26,761;46,678;49,853;1,221.20600000
56.00000000;0.00000000;0.00000000;-30,266;-26,773;46,682;49,865;1,244.35500000
57.00000000;0.00000000;0.00000000;-30,281;-26,787;46,687;49,879;1,269.38700000
58.00000000;0.00000000;0.00000000;-30,298;-26,804;46,692;49,893;1,295.27300000
59.00000000;0.00000000;0.00000000;-30,309;-26,814;46,697;49,904;1,317.75600000
60.00000000;0.00000000;0.00000000;-30,323;-26,826;46,704;49,914;1,339.56300000
61.00000000;0.00000000;0.00000000;-30,328;-26,838;46,710;49,926;1,362.54300000
62.00000000;0.00000000;0.00000000;-30,338;-26,848;46,716;49,936;1,384.69600000
63.00000000;0.00000000;0.00000000;-30,351;-26,861;46,722;49,949;1,407.22100000
64.00000000;0.00000000;0.00000000;-30,365;-26,873;46,729;49,964;1,430.34800000
65.00000000;0.00000000;0.00000000;-30,375;-26,882;46,733;49,974;1,451.79400000
66.00000000;0.00000000;0.00000000;-30,386;-26,892;46,738;49,985;1,474.07600000
67.00000000;0.00000000;0.00000000;-30,397;-26,903;46,743;49,997;1,496.51400000
68.00000000;0.00000000;0.00000000;-30,410;-26,913;46,748;50,008;1,518.44200000
69.00000000;0.00000000;0.00000000;-30,420;-26,925;46,753;50,019;1,540.30000000
70.00000000;0.00000000;0.00000000;-30,431;-26,935;46,758;50,030;1,562.82500000
71.00000000;0.00000000;0.00000000;-30,443;-26,946;46,763;50,040;1,585.16900000
72.00000000;0.00000000;0.00000000;-30,454;-26,956;46,768;50,050;1,607.32700000
73.00000000;0.00000000;0.00000000;-30,463;-26,966;46,773;50,058;1,629.62100000
74.00000000;0.00000000;0.00000000;-30,474;-26,976;46,779;50,066;1,651.33600000
75.00000000;0.00000000;0.00000000;-30,484;-26,986;46,786;50,076;1,674.30200000
76.00000000;0.00000000;0.00000000;-30,496;-26,998;46,793;50,088;1,696.96300000
77.00000000;0.00000000;0.00000000;-30,507;-27,006;46,799;50,100;1,718.91600000
78.00000000;0.00000000;0.00000000;-30,516;-27,014;46,805;50,112;1,740.98300000
79.00000000;0.00000000;0.00000000;-30,529;-27,026;46,810;50,127;1,763.68500000
80.00000000;0.00000000;0.00000000;-30,538;-27,035;46,814;50,141;1,785.79600000
81.00000000;0.00000000;0.00000000;-30,549;-27,044;46,819;50,157;1,807.79700000
82.00000000;0.00000000;0.00000000;-30,559;-27,053;46,826;50,173;1,830.30600000
83.00000000;0.00000000;0.00000000;-30,570;-27,061;46,834;50,187;1,852.39700000
84.00000000;0.00000000;0.00000000;-30,580;-27,069;46,841;50,204;1,874.74100000
85.00000000;0.00000000;0.00000000;-30,591;-27,078;46,847;50,221;1,897.07200000
86.00000000;0.00000000;0.00000000;-30,600;-27,085;46,851;50,240;1,918.90200000
87.00000000;0.00000000;0.00000000;-30,610;-27,093;46,854;50,257;1,941.16500000
88.00000000;0.00000000;0.00000000;-30,620;-27,101;46,858;50,275;1,963.72300000
