counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;-59,348;-58,339;17,245;-4,484;0.01400000
1.00000000;0.00000000;0.00000000;-59,338;-58,329;17,236;-4,477;26.82200000
2.00000000;0.00000000;0.00000000;-59,329;-58,320;17,230;-4,472;49.08000000
3.00000000;0.00000000;0.00000000;-59,319;-58,309;17,225;-4,467;70.67600000
4.00000000;0.00000000;0.00000000;-59,311;-58,299;17,221;-4,462;93.39300000
5.00000000;0.00000000;0.00000000;-59,301;-58,288;17,217;-4,455;115.42600000
6.00000000;0.00000000;0.00000000;-59,291;-58,280;17,212;-4,447;137.54500000
7.00000000;0.00000000;0.00000000;-59,282;-58,270;17,207;-4,438;160.21900000
8.00000000;0.00000000;0.00000000;-59,272;-58,261;17,201;-4,428;182.47500000
9.00000000;0.00000000;0.00000000;-59,264;-58,253;17,194;-4,417;205.33600000
10.00000000;0.00000000;0.00000000;-59,255;-58,245;17,187;-4,405;227.86000000
11.00000000;0.00000000;0.00000000;-59,248;-58,240;17,179;-4,394;250.07600000
12.00000000;0.00000000;0.00000000;-59,239;-58,231;17,171;-4,381;272.07100000
13.00000000;0.00000000;0.00000000;-59,234;-58,225;17,163;-4,370;294.52400000
14.00000000;0.00000000;0.00000000;-59,229;-58,220;17,153;-4,360;316.06200000
15.00000000;0.00000000;0.00000000;-59,222;-58,216;17,147;-4,350;337.88300000
16.00000000;0.00000000;0.00000000;-59,215;-58,210;17,143;-4,342;360.36600000
17.00000000;0.00000000;0.00000000;-59,209;-58,206;17,142;-4,336;382.36000000
18.00000000;0.00000000;0.00000000;-59,204;-58,201;17,142;-4,329;404.13100000
19.00000000;0.00000000;0.00000000;-59,197;-58,195;17,142;-4,324;426.99200000
20.00000000;0.00000000;0.00000000;-59,191;-58,189;17,140;-4,319;449.09800000
21.00000000;0.00000000;0.00000000;-59,185;-58,183;17,136;-4,314;471.13000000
22.00000000;0.00000000;0.00000000;-59,179;-58,175;17,130;-4,311;494.01300000
23.00000000;0.00000000;0.00000000;-59,170;-58,168;17,123;-4,308;515.89800000
24.00000000;0.00000000;0.00000000;-59,163;-58,161;17,117;-4,306;538.04200000
25.00000000;0.00000000;0.00000000;-59,155;-58,152;17,109;-4,303;560.65100000
26.00000000;0.00000000;0.00000000;-59,146;-58,144;17,104;-4,301;583.34700000
27.00000000;0.00000000;0.00000000;-59,137;-58,135;17,099;-4,298;605.58700000
28.00000000;0.00000000;0.00000000;-59,128;-58,127;17,096;-4,294;627.89600000
29.00000000;0.00000000;0.00000000;-59,117;-58,117;17,093;-4,289;649.68800000
30.00000000;0.00000000;0.00000000;-59,108;-58,109;17,093;-4,283;671.60700000
31.00000000;0.00000000;0.00000000;-59,098;-58,100;17,092;-4,277;693.94000000
32.00000000;0.00000000;0.00000000;-59,090;-58,093;17,094;-4,272;715.98700000
33.00000000;0.00000000;0.00000000;-59,082;-58,086;17,095;-4,265;737.93700000
34.00000000;0.00000000;0.00000000;-59,075;-58,079;17,095;-4,258;760.60600000
35.00000000;0.00000000;0.00000000;-59,070;-58,074;17,093;-4,252;782.91900000
36.00000000;0.00000000;0.00000000;-59,065;-58,069;17,089;-4,245;804.79400000
37.00000000;0.00000000;0.00000000;-59,063;-58,066;17,085;-4,238;827.08200000
38.00000000;0.00000000;0.00000000;-59,059;-58,064;17,081;-4,230;848.30200000
39.00000000;0.00000000;0.00000000;-59,056;-58,060;17,077;-4,221;870.83400000
40.00000000;0.00000000;0.00000000;-59,054;-58,057;17,074;-4,209;893.52700000
41.00000000;0.00000000;0.00000000;-59,052;-58,055;17,070;-4,199;915.05100000
42.00000000;0.00000000;0.00000000;-59,050;-58,054;17,062;-4,188;936.19100000
43.00000000;0.00000000;0.00000000;-59,050;-58,054;17,054;-4,180;958.47900000
44.00000000;0.00000000;0.00000000;-59,050;-58,054;17,044;-4,170;979.66200000
45.00000000;0.00000000;0.00000000;-59,049;-58,054;17,034;-4,160;999.83300000
46.00000000;0.00000000;0.00000000;-59,049;-58,054;17,024;-4,149;1,020.61600000
47.00000000;0.00000000;0.00000000;-59,049;-58,054;17,018;-4,137;1,042.69200000
48.00000000;0.00000000;0.00000000;-59,049;-58,054;17,014;-4,124;1,064.05000000
49.00000000;0.00000000;0.00000000;-59,049;-58,054;17,010;-4,113;1,085.09000000
50.00000000;0.00000000;0.00000000;-59,049;-58,056;17,000;-4,101;1,106.52600000
51.00000000;0.00000000;0.00000000;-59,052;-58,057;16,990;-4,092;1,127.79100000
52.00000000;0.00000000;0.00000000;-59,053;-58,058;16,978;-4,083;1,149.29600000
53.00000000;0.00000000;0.00000000;-59,055;-58,059;16,966;-4,075;1,170.79500000
54.00000000;0.00000000;0.00000000;-59,057;-58,060;16,953;-4,066;1,194.03200000
55.00000000;0.00000000;0.00000000;-59,059;-58,062;16,943;-4,058;1,216.18800000
56.00000000;0.00000000;0.00000000;-59,061;-58,063;16,938;-4,050;1,237.89000000
57.00000000;0.00000000;0.00000000;-59,064;-58,067;16,933;-4,042;1,260.57500000
58.00000000;0.00000000;0.00000000;-59,066;-58,070;16,929;-4,034;1,282.25700000
59.00000000;0.00000000;0.00000000;-59,070;-58,075;16,923;-4,027;1,303.70200000
60.00000000;0.00000000;0.00000000;-59,076;-58,080;16,917;-4,022;1,326.52600000
61.00000000;0.00000000;0.00000000;-59,082;-58,086;16,910;-4,017;1,348.52700000
62.00000000;0.00000000;0.00000000;-59,088;-58,093;16,903;-4,013;1,370.29400000
63.00000000;0.00000000;0.00000000;-59,094;-58,099;16,893;-4,010;1,393.02100000
64.00000000;0.00000000;0.00000000;-59,099;-58,104;16,886;-4,006;1,415.12300000
65.00000000;0.00000000;0.00000000;-59,105;-58,109;16,881;-4,003;1,437.28500000
66.00000000;0.00000000;0.00000000;-59,110;-58,114;16,878;-3,998;1,460.28900000
67.00000000;0.00000000;0.00000000;-59,116;-58,121;16,875;-3,994;1,482.26400000
68.00000000;0.00000000;0.00000000;-59,120;-58,126;16,870;-3,989;1,504.06600000
69.00000000;0.00000000;0.00000000;-59,125;-58,131;16,865;-3,985;1,526.61200000
70.00000000;0.00000000;0.00000000;-59,131;-58,136;16,859;-3,981;1,548.21300000
71.00000000;0.00000000;0.00000000;-59,135;-58,139;16,855;-3,975;1,569.80400000
72.00000000;0.00000000;0.00000000;-59,140;-58,144;16,849;-3,969;1,592.86200000
73.00000000;0.00000000;0.00000000;-59,144;-58,148;16,844;-3,962;1,614.97700000
74.00000000;0.00000000;0.00000000;-59,146;-58,152;16,839;-3,956;1,636.47400000
75.00000000;0.00000000;0.00000000;-59,149;-58,156;16,832;-3,950;1,658.77300000
76.00000000;0.00000000;0.00000000;-59,153;-58,160;16,822;-3,944;1,680.07500000
77.00000000;0.00000000;0.00000000;-59,158;-58,164;16,811;-3,938;1,700.82700000
78.00000000;0.00000000;0.00000000;-59,163;-58,168;16,800;-3,930;1,722.57700000
79.00000000;0.00000000;0.00000000;-59,168;-58,173;16,789;-3,924;1,744.73500000
80.00000000;0.00000000;0.00000000;-59,174;-58,179;16,781;-3,916;1,767.13200000
81.00000000;0.00000000;0.00000000;-59,180;-58,185;16,776;-3,908;1,789.57700000
82.00000000;0.00000000;0.00000000;-59,185;-58,190;16,773;-3,901;1,811.55300000
83.00000000;0.00000000;0.00000000;-59,190;-58,196;16,772;-3,894;1,833.28400000
84.00000000;0.00000000;0.00000000;-59,196;-58,201;16,771;-3,889;1,854.83000000
85.00000000;0.00000000;0.00000000;-59,202;-58,207;16,766;-3,883;1,877.34800000
86.00000000;0.00000000;0.00000000;-59,209;-58,215;16,759;-3,878;1,899.23000000
