counter;event
start;4/4/2022 3:32:41 PM
1;antfreeze_off
75;rot_gain_set_to_-1
141;view_cleared
4,247;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,306;rot_gain_set_to_0
4,358;movedto_0;0
4,358;rotatedto_272degs
4,763;view_cleared
8,875;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,024;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,185;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,248;rot_gain_set_to_1
13,321;view_cleared
17,596;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
17,655;rot_gain_set_to_5
18,371;view_cleared
22,312;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,373;rot_gain_set_to_3
23,245;view_cleared
27,404;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,455;SUCCESS
end;4/4/2022 3:42:51 PM
