counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;3,571;7,123;49,288;-191,259;0.01400000
1.00000000;0.00000000;0.00000000;3,558;7,110;49,271;-191,262;27.89000000
2.00000000;0.00000000;0.00000000;3,548;7,101;49,260;-191,265;49.87800000
3.00000000;0.00000000;0.00000000;3,539;7,091;49,249;-191,268;71.94700000
4.00000000;0.00000000;0.00000000;3,528;7,081;49,239;-191,270;94.56100000
5.00000000;0.00000000;0.00000000;3,520;7,072;49,231;-191,271;116.44700000
6.00000000;0.00000000;0.00000000;3,512;7,063;49,222;-191,271;138.50800000
7.00000000;0.00000000;0.00000000;3,505;7,054;49,212;-191,271;161.00800000
8.00000000;0.00000000;0.00000000;3,498;7,046;49,201;-191,272;183.08400000
9.00000000;0.00000000;0.00000000;3,492;7,040;49,189;-191,274;205.22500000
10.00000000;0.00000000;0.00000000;3,485;7,033;49,175;-191,277;227.29000000
11.00000000;0.00000000;0.00000000;3,479;7,026;49,164;-191,281;249.26800000
12.00000000;0.00000000;0.00000000;3,474;7,020;49,156;-191,283;271.06400000
13.00000000;0.00000000;0.00000000;3,467;7,014;49,146;-191,283;294.03800000
14.00000000;0.00000000;0.00000000;3,462;7,009;49,138;-191,283;315.89600000
15.00000000;0.00000000;0.00000000;3,459;7,003;49,131;-191,281;337.66700000
16.00000000;0.00000000;0.00000000;3,454;6,998;49,120;-191,279;360.37700000
17.00000000;0.00000000;0.00000000;3,451;6,995;49,112;-191,279;382.19400000
18.00000000;0.00000000;0.00000000;3,448;6,991;49,105;-191,283;404.13400000
19.00000000;0.00000000;0.00000000;3,445;6,989;49,099;-191,288;427.65900000
20.00000000;0.00000000;0.00000000;3,443;6,987;49,095;-191,292;450.05900000
21.00000000;0.00000000;0.00000000;3,442;6,986;49,091;-191,295;471.76900000
22.00000000;0.00000000;0.00000000;3,442;6,986;49,085;-191,298;493.96700000
23.00000000;0.00000000;0.00000000;3,442;6,986;49,081;-191,298;515.02000000
24.00000000;0.00000000;0.00000000;3,445;6,986;49,076;-191,299;536.02000000
25.00000000;0.00000000;0.00000000;3,447;6,990;49,069;-191,300;558.80200000
26.00000000;0.00000000;0.00000000;3,451;6,993;49,063;-191,301;580.48900000
27.00000000;0.00000000;0.00000000;3,456;6,997;49,056;-191,303;602.01600000
28.00000000;0.00000000;0.00000000;3,460;7,002;49,049;-191,305;623.54700000
29.00000000;0.00000000;0.00000000;3,466;7,008;49,043;-191,309;644.70300000
30.00000000;0.00000000;0.00000000;3,472;7,016;49,040;-191,312;666.33500000
31.00000000;0.00000000;0.00000000;3,479;7,022;49,039;-191,314;688.19700000
32.00000000;0.00000000;0.00000000;3,485;7,028;49,041;-191,314;711.87900000
33.00000000;0.00000000;0.00000000;3,491;7,033;49,043;-191,314;735.14400000
34.00000000;0.00000000;0.00000000;3,497;7,038;49,045;-191,312;755.81100000
35.00000000;0.00000000;0.00000000;3,501;7,043;49,047;-191,311;778.39300000
36.00000000;0.00000000;0.00000000;3,505;7,047;49,047;-191,311;799.38000000
37.00000000;0.00000000;0.00000000;3,511;7,051;49,047;-191,310;820.82000000
38.00000000;0.00000000;0.00000000;3,514;7,054;49,047;-191,309;843.94500000
39.00000000;0.00000000;0.00000000;3,518;7,058;49,045;-191,309;865.90000000
40.00000000;0.00000000;0.00000000;3,521;7,061;49,045;-191,309;887.68300000
41.00000000;0.00000000;0.00000000;3,524;7,063;49,045;-191,309;910.27200000
42.00000000;0.00000000;0.00000000;3,527;7,066;49,045;-191,308;931.97700000
43.00000000;0.00000000;0.00000000;3,529;7,068;49,045;-191,308;953.51400000
44.00000000;0.00000000;0.00000000;3,531;7,069;49,045;-191,308;976.33900000
45.00000000;0.00000000;0.00000000;3,532;7,070;49,045;-191,307;997.90100000
46.00000000;0.00000000;0.00000000;3,533;7,071;49,045;-191,307;1,018.98800000
47.00000000;0.00000000;0.00000000;3,533;7,072;49,045;-191,306;1,042.36500000
48.00000000;0.00000000;0.00000000;3,534;7,072;49,045;-191,304;1,062.45400000
49.00000000;0.00000000;0.00000000;3,532;7,072;49,047;-191,300;1,083.12700000
50.00000000;0.00000000;0.00000000;3,530;7,070;49,048;-191,295;1,104.74000000
51.00000000;0.00000000;0.00000000;3,528;7,067;49,049;-191,286;1,127.17000000
52.00000000;0.00000000;0.00000000;3,523;7,063;49,049;-191,278;1,149.11200000
53.00000000;0.00000000;0.00000000;3,518;7,058;49,047;-191,272;1,171.88200000
54.00000000;0.00000000;0.00000000;3,513;7,053;49,045;-191,270;1,195.37800000
55.00000000;0.00000000;0.00000000;3,506;7,045;49,043;-191,270;1,218.90900000
56.00000000;0.00000000;0.00000000;3,498;7,036;49,041;-191,270;1,240.82700000
57.00000000;0.00000000;0.00000000;3,490;7,030;49,037;-191,270;1,261.95500000
58.00000000;0.00000000;0.00000000;3,481;7,022;49,033;-191,270;1,284.28500000
59.00000000;0.00000000;0.00000000;3,472;7,013;49,027;-191,266;1,306.84600000
60.00000000;0.00000000;0.00000000;3,463;7,003;49,021;-191,263;1,328.85400000
61.00000000;0.00000000;0.00000000;3,453;6,993;49,013;-191,260;1,350.79200000
62.00000000;0.00000000;0.00000000;3,444;6,985;49,004;-191,260;1,372.55500000
63.00000000;0.00000000;0.00000000;3,433;6,975;48,995;-191,260;1,395.65900000
64.00000000;0.00000000;0.00000000;3,424;6,965;48,987;-191,263;1,417.48800000
65.00000000;0.00000000;0.00000000;3,414;6,955;48,980;-191,266;1,439.72700000
66.00000000;0.00000000;0.00000000;3,405;6,948;48,974;-191,269;1,462.26200000
67.00000000;0.00000000;0.00000000;3,395;6,938;48,967;-191,271;1,484.35300000
68.00000000;0.00000000;0.00000000;3,385;6,927;48,957;-191,271;1,509.55100000
69.00000000;0.00000000;0.00000000;3,377;6,920;48,947;-191,268;1,531.79700000
70.00000000;0.00000000;0.00000000;3,370;6,912;48,938;-191,266;1,554.09800000
71.00000000;0.00000000;0.00000000;3,363;6,904;48,927;-191,265;1,576.99800000
72.00000000;0.00000000;0.00000000;3,355;6,895;48,916;-191,264;1,599.85900000
73.00000000;0.00000000;0.00000000;3,348;6,889;48,908;-191,266;1,621.83300000
74.00000000;0.00000000;0.00000000;3,342;6,883;48,905;-191,270;1,645.21200000
