counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;173,177;169,150;-211,583;172,722;0.01400000
1.00000000;0.00000000;0.00000000;173,185;169,157;-211,575;172,720;27.17600000
2.00000000;0.00000000;0.00000000;173,190;169,162;-211,570;172,719;49.66200000
3.00000000;0.00000000;0.00000000;173,196;169,170;-211,565;172,718;73.38700000
4.00000000;0.00000000;0.00000000;173,203;169,176;-211,564;172,720;97.67700000
5.00000000;0.00000000;0.00000000;173,208;169,182;-211,563;172,725;120.59400000
6.00000000;0.00000000;0.00000000;173,214;169,189;-211,562;172,728;144.19500000
7.00000000;0.00000000;0.00000000;173,221;169,194;-211,561;172,732;166.34500000
8.00000000;0.00000000;0.00000000;173,227;169,199;-211,559;172,737;187.88000000
9.00000000;0.00000000;0.00000000;173,233;169,203;-211,559;172,741;209.55400000
10.00000000;0.00000000;0.00000000;173,238;169,210;-211,558;172,742;233.22500000
11.00000000;0.00000000;0.00000000;173,244;169,217;-211,554;172,743;258.89500000
12.00000000;0.00000000;0.00000000;173,249;169,222;-211,548;172,741;282.17800000
13.00000000;0.00000000;0.00000000;173,254;169,227;-211,542;172,740;304.06500000
14.00000000;0.00000000;0.00000000;173,259;169,231;-211,537;172,739;327.85500000
15.00000000;0.00000000;0.00000000;173,263;169,236;-211,533;172,738;350.08000000
16.00000000;0.00000000;0.00000000;173,267;169,240;-211,530;172,737;372.04700000
17.00000000;0.00000000;0.00000000;173,272;169,246;-211,525;172,732;393.90400000
18.00000000;0.00000000;0.00000000;173,276;169,250;-211,520;172,726;416.32800000
19.00000000;0.00000000;0.00000000;173,279;169,255;-211,513;172,720;438.43000000
20.00000000;0.00000000;0.00000000;173,282;169,259;-211,507;172,716;460.18300000
21.00000000;0.00000000;0.00000000;173,286;169,263;-211,502;172,713;483.18500000
22.00000000;0.00000000;0.00000000;173,290;169,266;-211,497;172,712;505.47100000
23.00000000;0.00000000;0.00000000;173,293;169,269;-211,494;172,710;527.85400000
24.00000000;0.00000000;0.00000000;173,296;169,272;-211,491;172,708;550.67000000
25.00000000;0.00000000;0.00000000;173,298;169,274;-211,489;172,707;573.15600000
26.00000000;0.00000000;0.00000000;173,299;169,276;-211,488;172,704;597.52200000
27.00000000;0.00000000;0.00000000;173,300;169,278;-211,488;172,701;621.29000000
28.00000000;0.00000000;0.00000000;173,300;169,278;-211,488;172,699;643.77000000
29.00000000;0.00000000;0.00000000;173,300;169,279;-211,488;172,699;666.38300000
30.00000000;0.00000000;0.00000000;173,300;169,279;-211,488;172,699;687.34100000
31.00000000;0.00000000;0.00000000;173,301;169,279;-211,486;172,701;708.86600000
32.00000000;0.00000000;0.00000000;173,301;169,279;-211,482;172,702;730.80700000
33.00000000;0.00000000;0.00000000;173,302;169,279;-211,478;172,705;752.05700000
34.00000000;0.00000000;0.00000000;173,303;169,279;-211,475;172,705;773.45100000
35.00000000;0.00000000;0.00000000;173,304;169,282;-211,471;172,706;793.76400000
36.00000000;0.00000000;0.00000000;173,305;169,283;-211,468;172,706;816.08400000
37.00000000;0.00000000;0.00000000;173,307;169,285;-211,466;172,707;837.99100000
38.00000000;0.00000000;0.00000000;173,309;169,287;-211,466;172,708;859.99400000
39.00000000;0.00000000;0.00000000;173,312;169,290;-211,466;172,711;883.19000000
40.00000000;0.00000000;0.00000000;173,315;169,294;-211,468;172,714;905.21800000
41.00000000;0.00000000;0.00000000;173,319;169,297;-211,468;172,717;927.17400000
42.00000000;0.00000000;0.00000000;173,324;169,302;-211,468;172,720;950.28900000
43.00000000;0.00000000;0.00000000;173,330;169,310;-211,462;172,721;975.23300000
44.00000000;0.00000000;0.00000000;173,338;169,317;-211,457;172,721;1,001.08600000
45.00000000;0.00000000;0.00000000;173,347;169,324;-211,450;172,718;1,026.64100000
46.00000000;0.00000000;0.00000000;173,353;169,332;-211,445;172,716;1,049.59100000
47.00000000;0.00000000;0.00000000;173,362;169,339;-211,439;172,713;1,071.62000000
48.00000000;0.00000000;0.00000000;173,369;169,345;-211,435;172,711;1,093.54100000
49.00000000;0.00000000;0.00000000;173,378;169,355;-211,432;172,711;1,117.15200000
50.00000000;0.00000000;0.00000000;173,385;169,360;-211,429;172,715;1,139.53500000
51.00000000;0.00000000;0.00000000;173,393;169,367;-211,427;172,718;1,161.44600000
52.00000000;0.00000000;0.00000000;173,400;169,375;-211,425;172,724;1,183.73500000
53.00000000;0.00000000;0.00000000;173,407;169,383;-211,422;172,727;1,206.00900000
54.00000000;0.00000000;0.00000000;173,415;169,391;-211,418;172,733;1,227.44800000
55.00000000;0.00000000;0.00000000;173,423;169,398;-211,415;172,737;1,250.31800000
56.00000000;0.00000000;0.00000000;173,430;169,406;-211,412;172,741;1,272.68000000
57.00000000;0.00000000;0.00000000;173,437;169,414;-211,408;172,743;1,294.46300000
58.00000000;0.00000000;0.00000000;173,445;169,422;-211,403;172,743;1,316.94600000
59.00000000;0.00000000;0.00000000;173,452;169,429;-211,399;172,740;1,338.88100000
60.00000000;0.00000000;0.00000000;173,460;169,436;-211,395;172,736;1,360.88100000
61.00000000;0.00000000;0.00000000;173,466;169,444;-211,392;172,732;1,383.42900000
62.00000000;0.00000000;0.00000000;173,474;169,451;-211,389;172,726;1,405.58700000
63.00000000;0.00000000;0.00000000;173,480;169,458;-211,385;172,721;1,427.27400000
64.00000000;0.00000000;0.00000000;173,487;169,465;-211,380;172,715;1,449.81100000
65.00000000;0.00000000;0.00000000;173,493;169,471;-211,374;172,708;1,471.42000000
66.00000000;0.00000000;0.00000000;173,499;169,478;-211,369;172,703;1,494.92700000
67.00000000;0.00000000;0.00000000;173,504;169,483;-211,369;172,703;1,517.65100000
68.00000000;0.00000000;0.00000000;173,510;169,489;-211,368;172,703;1,539.00400000
69.00000000;0.00000000;0.00000000;173,515;169,493;-211,368;172,703;1,560.64900000
70.00000000;0.00000000;0.00000000;173,519;169,497;-211,368;172,702;1,583.20000000
71.00000000;0.00000000;0.00000000;173,521;169,500;-211,368;172,699;1,604.81900000
72.00000000;0.00000000;0.00000000;173,523;169,503;-211,368;172,697;1,625.78600000
73.00000000;0.00000000;0.00000000;173,524;169,505;-211,368;172,695;1,648.13400000
74.00000000;0.00000000;0.00000000;173,525;169,506;-211,367;172,694;1,669.52700000
75.00000000;0.00000000;0.00000000;173,525;169,506;-211,366;172,694;1,694.46700000
76.00000000;0.00000000;0.00000000;173,525;169,506;-211,365;172,694;1,716.19700000
77.00000000;0.00000000;0.00000000;173,525;169,504;-211,365;172,694;1,737.60600000
78.00000000;0.00000000;0.00000000;173,522;169,502;-211,364;172,692;1,759.47900000
79.00000000;0.00000000;0.00000000;173,519;169,500;-211,363;172,688;1,782.20000000
80.00000000;0.00000000;0.00000000;173,515;169,497;-211,361;172,684;1,804.09400000
81.00000000;0.00000000;0.00000000;173,510;169,493;-211,357;172,680;1,826.09400000
82.00000000;0.00000000;0.00000000;173,504;169,488;-211,353;172,675;1,851.42700000
83.00000000;0.00000000;0.00000000;173,497;169,481;-211,348;172,673;1,873.95200000
84.00000000;0.00000000;0.00000000;173,490;169,476;-211,343;172,671;1,895.80900000
85.00000000;0.00000000;0.00000000;173,484;169,469;-211,341;172,671;1,917.65200000
86.00000000;0.00000000;0.00000000;173,477;169,462;-211,341;172,671;1,939.30900000
87.00000000;0.00000000;0.00000000;173,470;169,456;-211,341;172,671;1,962.04900000
88.00000000;0.00000000;0.00000000;173,465;169,451;-211,341;172,671;1,984.49600000
89.00000000;0.00000000;0.00000000;173,459;169,447;-211,340;172,668;2,006.11100000
90.00000000;0.00000000;0.00000000;173,455;169,443;-211,337;172,665;2,027.25000000
91.00000000;0.00000000;0.00000000;173,451;169,440;-211,334;172,662;2,050.01300000
92.00000000;0.00000000;0.00000000;173,448;169,438;-211,331;172,660;2,071.08100000
93.00000000;0.00000000;0.00000000;173,447;169,436;-211,329;172,657;2,092.40300000
94.00000000;0.00000000;0.00000000;173,445;169,434;-211,327;172,656;2,116.13100000
95.00000000;0.00000000;0.00000000;173,444;169,434;-211,325;172,656;2,140.40600000
96.00000000;0.00000000;0.00000000;173,443;169,433;-211,323;172,656;2,165.23500000
97.00000000;0.00000000;0.00000000;173,443;169,432;-211,323;172,658;2,186.99000000
98.00000000;0.00000000;0.00000000;173,443;169,432;-211,323;172,659;2,207.65700000
99.00000000;0.00000000;0.00000000;173,443;169,432;-211,323;172,660;2,233.96400000
100.00000000;0.00000000;0.00000000;173,443;169,432;-211,325;172,660;2,255.15200000
101.00000000;0.00000000;0.00000000;173,443;169,432;-211,325;172,660;2,276.35100000
102.00000000;0.00000000;0.00000000;173,443;169,432;-211,325;172,660;2,298.56600000
103.00000000;0.00000000;0.00000000;173,443;169,432;-211,325;172,658;2,319.25900000
104.00000000;0.00000000;0.00000000;173,443;169,432;-211,323;172,656;2,339.98400000
105.00000000;0.00000000;0.00000000;173,442;169,432;-211,320;172,653;2,361.16900000
106.00000000;0.00000000;0.00000000;173,440;169,430;-211,317;172,649;2,383.92800000
107.00000000;0.00000000;0.00000000;173,437;169,427;-211,315;172,646;2,406.43300000
108.00000000;0.00000000;0.00000000;173,432;169,423;-211,312;172,645;2,428.68200000
109.00000000;0.00000000;0.00000000;173,427;169,418;-211,311;172,645;2,450.98700000
110.00000000;0.00000000;0.00000000;173,421;169,412;-211,311;172,647;2,472.78700000
111.00000000;0.00000000;0.00000000;173,415;169,407;-211,311;172,650;2,495.13700000
112.00000000;0.00000000;0.00000000;173,409;169,401;-211,311;172,653;2,518.79000000
113.00000000;0.00000000;0.00000000;173,404;169,396;-211,311;172,656;2,541.55300000
114.00000000;0.00000000;0.00000000;173,400;169,392;-211,311;172,658;2,564.36600000
115.00000000;0.00000000;0.00000000;173,397;169,389;-211,310;172,661;2,586.22900000
116.00000000;0.00000000;0.00000000;173,394;169,386;-211,308;172,664;2,608.39700000
117.00000000;0.00000000;0.00000000;173,392;169,384;-211,306;172,668;2,630.60300000
118.00000000;0.00000000;0.00000000;173,391;169,383;-211,303;172,672;2,652.28700000
119.00000000;0.00000000;0.00000000;173,390;169,383;-211,301;172,675;2,673.26800000
120.00000000;0.00000000;0.00000000;173,390;169,383;-211,299;172,677;2,694.75500000
121.00000000;0.00000000;0.00000000;173,390;169,383;-211,297;172,678;2,717.07800000
122.00000000;0.00000000;0.00000000;173,390;169,383;-211,295;172,678;2,738.24500000
123.00000000;0.00000000;0.00000000;173,393;169,386;-211,293;172,678;2,759.61700000
124.00000000;0.00000000;0.00000000;173,393;169,387;-211,292;172,675;2,782.79800000
125.00000000;0.00000000;0.00000000;173,394;169,389;-211,290;172,673;2,806.08100000
126.00000000;0.00000000;0.00000000;173,396;169,392;-211,288;172,672;2,832.07900000
127.00000000;0.00000000;0.00000000;173,399;169,394;-211,285;172,671;2,856.29300000
128.00000000;0.00000000;0.00000000;173,403;169,398;-211,281;172,670;2,879.10600000
129.00000000;0.00000000;0.00000000;173,406;169,401;-211,275;172,668;2,902.56300000
130.00000000;0.00000000;0.00000000;173,409;169,405;-211,270;172,666;2,924.42200000
131.00000000;0.00000000;0.00000000;173,413;169,409;-211,265;172,662;2,946.43500000
132.00000000;0.00000000;0.00000000;173,418;169,414;-211,263;172,658;2,968.58400000
133.00000000;0.00000000;0.00000000;173,422;169,419;-211,263;172,656;2,990.31500000
134.00000000;0.00000000;0.00000000;173,428;169,425;-211,263;172,654;3,012.47100000
135.00000000;0.00000000;0.00000000;173,434;169,431;-211,263;172,654;3,035.27500000
136.00000000;0.00000000;0.00000000;173,440;169,437;-211,262;172,656;3,057.29200000
137.00000000;0.00000000;0.00000000;173,445;169,442;-211,260;172,659;3,078.93800000
138.00000000;0.00000000;0.00000000;173,452;169,450;-211,258;172,664;3,101.23000000
139.00000000;0.00000000;0.00000000;173,459;169,459;-211,256;172,669;3,123.57600000
140.00000000;0.00000000;0.00000000;173,465;169,465;-211,254;172,672;3,145.26000000
141.00000000;0.00000000;0.00000000;173,471;169,472;-211,252;172,672;3,168.11200000
142.00000000;0.00000000;0.00000000;173,478;169,478;-211,251;172,672;3,189.75900000
143.00000000;0.00000000;0.00000000;173,483;169,484;-211,249;172,672;3,211.40000000
144.00000000;0.00000000;0.00000000;173,489;169,489;-211,248;172,670;3,233.98300000
145.00000000;0.00000000;0.00000000;173,494;169,496;-211,245;172,669;3,255.63400000
146.00000000;0.00000000;0.00000000;173,500;169,501;-211,243;172,669;3,277.43700000
147.00000000;0.00000000;0.00000000;173,507;169,507;-211,239;172,669;3,300.20200000
148.00000000;0.00000000;0.00000000;173,513;169,513;-211,236;172,671;3,321.71600000
149.00000000;0.00000000;0.00000000;173,520;169,520;-211,234;172,672;3,343.60600000
150.00000000;0.00000000;0.00000000;173,527;169,528;-211,234;172,674;3,366.94400000
151.00000000;0.00000000;0.00000000;173,536;169,535;-211,233;172,675;3,388.83300000
152.00000000;0.00000000;0.00000000;173,543;169,543;-211,232;172,675;3,410.80600000
153.00000000;0.00000000;0.00000000;173,551;169,552;-211,230;172,675;3,433.62000000
154.00000000;0.00000000;0.00000000;173,560;169,562;-211,227;172,675;3,455.88300000
155.00000000;0.00000000;0.00000000;173,569;169,570;-211,224;172,675;3,478.35300000
156.00000000;0.00000000;0.00000000;173,578;169,579;-211,220;172,677;3,501.71600000
157.00000000;0.00000000;0.00000000;173,586;169,587;-211,218;172,679;3,524.21900000
158.00000000;0.00000000;0.00000000;173,595;169,597;-211,215;172,683;3,546.48000000
159.00000000;0.00000000;0.00000000;173,604;169,607;-211,212;172,686;3,569.26200000
160.00000000;0.00000000;0.00000000;173,614;169,616;-211,210;172,690;3,591.09400000
161.00000000;0.00000000;0.00000000;173,623;169,625;-211,208;172,694;3,613.02400000
162.00000000;0.00000000;0.00000000;173,634;169,634;-211,204;172,696;3,636.04600000
163.00000000;0.00000000;0.00000000;173,645;169,645;-211,200;172,697;3,658.15900000
164.00000000;0.00000000;0.00000000;173,655;169,654;-211,197;172,697;3,679.91900000
165.00000000;0.00000000;0.00000000;173,666;169,667;-211,193;172,697;3,704.14500000
166.00000000;0.00000000;0.00000000;173,676;169,678;-211,189;172,697;3,728.25100000
167.00000000;0.00000000;0.00000000;173,688;169,690;-211,185;172,697;3,751.02900000
168.00000000;0.00000000;0.00000000;173,699;169,700;-211,180;172,697;3,773.35000000
169.00000000;0.00000000;0.00000000;173,710;169,711;-211,176;172,697;3,796.18700000
170.00000000;0.00000000;0.00000000;173,721;169,723;-211,172;172,698;3,819.62200000
171.00000000;0.00000000;0.00000000;173,733;169,734;-211,170;172,698;3,841.41000000
172.00000000;0.00000000;0.00000000;173,742;169,744;-211,168;172,698;3,863.16600000
173.00000000;0.00000000;0.00000000;173,753;169,756;-211,167;172,696;3,886.10000000
174.00000000;0.00000000;0.00000000;173,763;169,767;-211,166;172,695;3,907.71300000
175.00000000;0.00000000;0.00000000;173,772;169,777;-211,163;172,694;3,929.42600000
176.00000000;0.00000000;0.00000000;173,781;169,787;-211,159;172,691;3,951.97800000
177.00000000;0.00000000;0.00000000;173,790;169,796;-211,154;172,688;3,973.34700000
178.00000000;0.00000000;0.00000000;173,800;169,806;-211,149;172,685;3,995.02600000
179.00000000;0.00000000;0.00000000;173,810;169,814;-211,142;172,682;4,017.61800000
180.00000000;0.00000000;0.00000000;173,819;169,823;-211,137;172,679;4,039.55600000
181.00000000;0.00000000;0.00000000;173,828;169,832;-211,131;172,677;4,061.65200000
182.00000000;0.00000000;0.00000000;173,839;169,841;-211,125;172,674;4,084.28400000
183.00000000;0.00000000;0.00000000;173,847;169,850;-211,122;172,671;4,106.03300000
184.00000000;0.00000000;0.00000000;173,856;169,859;-211,118;172,667;4,128.18800000
185.00000000;0.00000000;0.00000000;173,866;169,869;-211,115;172,665;4,151.13800000
186.00000000;0.00000000;0.00000000;173,874;169,877;-211,112;172,663;4,173.17400000
187.00000000;0.00000000;0.00000000;173,883;169,886;-211,109;172,663;4,195.26900000
