counter;event
start;4/4/2022 5:08:20 PM
1;antfreeze_off
53;rot_gain_set_to_1
104;view_cleared
4,101;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,170;rot_gain_set_to_0
4,238;movedto_0;0
4,238;rotatedto_10degs
4,722;view_cleared
8,882;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,937;rot_gain_set_to_3
9,547;view_cleared
13,938;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,988;rot_gain_set_to_-1
14,532;view_cleared
18,505;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,563;rot_gain_set_to_5
18,977;view_cleared
23,068;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
23,236;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,548;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,595;SUCCESS
end;4/4/2022 5:18:32 PM
