counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;275,399;280,411;353,021;223,888;0.01400000
1.00000000;0.00000000;0.00000000;275,389;280,402;353,025;223,886;27.53400000
2.00000000;0.00000000;0.00000000;275,382;280,394;353,028;223,885;49.83400000
3.00000000;0.00000000;0.00000000;275,375;280,387;353,033;223,885;71.70000000
4.00000000;0.00000000;0.00000000;275,368;280,380;353,038;223,885;94.10100000
5.00000000;0.00000000;0.00000000;275,363;280,375;353,045;223,888;116.22900000
6.00000000;0.00000000;0.00000000;275,357;280,369;353,052;223,892;137.85400000
7.00000000;0.00000000;0.00000000;275,353;280,364;353,060;223,898;160.51300000
8.00000000;0.00000000;0.00000000;275,349;280,359;353,069;223,906;182.78500000
9.00000000;0.00000000;0.00000000;275,344;280,354;353,074;223,912;205.70100000
10.00000000;0.00000000;0.00000000;275,340;280,351;353,079;223,918;227.86100000
11.00000000;0.00000000;0.00000000;275,336;280,347;353,084;223,921;249.52100000
12.00000000;0.00000000;0.00000000;275,333;280,344;353,088;223,921;271.14100000
13.00000000;0.00000000;0.00000000;275,330;280,342;353,094;223,921;294.16100000
14.00000000;0.00000000;0.00000000;275,328;280,341;353,099;223,921;315.78000000
15.00000000;0.00000000;0.00000000;275,326;280,339;353,106;223,921;338.11800000
16.00000000;0.00000000;0.00000000;275,325;280,338;353,113;223,925;360.79000000
17.00000000;0.00000000;0.00000000;275,325;280,337;353,117;223,931;382.07200000
18.00000000;0.00000000;0.00000000;275,325;280,337;353,121;223,936;403.56400000
19.00000000;0.00000000;0.00000000;275,325;280,337;353,125;223,941;425.74900000
20.00000000;0.00000000;0.00000000;275,325;280,337;353,127;223,945;446.72900000
21.00000000;0.00000000;0.00000000;275,325;280,337;353,129;223,947;467.53700000
22.00000000;0.00000000;0.00000000;275,325;280,337;353,130;223,949;487.65100000
23.00000000;0.00000000;0.00000000;275,327;280,339;353,132;223,950;509.91800000
24.00000000;0.00000000;0.00000000;275,328;280,341;353,136;223,951;531.63400000
25.00000000;0.00000000;0.00000000;275,330;280,342;353,140;223,952;552.77400000
26.00000000;0.00000000;0.00000000;275,332;280,344;353,147;223,954;574.69000000
