counter;event
start;4/1/2022 12:43:01 PM
1;antfreeze_off
54;rot_gain_set_to_1
108;view_cleared
4,026;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,114;rot_gain_set_to_3
4,744;view_cleared
8,788;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,850;rot_gain_set_to_0
8,904;movedto_0;0
8,904;rotatedto_8degs
9,460;view_cleared
13,144;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,230;rot_gain_set_to_5
14,082;view_cleared
18,110;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,186;rot_gain_set_to_-1
18,797;view_cleared
22,544;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,865;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,166;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,212;SUCCESS
end;4/1/2022 12:53:03 PM
