counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;136,939;139,736;39,705;154,676;0.01400000
1.00000000;0.00000000;0.00000000;136,952;139,746;39,708;154,678;27.83900000
2.00000000;0.00000000;0.00000000;136,962;139,756;39,710;154,679;50.83300000
3.00000000;0.00000000;0.00000000;136,972;139,767;39,711;154,676;73.31200000
4.00000000;0.00000000;0.00000000;136,982;139,777;39,711;154,672;97.13000000
5.00000000;0.00000000;0.00000000;136,993;139,785;39,711;154,667;119.36400000
6.00000000;0.00000000;0.00000000;137,003;139,795;39,708;154,663;140.99800000
7.00000000;0.00000000;0.00000000;137,013;139,803;39,705;154,659;164.08500000
8.00000000;0.00000000;0.00000000;137,023;139,814;39,702;154,654;185.82200000
9.00000000;0.00000000;0.00000000;137,032;139,822;39,700;154,650;207.87100000
10.00000000;0.00000000;0.00000000;137,041;139,831;39,698;154,647;230.34900000
11.00000000;0.00000000;0.00000000;137,048;139,840;39,696;154,646;251.97400000
12.00000000;0.00000000;0.00000000;137,057;139,848;39,695;154,645;273.56700000
13.00000000;0.00000000;0.00000000;137,069;139,859;39,695;154,645;298.19600000
14.00000000;0.00000000;0.00000000;137,079;139,868;39,695;154,645;323.32800000
15.00000000;0.00000000;0.00000000;137,089;139,879;39,694;154,645;347.46500000
16.00000000;0.00000000;0.00000000;137,098;139,888;39,694;154,645;369.08200000
17.00000000;0.00000000;0.00000000;137,109;139,898;39,694;154,645;390.87100000
18.00000000;0.00000000;0.00000000;137,119;139,908;39,694;154,645;413.83300000
19.00000000;0.00000000;0.00000000;137,129;139,917;39,694;154,643;435.68000000
20.00000000;0.00000000;0.00000000;137,140;139,927;39,696;154,639;457.80700000
21.00000000;0.00000000;0.00000000;137,151;139,935;39,696;154,634;480.67600000
22.00000000;0.00000000;0.00000000;137,161;139,946;39,696;154,632;502.50900000
23.00000000;0.00000000;0.00000000;137,172;139,954;39,694;154,628;524.38600000
24.00000000;0.00000000;0.00000000;137,183;139,964;39,692;154,627;547.73400000
25.00000000;0.00000000;0.00000000;137,192;139,974;39,689;154,626;569.67800000
26.00000000;0.00000000;0.00000000;137,201;139,984;39,686;154,626;591.68600000
27.00000000;0.00000000;0.00000000;137,212;139,993;39,683;154,628;614.42500000
28.00000000;0.00000000;0.00000000;137,221;140,003;39,681;154,630;636.47300000
29.00000000;0.00000000;0.00000000;137,233;140,013;39,678;154,630;658.32300000
30.00000000;0.00000000;0.00000000;137,242;140,022;39,676;154,630;681.22900000
31.00000000;0.00000000;0.00000000;137,252;140,031;39,674;154,627;703.20600000
32.00000000;0.00000000;0.00000000;137,260;140,039;39,671;154,625;725.60200000
33.00000000;0.00000000;0.00000000;137,269;140,049;39,667;154,623;748.18900000
34.00000000;0.00000000;0.00000000;137,278;140,057;39,664;154,622;769.91200000
35.00000000;0.00000000;0.00000000;137,287;140,068;39,661;154,621;791.82900000
