counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;41,622;42,026;-84,298;-293,243;0.01500000
1.00000000;0.00000000;0.00000000;41,610;42,014;-84,300;-293,243;26.80300000
2.00000000;0.00000000;0.00000000;41,599;42,004;-84,302;-293,243;47.67800000
3.00000000;0.00000000;0.00000000;41,589;41,996;-84,303;-293,243;68.77500000
4.00000000;0.00000000;0.00000000;41,580;41,986;-84,305;-293,242;91.46600000
5.00000000;0.00000000;0.00000000;41,571;41,977;-84,305;-293,241;113.44800000
6.00000000;0.00000000;0.00000000;41,563;41,970;-84,306;-293,241;135.31700000
7.00000000;0.00000000;0.00000000;41,555;41,962;-84,306;-293,240;158.51800000
8.00000000;0.00000000;0.00000000;41,548;41,954;-84,306;-293,240;180.40100000
9.00000000;0.00000000;0.00000000;41,540;41,947;-84,306;-293,240;202.41100000
10.00000000;0.00000000;0.00000000;41,534;41,941;-84,306;-293,240;224.94300000
11.00000000;0.00000000;0.00000000;41,527;41,935;-84,307;-293,240;246.78100000
12.00000000;0.00000000;0.00000000;41,522;41,929;-84,307;-293,240;268.22400000
13.00000000;0.00000000;0.00000000;41,516;41,925;-84,309;-293,242;290.33900000
14.00000000;0.00000000;0.00000000;41,512;41,920;-84,309;-293,242;312.18800000
15.00000000;0.00000000;0.00000000;41,507;41,915;-84,310;-293,242;333.91800000
16.00000000;0.00000000;0.00000000;41,504;41,912;-84,311;-293,242;356.63000000
17.00000000;0.00000000;0.00000000;41,501;41,909;-84,311;-293,240;379.17200000
18.00000000;0.00000000;0.00000000;41,498;41,906;-84,311;-293,239;401.16600000
19.00000000;0.00000000;0.00000000;41,494;41,904;-84,311;-293,239;424.32900000
20.00000000;0.00000000;0.00000000;41,491;41,902;-84,311;-293,239;447.11200000
21.00000000;0.00000000;0.00000000;41,489;41,900;-84,311;-293,239;469.12800000
22.00000000;0.00000000;0.00000000;41,487;41,898;-84,311;-293,239;491.83900000
23.00000000;0.00000000;0.00000000;41,485;41,896;-84,311;-293,239;514.43400000
24.00000000;0.00000000;0.00000000;41,484;41,895;-84,311;-293,239;536.16000000
25.00000000;0.00000000;0.00000000;41,483;41,894;-84,311;-293,239;558.71600000
26.00000000;0.00000000;0.00000000;41,482;41,893;-84,311;-293,238;580.68900000
27.00000000;0.00000000;0.00000000;41,481;41,891;-84,312;-293,238;602.91200000
28.00000000;0.00000000;0.00000000;41,480;41,890;-84,312;-293,238;625.93300000
29.00000000;0.00000000;0.00000000;41,479;41,889;-84,313;-293,238;647.34400000
30.00000000;0.00000000;0.00000000;41,477;41,888;-84,313;-293,240;668.79200000
31.00000000;0.00000000;0.00000000;41,476;41,886;-84,313;-293,240;691.00600000
32.00000000;0.00000000;0.00000000;41,475;41,885;-84,313;-293,240;712.67100000
33.00000000;0.00000000;0.00000000;41,474;41,883;-84,313;-293,240;734.41200000
34.00000000;0.00000000;0.00000000;41,472;41,882;-84,313;-293,240;757.03700000
35.00000000;0.00000000;0.00000000;41,471;41,881;-84,313;-293,240;778.05100000
36.00000000;0.00000000;0.00000000;41,469;41,880;-84,313;-293,240;798.88200000
37.00000000;0.00000000;0.00000000;41,468;41,878;-84,314;-293,240;819.35500000
38.00000000;0.00000000;0.00000000;41,466;41,877;-84,314;-293,240;841.77400000
39.00000000;0.00000000;0.00000000;41,464;41,876;-84,315;-293,240;863.01800000
40.00000000;0.00000000;0.00000000;41,462;41,874;-84,315;-293,240;884.28600000
41.00000000;0.00000000;0.00000000;41,461;41,873;-84,315;-293,240;907.18800000
42.00000000;0.00000000;0.00000000;41,460;41,871;-84,315;-293,240;929.15000000
43.00000000;0.00000000;0.00000000;41,458;41,869;-84,315;-293,240;950.95700000
44.00000000;0.00000000;0.00000000;41,456;41,868;-84,315;-293,238;973.13800000
45.00000000;0.00000000;0.00000000;41,455;41,867;-84,315;-293,238;993.86200000
46.00000000;0.00000000;0.00000000;41,454;41,866;-84,315;-293,238;1,014.41800000
47.00000000;0.00000000;0.00000000;41,453;41,865;-84,315;-293,238;1,036.09600000
48.00000000;0.00000000;0.00000000;41,452;41,864;-84,315;-293,238;1,058.15900000
49.00000000;0.00000000;0.00000000;41,451;41,864;-84,315;-293,238;1,079.63800000
50.00000000;0.00000000;0.00000000;41,451;41,863;-84,315;-293,238;1,101.04100000
51.00000000;0.00000000;0.00000000;41,450;41,863;-84,315;-293,238;1,123.77200000
52.00000000;0.00000000;0.00000000;41,450;41,863;-84,315;-293,238;1,144.97800000
53.00000000;0.00000000;0.00000000;41,450;41,863;-84,315;-293,238;1,165.90800000
54.00000000;0.00000000;0.00000000;41,450;41,863;-84,315;-293,238;1,186.28600000
55.00000000;0.00000000;0.00000000;41,450;41,863;-84,315;-293,238;1,208.52600000
56.00000000;0.00000000;0.00000000;41,450;41,863;-84,315;-293,238;1,230.70400000
57.00000000;0.00000000;0.00000000;41,450;41,863;-84,315;-293,238;1,252.17000000
58.00000000;0.00000000;0.00000000;41,452;41,863;-84,315;-293,238;1,274.00600000
59.00000000;0.00000000;0.00000000;41,454;41,866;-84,315;-293,238;1,295.30300000
60.00000000;0.00000000;0.00000000;41,455;41,867;-84,315;-293,238;1,317.08800000
61.00000000;0.00000000;0.00000000;41,456;41,868;-84,315;-293,238;1,338.45000000
62.00000000;0.00000000;0.00000000;41,457;41,870;-84,315;-293,238;1,359.30000000
63.00000000;0.00000000;0.00000000;41,459;41,871;-84,315;-293,238;1,381.02400000
64.00000000;0.00000000;0.00000000;41,461;41,873;-84,315;-293,238;1,402.42600000
65.00000000;0.00000000;0.00000000;41,463;41,875;-84,315;-293,237;1,424.74000000
66.00000000;0.00000000;0.00000000;41,465;41,877;-84,316;-293,236;1,446.46400000
67.00000000;0.00000000;0.00000000;41,466;41,879;-84,316;-293,236;1,467.96900000
68.00000000;0.00000000;0.00000000;41,469;41,882;-84,316;-293,236;1,492.61800000
69.00000000;0.00000000;0.00000000;41,472;41,885;-84,316;-293,235;1,515.84100000
70.00000000;0.00000000;0.00000000;41,476;41,889;-84,316;-293,234;1,538.45000000
71.00000000;0.00000000;0.00000000;41,481;41,893;-84,316;-293,232;1,561.30700000
72.00000000;0.00000000;0.00000000;41,485;41,898;-84,316;-293,231;1,583.19000000
73.00000000;0.00000000;0.00000000;41,491;41,904;-84,316;-293,229;1,605.18100000
74.00000000;0.00000000;0.00000000;41,496;41,908;-84,316;-293,229;1,626.66400000
75.00000000;0.00000000;0.00000000;41,504;41,916;-84,316;-293,229;1,648.72200000
76.00000000;0.00000000;0.00000000;41,513;41,923;-84,316;-293,229;1,670.95500000
77.00000000;0.00000000;0.00000000;41,521;41,932;-84,316;-293,229;1,693.47700000
78.00000000;0.00000000;0.00000000;41,529;41,941;-84,316;-293,229;1,715.64700000
79.00000000;0.00000000;0.00000000;41,539;41,951;-84,314;-293,229;1,737.79600000
80.00000000;0.00000000;0.00000000;41,548;41,960;-84,312;-293,229;1,759.90100000
81.00000000;0.00000000;0.00000000;41,556;41,969;-84,311;-293,229;1,781.79800000
82.00000000;0.00000000;0.00000000;41,569;41,980;-84,309;-293,229;1,803.72200000
83.00000000;0.00000000;0.00000000;41,581;41,991;-84,308;-293,231;1,826.82500000
84.00000000;0.00000000;0.00000000;41,592;42,002;-84,306;-293,231;1,848.56100000
85.00000000;0.00000000;0.00000000;41,604;42,014;-84,304;-293,231;1,870.54300000
86.00000000;0.00000000;0.00000000;41,614;42,024;-84,303;-293,231;1,893.05900000
87.00000000;0.00000000;0.00000000;41,626;42,035;-84,303;-293,231;1,914.55000000
88.00000000;0.00000000;0.00000000;41,637;42,046;-84,303;-293,231;1,936.30300000
89.00000000;0.00000000;0.00000000;41,648;42,058;-84,303;-293,231;1,959.37000000
90.00000000;0.00000000;0.00000000;41,660;42,069;-84,303;-293,231;1,981.18300000
91.00000000;0.00000000;0.00000000;41,670;42,078;-84,302;-293,231;2,003.09100000
92.00000000;0.00000000;0.00000000;41,680;42,089;-84,300;-293,232;2,026.19000000
93.00000000;0.00000000;0.00000000;41,689;42,097;-84,298;-293,232;2,047.71900000
94.00000000;0.00000000;0.00000000;41,699;42,107;-84,296;-293,232;2,069.26000000
95.00000000;0.00000000;0.00000000;41,708;42,118;-84,293;-293,233;2,091.66700000
96.00000000;0.00000000;0.00000000;41,716;42,126;-84,291;-293,234;2,113.23600000
97.00000000;0.00000000;0.00000000;41,724;42,134;-84,289;-293,234;2,134.84000000
98.00000000;0.00000000;0.00000000;41,731;42,142;-84,287;-293,234;2,157.54000000
99.00000000;0.00000000;0.00000000;41,738;42,150;-84,287;-293,234;2,179.96600000
100.00000000;0.00000000;0.00000000;41,745;42,157;-84,287;-293,234;2,202.53200000
101.00000000;0.00000000;0.00000000;41,752;42,163;-84,287;-293,234;2,226.56700000
102.00000000;0.00000000;0.00000000;41,758;42,170;-84,287;-293,234;2,249.31900000
103.00000000;0.00000000;0.00000000;41,764;42,174;-84,287;-293,234;2,271.99400000
104.00000000;0.00000000;0.00000000;41,769;42,179;-84,286;-293,234;2,294.15000000
105.00000000;0.00000000;0.00000000;41,773;42,184;-84,285;-293,234;2,316.40700000
106.00000000;0.00000000;0.00000000;41,777;42,187;-84,284;-293,234;2,339.68400000
107.00000000;0.00000000;0.00000000;41,780;42,191;-84,284;-293,234;2,361.53000000
108.00000000;0.00000000;0.00000000;41,783;42,194;-84,283;-293,234;2,383.48700000
109.00000000;0.00000000;0.00000000;41,785;42,196;-84,283;-293,234;2,405.61500000
110.00000000;0.00000000;0.00000000;41,788;42,198;-84,282;-293,234;2,427.41000000
111.00000000;0.00000000;0.00000000;41,789;42,200;-84,282;-293,234;2,448.82500000
112.00000000;0.00000000;0.00000000;41,790;42,201;-84,282;-293,235;2,470.32700000
113.00000000;0.00000000;0.00000000;41,791;42,202;-84,282;-293,235;2,492.25000000
114.00000000;0.00000000;0.00000000;41,792;42,202;-84,282;-293,236;2,513.43200000
115.00000000;0.00000000;0.00000000;41,792;42,203;-84,282;-293,236;2,534.39300000
116.00000000;0.00000000;0.00000000;41,793;42,203;-84,282;-293,236;2,554.29000000
117.00000000;0.00000000;0.00000000;41,793;42,203;-84,282;-293,236;2,576.84000000
118.00000000;0.00000000;0.00000000;41,793;42,203;-84,282;-293,236;2,597.91900000
119.00000000;0.00000000;0.00000000;41,793;42,203;-84,282;-293,236;2,618.88900000
120.00000000;0.00000000;0.00000000;41,793;42,203;-84,282;-293,236;2,640.61100000
121.00000000;0.00000000;0.00000000;41,791;42,201;-84,282;-293,236;2,660.87000000
122.00000000;0.00000000;0.00000000;41,790;42,201;-84,282;-293,236;2,682.05400000
123.00000000;0.00000000;0.00000000;41,789;42,199;-84,282;-293,236;2,703.67600000
124.00000000;0.00000000;0.00000000;41,787;42,198;-84,282;-293,236;2,727.15200000
125.00000000;0.00000000;0.00000000;41,786;42,197;-84,282;-293,236;2,748.96700000
126.00000000;0.00000000;0.00000000;41,784;42,195;-84,284;-293,236;2,771.22700000
127.00000000;0.00000000;0.00000000;41,782;42,193;-84,285;-293,236;2,794.52300000
128.00000000;0.00000000;0.00000000;41,780;42,191;-84,285;-293,236;2,816.35500000
129.00000000;0.00000000;0.00000000;41,777;42,189;-84,285;-293,236;2,837.99700000
130.00000000;0.00000000;0.00000000;41,774;42,186;-84,285;-293,237;2,860.77100000
131.00000000;0.00000000;0.00000000;41,770;42,183;-84,285;-293,237;2,884.53600000
132.00000000;0.00000000;0.00000000;41,766;42,179;-84,285;-293,238;2,911.27000000
133.00000000;0.00000000;0.00000000;41,761;42,174;-84,286;-293,238;2,936.39800000
134.00000000;0.00000000;0.00000000;41,756;42,168;-84,286;-293,238;2,962.18800000
135.00000000;0.00000000;0.00000000;41,749;42,161;-84,286;-293,238;2,987.83800000
136.00000000;0.00000000;0.00000000;41,742;42,154;-84,287;-293,238;3,014.66100000
137.00000000;0.00000000;0.00000000;41,735;42,148;-84,288;-293,239;3,039.19700000
138.00000000;0.00000000;0.00000000;41,729;42,142;-84,288;-293,239;3,061.06600000
139.00000000;0.00000000;0.00000000;41,723;42,136;-84,290;-293,239;3,082.73900000
140.00000000;0.00000000;0.00000000;41,717;42,130;-84,290;-293,239;3,104.35500000
141.00000000;0.00000000;0.00000000;41,710;42,124;-84,290;-293,239;3,126.91400000
142.00000000;0.00000000;0.00000000;41,704;42,118;-84,290;-293,239;3,148.05700000
143.00000000;0.00000000;0.00000000;41,698;42,111;-84,290;-293,239;3,169.45500000
144.00000000;0.00000000;0.00000000;41,691;42,105;-84,291;-293,239;3,194.50000000
145.00000000;0.00000000;0.00000000;41,684;42,098;-84,292;-293,239;3,219.30100000
146.00000000;0.00000000;0.00000000;41,678;42,091;-84,293;-293,239;3,243.08400000
147.00000000;0.00000000;0.00000000;41,672;42,086;-84,294;-293,237;3,264.49300000
148.00000000;0.00000000;0.00000000;41,666;42,081;-84,295;-293,236;3,285.90100000
149.00000000;0.00000000;0.00000000;41,659;42,075;-84,295;-293,236;3,308.42100000
150.00000000;0.00000000;0.00000000;41,654;42,069;-84,296;-293,236;3,329.72000000
151.00000000;0.00000000;0.00000000;41,649;42,064;-84,296;-293,236;3,350.17600000
152.00000000;0.00000000;0.00000000;41,643;42,059;-84,297;-293,236;3,371.89100000
153.00000000;0.00000000;0.00000000;41,638;42,054;-84,297;-293,235;3,394.89600000
154.00000000;0.00000000;0.00000000;41,633;42,049;-84,297;-293,235;3,416.35800000
155.00000000;0.00000000;0.00000000;41,628;42,044;-84,298;-293,235;3,437.70700000
156.00000000;0.00000000;0.00000000;41,623;42,039;-84,299;-293,235;3,460.59600000
157.00000000;0.00000000;0.00000000;41,619;42,035;-84,301;-293,235;3,482.46600000
158.00000000;0.00000000;0.00000000;41,615;42,031;-84,304;-293,235;3,504.22300000
159.00000000;0.00000000;0.00000000;41,609;42,027;-84,306;-293,235;3,526.91900000
160.00000000;0.00000000;0.00000000;41,605;42,022;-84,308;-293,235;3,548.33200000
161.00000000;0.00000000;0.00000000;41,601;42,017;-84,309;-293,235;3,569.42600000
162.00000000;0.00000000;0.00000000;41,596;42,013;-84,309;-293,235;3,590.84700000
163.00000000;0.00000000;0.00000000;41,591;42,009;-84,309;-293,235;3,612.24400000
164.00000000;0.00000000;0.00000000;41,585;42,004;-84,309;-293,237;3,636.97000000
165.00000000;0.00000000;0.00000000;41,579;41,997;-84,309;-293,238;3,662.02300000
166.00000000;0.00000000;0.00000000;41,572;41,991;-84,309;-293,239;3,683.71100000
167.00000000;0.00000000;0.00000000;41,565;41,985;-84,309;-293,240;3,705.81000000
