counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;252,156;259,406;-93,221;-285,589;0.01400000
1.00000000;0.00000000;0.00000000;252,149;259,400;-93,224;-285,575;25.58900000
2.00000000;0.00000000;0.00000000;252,143;259,393;-93,225;-285,561;47.93800000
3.00000000;0.00000000;0.00000000;252,136;259,387;-93,225;-285,547;70.02600000
4.00000000;0.00000000;0.00000000;252,130;259,381;-93,226;-285,532;91.66900000
5.00000000;0.00000000;0.00000000;252,124;259,376;-93,230;-285,518;114.63900000
6.00000000;0.00000000;0.00000000;252,120;259,370;-93,238;-285,507;138.63700000
7.00000000;0.00000000;0.00000000;252,113;259,366;-93,247;-285,495;163.55300000
8.00000000;0.00000000;0.00000000;252,109;259,362;-93,253;-285,484;184.99200000
9.00000000;0.00000000;0.00000000;252,105;259,359;-93,258;-285,472;207.34500000
10.00000000;0.00000000;0.00000000;252,102;259,354;-93,262;-285,459;230.19400000
11.00000000;0.00000000;0.00000000;252,100;259,351;-93,266;-285,450;251.98200000
12.00000000;0.00000000;0.00000000;252,098;259,349;-93,272;-285,444;274.01500000
13.00000000;0.00000000;0.00000000;252,096;259,348;-93,279;-285,439;297.00200000
14.00000000;0.00000000;0.00000000;252,094;259,347;-93,289;-285,435;318.63600000
15.00000000;0.00000000;0.00000000;252,094;259,347;-93,295;-285,434;340.26100000
16.00000000;0.00000000;0.00000000;252,094;259,349;-93,297;-285,434;363.12900000
17.00000000;0.00000000;0.00000000;252,097;259,351;-93,297;-285,433;384.81000000
18.00000000;0.00000000;0.00000000;252,101;259,354;-93,295;-285,433;406.80200000
19.00000000;0.00000000;0.00000000;252,107;259,359;-93,295;-285,433;430.08100000
20.00000000;0.00000000;0.00000000;252,114;259,366;-93,297;-285,436;452.16100000
21.00000000;0.00000000;0.00000000;252,122;259,374;-93,299;-285,437;474.70000000
22.00000000;0.00000000;0.00000000;252,132;259,384;-93,301;-285,437;498.17700000
23.00000000;0.00000000;0.00000000;252,142;259,392;-93,304;-285,437;520.51200000
24.00000000;0.00000000;0.00000000;252,153;259,402;-93,307;-285,433;543.09100000
25.00000000;0.00000000;0.00000000;252,163;259,413;-93,311;-285,429;565.47400000
26.00000000;0.00000000;0.00000000;252,175;259,425;-93,316;-285,425;587.46500000
27.00000000;0.00000000;0.00000000;252,186;259,436;-93,319;-285,419;609.57000000
28.00000000;0.00000000;0.00000000;252,199;259,448;-93,321;-285,413;632.19700000
29.00000000;0.00000000;0.00000000;252,210;259,458;-93,322;-285,407;654.36900000
30.00000000;0.00000000;0.00000000;252,222;259,470;-93,325;-285,400;676.31000000
31.00000000;0.00000000;0.00000000;252,233;259,481;-93,329;-285,394;698.56800000
32.00000000;0.00000000;0.00000000;252,244;259,492;-93,335;-285,389;720.51900000
