counter;event
start;4/5/2022 5:00:59 PM
1;antfreeze_off
109;rot_gain_set_to_5
171;view_cleared
4,085;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,268;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,534;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,692;rot_gain_set_to_3
8,742;view_cleared
13,635;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,700;rot_gain_set_to_-1
14,241;view_cleared
18,282;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,349;rot_gain_set_to_1
18,966;view_cleared
23,187;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
23,314;rot_gain_set_to_0
23,357;movedto_0;0
23,357;rotatedto_160degs
23,716;view_cleared
28,041;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
28,084;SUCCESS
end;4/5/2022 5:11:19 PM
