counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;95,765;95,893;-206,497;-6,443;0.01500000
1.00000000;0.00000000;0.00000000;95,765;95,894;-206,502;-6,444;26.42200000
2.00000000;0.00000000;0.00000000;95,763;95,894;-206,504;-6,441;47.32900000
3.00000000;0.00000000;0.00000000;95,760;95,888;-206,505;-6,436;68.85700000
4.00000000;0.00000000;0.00000000;95,754;95,881;-206,506;-6,435;90.40100000
5.00000000;0.00000000;0.00000000;95,745;95,873;-206,506;-6,435;111.74400000
6.00000000;0.00000000;0.00000000;95,733;95,862;-206,506;-6,438;133.63600000
7.00000000;0.00000000;0.00000000;95,722;95,851;-206,506;-6,445;155.66500000
8.00000000;0.00000000;0.00000000;95,708;95,838;-206,500;-6,455;178.57600000
9.00000000;0.00000000;0.00000000;95,693;95,822;-206,497;-6,465;200.88700000
10.00000000;0.00000000;0.00000000;95,676;95,807;-206,496;-6,476;222.18900000
11.00000000;0.00000000;0.00000000;95,663;95,795;-206,496;-6,488;244.98000000
12.00000000;0.00000000;0.00000000;95,647;95,780;-206,499;-6,504;266.99800000
13.00000000;0.00000000;0.00000000;95,633;95,767;-206,501;-6,517;288.78100000
14.00000000;0.00000000;0.00000000;95,616;95,753;-206,502;-6,528;311.12700000
15.00000000;0.00000000;0.00000000;95,600;95,737;-206,499;-6,537;332.62000000
16.00000000;0.00000000;0.00000000;95,586;95,724;-206,495;-6,543;354.41200000
17.00000000;0.00000000;0.00000000;95,571;95,708;-206,490;-6,551;377.44900000
18.00000000;0.00000000;0.00000000;95,556;95,695;-206,487;-6,563;399.50400000
19.00000000;0.00000000;0.00000000;95,544;95,683;-206,484;-6,580;421.71900000
20.00000000;0.00000000;0.00000000;95,531;95,671;-206,481;-6,599;445.34700000
21.00000000;0.00000000;0.00000000;95,518;95,660;-206,478;-6,620;467.85000000
22.00000000;0.00000000;0.00000000;95,505;95,650;-206,477;-6,629;489.32400000
23.00000000;0.00000000;0.00000000;95,494;95,639;-206,477;-6,629;512.35900000
24.00000000;0.00000000;0.00000000;95,488;95,630;-206,477;-6,626;534.19500000
25.00000000;0.00000000;0.00000000;95,482;95,622;-206,477;-6,628;556.32400000
26.00000000;0.00000000;0.00000000;95,473;95,615;-206,477;-6,634;578.92600000
27.00000000;0.00000000;0.00000000;95,466;95,610;-206,477;-6,644;600.95500000
28.00000000;0.00000000;0.00000000;95,460;95,606;-206,476;-6,657;623.24600000
29.00000000;0.00000000;0.00000000;95,456;95,601;-206,476;-6,669;645.86100000
30.00000000;0.00000000;0.00000000;95,452;95,598;-206,476;-6,678;667.67900000
31.00000000;0.00000000;0.00000000;95,448;95,596;-206,475;-6,681;689.30300000
32.00000000;0.00000000;0.00000000;95,445;95,593;-206,474;-6,681;711.86800000
33.00000000;0.00000000;0.00000000;95,443;95,590;-206,474;-6,677;733.51500000
34.00000000;0.00000000;0.00000000;95,442;95,588;-206,476;-6,674;755.44600000
35.00000000;0.00000000;0.00000000;95,441;95,586;-206,478;-6,672;778.09900000
36.00000000;0.00000000;0.00000000;95,438;95,585;-206,480;-6,672;800.02200000
37.00000000;0.00000000;0.00000000;95,436;95,583;-206,481;-6,672;821.45000000
38.00000000;0.00000000;0.00000000;95,434;95,581;-206,482;-6,674;844.19700000
39.00000000;0.00000000;0.00000000;95,433;95,579;-206,482;-6,674;866.12600000
40.00000000;0.00000000;0.00000000;95,430;95,575;-206,484;-6,674;887.83500000
41.00000000;0.00000000;0.00000000;95,427;95,571;-206,487;-6,674;911.18000000
