counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;81,309;85,070;-197,017;-155,950;0.01400000
1.00000000;0.00000000;0.00000000;81,296;85,056;-197,023;-155,951;27.24000000
2.00000000;0.00000000;0.00000000;81,285;85,044;-197,029;-155,952;51.34500000
3.00000000;0.00000000;0.00000000;81,274;85,031;-197,033;-155,953;73.30000000
4.00000000;0.00000000;0.00000000;81,263;85,020;-197,038;-155,955;95.51600000
5.00000000;0.00000000;0.00000000;81,251;85,007;-197,044;-155,958;117.88700000
6.00000000;0.00000000;0.00000000;81,240;84,993;-197,049;-155,961;139.93000000
7.00000000;0.00000000;0.00000000;81,229;84,982;-197,053;-155,967;162.18400000
8.00000000;0.00000000;0.00000000;81,217;84,970;-197,057;-155,973;184.60800000
9.00000000;0.00000000;0.00000000;81,205;84,960;-197,063;-155,979;206.55700000
10.00000000;0.00000000;0.00000000;81,194;84,949;-197,065;-155,982;228.37900000
11.00000000;0.00000000;0.00000000;81,183;84,939;-197,068;-155,988;250.91400000
12.00000000;0.00000000;0.00000000;81,172;84,927;-197,071;-155,993;272.59500000
13.00000000;0.00000000;0.00000000;81,163;84,919;-197,074;-155,997;294.26600000
14.00000000;0.00000000;0.00000000;81,154;84,910;-197,075;-156,001;316.95500000
15.00000000;0.00000000;0.00000000;81,144;84,903;-197,076;-156,005;338.71700000
16.00000000;0.00000000;0.00000000;81,138;84,896;-197,076;-156,010;360.17500000
17.00000000;0.00000000;0.00000000;81,131;84,891;-197,074;-156,013;382.54600000
18.00000000;0.00000000;0.00000000;81,126;84,886;-197,074;-156,016;404.11600000
19.00000000;0.00000000;0.00000000;81,122;84,882;-197,074;-156,017;425.91900000
20.00000000;0.00000000;0.00000000;81,118;84,878;-197,077;-156,019;446.28500000
21.00000000;0.00000000;0.00000000;81,113;84,873;-197,080;-156,020;467.67000000
22.00000000;0.00000000;0.00000000;81,110;84,870;-197,082;-156,020;489.13300000
23.00000000;0.00000000;0.00000000;81,107;84,868;-197,084;-156,020;510.37600000
24.00000000;0.00000000;0.00000000;81,105;84,865;-197,084;-156,021;533.69300000
25.00000000;0.00000000;0.00000000;81,104;84,864;-197,084;-156,021;554.93500000
26.00000000;0.00000000;0.00000000;81,103;84,863;-197,084;-156,023;576.58700000
27.00000000;0.00000000;0.00000000;81,103;84,863;-197,081;-156,025;598.09300000
28.00000000;0.00000000;0.00000000;81,105;84,865;-197,079;-156,027;618.31100000
29.00000000;0.00000000;0.00000000;81,107;84,868;-197,077;-156,030;639.81600000
30.00000000;0.00000000;0.00000000;81,112;84,873;-197,074;-156,031;663.44900000
31.00000000;0.00000000;0.00000000;81,117;84,878;-197,074;-156,034;685.34600000
32.00000000;0.00000000;0.00000000;81,124;84,882;-197,074;-156,035;707.38100000
33.00000000;0.00000000;0.00000000;81,130;84,890;-197,074;-156,038;729.04000000
34.00000000;0.00000000;0.00000000;81,139;84,897;-197,074;-156,041;751.70500000
35.00000000;0.00000000;0.00000000;81,146;84,904;-197,077;-156,045;773.12900000
36.00000000;0.00000000;0.00000000;81,153;84,910;-197,081;-156,048;795.61800000
37.00000000;0.00000000;0.00000000;81,161;84,919;-197,087;-156,053;818.96500000
38.00000000;0.00000000;0.00000000;81,167;84,925;-197,093;-156,056;840.87300000
39.00000000;0.00000000;0.00000000;81,173;84,931;-197,098;-156,059;862.17400000
40.00000000;0.00000000;0.00000000;81,181;84,936;-197,104;-156,063;885.27200000
41.00000000;0.00000000;0.00000000;81,186;84,941;-197,109;-156,068;907.52700000
42.00000000;0.00000000;0.00000000;81,190;84,945;-197,113;-156,074;928.78100000
43.00000000;0.00000000;0.00000000;81,195;84,950;-197,116;-156,080;951.42400000
44.00000000;0.00000000;0.00000000;81,200;84,953;-197,118;-156,085;973.36400000
45.00000000;0.00000000;0.00000000;81,204;84,957;-197,121;-156,090;995.00800000
