counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;63,573;77,147;268,373;-54,511;0.01300000
1.00000000;0.00000000;0.00000000;63,578;77,153;268,369;-54,507;25.71900000
2.00000000;0.00000000;0.00000000;63,585;77,159;268,365;-54,502;50.65500000
3.00000000;0.00000000;0.00000000;63,590;77,165;268,359;-54,496;74.34200000
4.00000000;0.00000000;0.00000000;63,596;77,171;268,353;-54,491;96.48100000
5.00000000;0.00000000;0.00000000;63,601;77,176;268,344;-54,485;119.85900000
6.00000000;0.00000000;0.00000000;63,605;77,182;268,335;-54,480;142.23100000
7.00000000;0.00000000;0.00000000;63,610;77,187;268,326;-54,472;167.66200000
8.00000000;0.00000000;0.00000000;63,615;77,189;268,320;-54,468;191.06400000
9.00000000;0.00000000;0.00000000;63,621;77,193;268,314;-54,460;213.68700000
10.00000000;0.00000000;0.00000000;63,626;77,197;268,310;-54,453;236.95500000
11.00000000;0.00000000;0.00000000;63,631;77,200;268,307;-54,446;258.93500000
12.00000000;0.00000000;0.00000000;63,635;77,203;268,301;-54,441;280.96100000
13.00000000;0.00000000;0.00000000;63,639;77,207;268,291;-54,433;303.87000000
14.00000000;0.00000000;0.00000000;63,643;77,210;268,282;-54,426;325.58600000
15.00000000;0.00000000;0.00000000;63,647;77,214;268,273;-54,420;347.32400000
16.00000000;0.00000000;0.00000000;63,651;77,218;268,263;-54,413;370.69800000
17.00000000;0.00000000;0.00000000;63,654;77,221;268,256;-54,406;392.81200000
18.00000000;0.00000000;0.00000000;63,658;77,224;268,250;-54,400;414.83600000
19.00000000;0.00000000;0.00000000;63,663;77,228;268,245;-54,392;437.16600000
20.00000000;0.00000000;0.00000000;63,668;77,233;268,241;-54,386;461.15900000
21.00000000;0.00000000;0.00000000;63,672;77,237;268,237;-54,381;485.26800000
22.00000000;0.00000000;0.00000000;63,677;77,240;268,233;-54,377;508.19300000
23.00000000;0.00000000;0.00000000;63,681;77,246;268,230;-54,373;530.47200000
24.00000000;0.00000000;0.00000000;63,686;77,251;268,226;-54,370;553.78500000
25.00000000;0.00000000;0.00000000;63,690;77,254;268,221;-54,367;575.98600000
