counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;2,183;2,740;-144;-44,960;2.78000000
1.00000000;0.00000000;0.00000000;2,183;2,740;-145;-44,960;22.44000000
2.00000000;0.00000000;0.00000000;2,181;2,737;-146;-44,958;43.48600000
3.00000000;0.00000000;0.00000000;2,178;2,735;-148;-44,955;66.07600000
4.00000000;0.00000000;0.00000000;2,176;2,732;-151;-44,952;88.31000000
5.00000000;0.00000000;0.00000000;2,173;2,728;-155;-44,951;109.59200000
6.00000000;0.00000000;0.00000000;2,168;2,725;-158;-44,951;132.33700000
7.00000000;0.00000000;0.00000000;2,162;2,720;-160;-44,951;154.07500000
8.00000000;0.00000000;0.00000000;2,155;2,711;-162;-44,953;176.22900000
9.00000000;0.00000000;0.00000000;2,144;2,702;-162;-44,951;199.17200000
10.00000000;0.00000000;0.00000000;2,134;2,691;-160;-44,946;221.04300000
11.00000000;0.00000000;0.00000000;2,124;2,682;-158;-44,939;242.44100000
12.00000000;0.00000000;0.00000000;2,111;2,668;-157;-44,930;266.47800000
13.00000000;0.00000000;0.00000000;2,095;2,654;-157;-44,924;288.77200000
14.00000000;0.00000000;0.00000000;2,081;2,641;-163;-44,920;310.02000000
15.00000000;0.00000000;0.00000000;2,065;2,625;-168;-44,918;332.54300000
16.00000000;0.00000000;0.00000000;2,048;2,608;-173;-44,918;354.16100000
17.00000000;0.00000000;0.00000000;2,029;2,591;-176;-44,920;375.44600000
18.00000000;0.00000000;0.00000000;2,012;2,573;-178;-44,922;397.85500000
19.00000000;0.00000000;0.00000000;1,993;2,556;-182;-44,924;419.51400000
20.00000000;0.00000000;0.00000000;1,976;2,540;-186;-44,928;440.69900000
21.00000000;0.00000000;0.00000000;1,957;2,521;-190;-44,933;463.52500000
22.00000000;0.00000000;0.00000000;1,941;2,505;-195;-44,939;485.21700000
23.00000000;0.00000000;0.00000000;1,925;2,489;-199;-44,946;506.76500000
24.00000000;0.00000000;0.00000000;1,909;2,474;-202;-44,954;527.42100000
25.00000000;0.00000000;0.00000000;1,891;2,456;-206;-44,963;549.91000000
26.00000000;0.00000000;0.00000000;1,875;2,441;-209;-44,970;573.16000000
27.00000000;0.00000000;0.00000000;1,858;2,424;-212;-44,983;598.96100000
28.00000000;0.00000000;0.00000000;1,843;2,411;-213;-44,996;622.52800000
29.00000000;0.00000000;0.00000000;1,830;2,398;-214;-45,007;643.80600000
30.00000000;0.00000000;0.00000000;1,816;2,384;-214;-45,021;666.83700000
31.00000000;0.00000000;0.00000000;1,802;2,371;-214;-45,035;688.64800000
32.00000000;0.00000000;0.00000000;1,789;2,359;-216;-45,049;712.22500000
33.00000000;0.00000000;0.00000000;1,776;2,348;-218;-45,056;733.66900000
34.00000000;0.00000000;0.00000000;1,766;2,337;-222;-45,058;755.84800000
35.00000000;0.00000000;0.00000000;1,759;2,328;-225;-45,063;778.05400000
36.00000000;0.00000000;0.00000000;1,750;2,319;-227;-45,071;800.15400000
37.00000000;0.00000000;0.00000000;1,742;2,312;-228;-45,080;821.84700000
38.00000000;0.00000000;0.00000000;1,734;2,305;-228;-45,090;843.33100000
39.00000000;0.00000000;0.00000000;1,727;2,298;-228;-45,102;867.30200000
40.00000000;0.00000000;0.00000000;1,719;2,291;-228;-45,118;891.68100000
41.00000000;0.00000000;0.00000000;1,712;2,284;-228;-45,133;915.87000000
42.00000000;0.00000000;0.00000000;1,705;2,279;-230;-45,147;937.38400000
43.00000000;0.00000000;0.00000000;1,698;2,273;-235;-45,159;958.66700000
44.00000000;0.00000000;0.00000000;1,692;2,268;-241;-45,172;981.06500000
45.00000000;0.00000000;0.00000000;1,686;2,263;-248;-45,183;1,002.40500000
46.00000000;0.00000000;0.00000000;1,680;2,257;-257;-45,194;1,023.89600000
47.00000000;0.00000000;0.00000000;1,675;2,251;-265;-45,205;1,044.71900000
48.00000000;0.00000000;0.00000000;1,669;2,246;-273;-45,216;1,067.23000000
49.00000000;0.00000000;0.00000000;1,663;2,241;-280;-45,227;1,089.41400000
50.00000000;0.00000000;0.00000000;1,656;2,234;-284;-45,237;1,111.49500000
51.00000000;0.00000000;0.00000000;1,649;2,228;-288;-45,247;1,138.00000000
52.00000000;0.00000000;0.00000000;1,644;2,222;-291;-45,256;1,159.71600000
53.00000000;0.00000000;0.00000000;1,639;2,219;-293;-45,266;1,182.00800000
54.00000000;0.00000000;0.00000000;1,635;2,215;-295;-45,275;1,203.65100000
55.00000000;0.00000000;0.00000000;1,630;2,210;-295;-45,286;1,225.71200000
56.00000000;0.00000000;0.00000000;1,624;2,204;-295;-45,299;1,248.82400000
57.00000000;0.00000000;0.00000000;1,620;2,201;-295;-45,308;1,270.55200000
58.00000000;0.00000000;0.00000000;1,615;2,197;-295;-45,319;1,295.41100000
59.00000000;0.00000000;0.00000000;1,611;2,193;-291;-45,329;1,320.84800000
60.00000000;0.00000000;0.00000000;1,608;2,190;-290;-45,338;1,343.41200000
61.00000000;0.00000000;0.00000000;1,604;2,187;-290;-45,347;1,366.22200000
62.00000000;0.00000000;0.00000000;1,601;2,183;-290;-45,357;1,388.06600000
63.00000000;0.00000000;0.00000000;1,598;2,181;-293;-45,365;1,409.59400000
