counter;event
start;4/5/2022 2:27:28 PM
1;antfreeze_off
65;rot_gain_set_to_-1
115;view_cleared
4,549;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,696;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,927;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,995;rot_gain_set_to_0
9,040;movedto_0;0
9,040;rotatedto_65degs
9,102;view_cleared
13,643;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,695;rot_gain_set_to_5
14,386;view_cleared
18,526;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,591;rot_gain_set_to_1
19,482;view_cleared
23,652;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
23,732;rot_gain_set_to_3
24,114;view_cleared
28,319;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
28,404;SUCCESS
end;4/5/2022 2:37:54 PM
