counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;29,069;28,115;-77,572;-222,508;0.01400000
1.00000000;0.00000000;0.00000000;29,082;28,129;-77,566;-222,517;26.76100000
2.00000000;0.00000000;0.00000000;29,095;28,142;-77,562;-222,526;48.93400000
3.00000000;0.00000000;0.00000000;29,106;28,153;-77,561;-222,533;70.92100000
4.00000000;0.00000000;0.00000000;29,116;28,164;-77,564;-222,540;93.62600000
5.00000000;0.00000000;0.00000000;29,126;28,174;-77,571;-222,545;115.32700000
6.00000000;0.00000000;0.00000000;29,137;28,185;-77,577;-222,549;137.07600000
7.00000000;0.00000000;0.00000000;29,150;28,196;-77,584;-222,554;159.89800000
8.00000000;0.00000000;0.00000000;29,159;28,206;-77,588;-222,557;181.74800000
9.00000000;0.00000000;0.00000000;29,170;28,215;-77,591;-222,561;203.78400000
10.00000000;0.00000000;0.00000000;29,182;28,225;-77,595;-222,568;226.42000000
11.00000000;0.00000000;0.00000000;29,192;28,235;-77,600;-222,575;248.41100000
12.00000000;0.00000000;0.00000000;29,201;28,245;-77,605;-222,584;270.42900000
13.00000000;0.00000000;0.00000000;29,211;28,254;-77,615;-222,592;293.19500000
14.00000000;0.00000000;0.00000000;29,217;28,262;-77,628;-222,599;315.18100000
15.00000000;0.00000000;0.00000000;29,226;28,269;-77,645;-222,605;337.38100000
16.00000000;0.00000000;0.00000000;29,233;28,278;-77,660;-222,609;360.58900000
17.00000000;0.00000000;0.00000000;29,240;28,286;-77,672;-222,609;382.41900000
18.00000000;0.00000000;0.00000000;29,248;28,291;-77,679;-222,606;404.43400000
19.00000000;0.00000000;0.00000000;29,257;28,296;-77,685;-222,605;428.69200000
20.00000000;0.00000000;0.00000000;29,265;28,303;-77,690;-222,605;452.78400000
21.00000000;0.00000000;0.00000000;29,271;28,309;-77,696;-222,605;475.85400000
22.00000000;0.00000000;0.00000000;29,277;28,314;-77,706;-222,610;498.39400000
23.00000000;0.00000000;0.00000000;29,282;28,319;-77,719;-222,614;523.08500000
24.00000000;0.00000000;0.00000000;29,287;28,325;-77,737;-222,620;549.12500000
25.00000000;0.00000000;0.00000000;29,292;28,330;-77,757;-222,628;575.05900000
26.00000000;0.00000000;0.00000000;29,295;28,333;-77,771;-222,634;597.52700000
27.00000000;0.00000000;0.00000000;29,299;28,337;-77,783;-222,638;618.93000000
28.00000000;0.00000000;0.00000000;29,302;28,341;-77,792;-222,643;642.05500000
29.00000000;0.00000000;0.00000000;29,306;28,344;-77,799;-222,649;663.64000000
30.00000000;0.00000000;0.00000000;29,309;28,347;-77,807;-222,656;685.45400000
31.00000000;0.00000000;0.00000000;29,312;28,349;-77,816;-222,662;707.73600000
32.00000000;0.00000000;0.00000000;29,315;28,351;-77,828;-222,661;730.56800000
33.00000000;0.00000000;0.00000000;29,316;28,352;-77,842;-222,664;752.80900000
34.00000000;0.00000000;0.00000000;29,318;28,354;-77,855;-222,665;776.22800000
35.00000000;0.00000000;0.00000000;29,320;28,356;-77,864;-222,666;798.37000000
36.00000000;0.00000000;0.00000000;29,322;28,357;-77,868;-222,668;821.05700000
37.00000000;0.00000000;0.00000000;29,323;28,359;-77,869;-222,673;843.97300000
38.00000000;0.00000000;0.00000000;29,324;28,359;-77,869;-222,671;865.84300000
39.00000000;0.00000000;0.00000000;29,324;28,361;-77,870;-222,671;888.19500000
40.00000000;0.00000000;0.00000000;29,324;28,361;-77,878;-222,669;912.57400000
41.00000000;0.00000000;0.00000000;29,324;28,361;-77,892;-222,671;937.93000000
42.00000000;0.00000000;0.00000000;29,324;28,361;-77,906;-222,672;960.93100000
43.00000000;0.00000000;0.00000000;29,324;28,359;-77,919;-222,672;982.95700000
44.00000000;0.00000000;0.00000000;29,321;28,358;-77,930;-222,672;1,005.26400000
45.00000000;0.00000000;0.00000000;29,321;28,356;-77,941;-222,672;1,027.95700000
46.00000000;0.00000000;0.00000000;29,320;28,355;-77,949;-222,672;1,049.82800000
47.00000000;0.00000000;0.00000000;29,320;28,354;-77,955;-222,672;1,071.72800000
48.00000000;0.00000000;0.00000000;29,320;28,352;-77,962;-222,676;1,094.39400000
49.00000000;0.00000000;0.00000000;29,318;28,350;-77,968;-222,682;1,116.76500000
50.00000000;0.00000000;0.00000000;29,317;28,349;-77,979;-222,687;1,138.25800000
51.00000000;0.00000000;0.00000000;29,315;28,347;-77,991;-222,691;1,161.26600000
52.00000000;0.00000000;0.00000000;29,312;28,345;-78,003;-222,696;1,182.51900000
53.00000000;0.00000000;0.00000000;29,311;28,344;-78,010;-222,698;1,204.11900000
54.00000000;0.00000000;0.00000000;29,308;28,341;-78,016;-222,700;1,226.46800000
55.00000000;0.00000000;0.00000000;29,307;28,339;-78,020;-222,700;1,248.54800000
56.00000000;0.00000000;0.00000000;29,305;28,337;-78,023;-222,698;1,269.94200000
57.00000000;0.00000000;0.00000000;29,303;28,333;-78,028;-222,696;1,293.81300000
58.00000000;0.00000000;0.00000000;29,298;28,328;-78,037;-222,694;1,316.71900000
59.00000000;0.00000000;0.00000000;29,294;28,323;-78,048;-222,691;1,339.46200000
60.00000000;0.00000000;0.00000000;29,290;28,319;-78,059;-222,690;1,361.84600000
61.00000000;0.00000000;0.00000000;29,286;28,312;-78,071;-222,690;1,384.06300000
62.00000000;0.00000000;0.00000000;29,280;28,306;-78,083;-222,696;1,407.01300000
63.00000000;0.00000000;0.00000000;29,275;28,302;-78,092;-222,699;1,429.38300000
64.00000000;0.00000000;0.00000000;29,269;28,297;-78,097;-222,705;1,451.27700000
65.00000000;0.00000000;0.00000000;29,264;28,293;-78,099;-222,713;1,473.42900000
66.00000000;0.00000000;0.00000000;29,257;28,288;-78,101;-222,724;1,495.73500000
67.00000000;0.00000000;0.00000000;29,251;28,282;-78,104;-222,735;1,517.30400000
68.00000000;0.00000000;0.00000000;29,245;28,275;-78,111;-222,741;1,538.92600000
69.00000000;0.00000000;0.00000000;29,238;28,268;-78,121;-222,743;1,561.59500000
70.00000000;0.00000000;0.00000000;29,233;28,261;-78,134;-222,744;1,583.71200000
71.00000000;0.00000000;0.00000000;29,227;28,254;-78,146;-222,746;1,605.61300000
72.00000000;0.00000000;0.00000000;29,221;28,248;-78,158;-222,747;1,628.35900000
73.00000000;0.00000000;0.00000000;29,215;28,242;-78,166;-222,748;1,650.07200000
74.00000000;0.00000000;0.00000000;29,211;28,236;-78,173;-222,749;1,672.12900000
75.00000000;0.00000000;0.00000000;29,207;28,231;-78,177;-222,750;1,694.88300000
76.00000000;0.00000000;0.00000000;29,203;28,228;-78,180;-222,752;1,717.57100000
77.00000000;0.00000000;0.00000000;29,201;28,225;-78,183;-222,757;1,738.65800000
78.00000000;0.00000000;0.00000000;29,198;28,222;-78,188;-222,762;1,761.27800000
79.00000000;0.00000000;0.00000000;29,195;28,219;-78,194;-222,767;1,782.75600000
80.00000000;0.00000000;0.00000000;29,193;28,216;-78,201;-222,771;1,804.11800000
81.00000000;0.00000000;0.00000000;29,191;28,214;-78,209;-222,775;1,826.99500000
82.00000000;0.00000000;0.00000000;29,188;28,212;-78,218;-222,779;1,848.79300000
83.00000000;0.00000000;0.00000000;29,185;28,209;-78,224;-222,782;1,870.94700000
84.00000000;0.00000000;0.00000000;29,183;28,207;-78,231;-222,783;1,894.19800000
85.00000000;0.00000000;0.00000000;29,181;28,205;-78,236;-222,783;1,915.82400000
86.00000000;0.00000000;0.00000000;29,181;28,203;-78,241;-222,785;1,938.07900000
87.00000000;0.00000000;0.00000000;29,180;28,202;-78,248;-222,788;1,961.45800000
88.00000000;0.00000000;0.00000000;29,179;28,201;-78,254;-222,793;1,982.87800000
89.00000000;0.00000000;0.00000000;29,179;28,201;-78,260;-222,797;2,004.04800000
90.00000000;0.00000000;0.00000000;29,178;28,200;-78,268;-222,800;2,025.86700000
91.00000000;0.00000000;0.00000000;29,178;28,200;-78,276;-222,803;2,045.89200000
92.00000000;0.00000000;0.00000000;29,178;28,199;-78,284;-222,806;2,066.83100000
93.00000000;0.00000000;0.00000000;29,178;28,199;-78,292;-222,810;2,087.79500000
94.00000000;0.00000000;0.00000000;29,177;28,199;-78,299;-222,813;2,110.10200000
95.00000000;0.00000000;0.00000000;29,177;28,199;-78,306;-222,815;2,131.90400000
96.00000000;0.00000000;0.00000000;29,179;28,199;-78,312;-222,816;2,153.95700000
97.00000000;0.00000000;0.00000000;29,180;28,201;-78,318;-222,816;2,176.87100000
98.00000000;0.00000000;0.00000000;29,182;28,202;-78,324;-222,817;2,198.49700000
99.00000000;0.00000000;0.00000000;29,184;28,203;-78,331;-222,819;2,219.80300000
100.00000000;0.00000000;0.00000000;29,184;28,203;-78,339;-222,822;2,240.98600000
101.00000000;0.00000000;0.00000000;29,184;28,203;-78,350;-222,823;2,261.97000000
102.00000000;0.00000000;0.00000000;29,184;28,203;-78,363;-222,824;2,282.95200000
103.00000000;0.00000000;0.00000000;29,184;28,203;-78,375;-222,825;2,304.19000000
104.00000000;0.00000000;0.00000000;29,182;28,203;-78,385;-222,827;2,326.72800000
105.00000000;0.00000000;0.00000000;29,179;28,200;-78,394;-222,829;2,351.55900000
106.00000000;0.00000000;0.00000000;29,178;28,198;-78,399;-222,832;2,376.39800000
107.00000000;0.00000000;0.00000000;29,177;28,196;-78,404;-222,834;2,399.93400000
108.00000000;0.00000000;0.00000000;29,177;28,195;-78,410;-222,838;2,421.50600000
109.00000000;0.00000000;0.00000000;29,176;28,194;-78,415;-222,843;2,443.88600000
110.00000000;0.00000000;0.00000000;29,176;28,194;-78,421;-222,848;2,465.20500000
111.00000000;0.00000000;0.00000000;29,175;28,192;-78,429;-222,852;2,487.07300000
112.00000000;0.00000000;0.00000000;29,174;28,192;-78,440;-222,858;2,509.00700000
113.00000000;0.00000000;0.00000000;29,173;28,190;-78,451;-222,862;2,529.45800000
114.00000000;0.00000000;0.00000000;29,172;28,189;-78,463;-222,866;2,550.50700000
115.00000000;0.00000000;0.00000000;29,171;28,189;-78,472;-222,869;2,571.24400000
116.00000000;0.00000000;0.00000000;29,170;28,187;-78,481;-222,874;2,593.20400000
117.00000000;0.00000000;0.00000000;29,170;28,186;-78,487;-222,882;2,615.67800000
118.00000000;0.00000000;0.00000000;29,169;28,185;-78,489;-222,891;2,638.41400000
119.00000000;0.00000000;0.00000000;29,167;28,183;-78,492;-222,900;2,661.60500000
120.00000000;0.00000000;0.00000000;29,166;28,182;-78,497;-222,905;2,684.06800000
121.00000000;0.00000000;0.00000000;29,164;28,181;-78,505;-222,906;2,706.48200000
122.00000000;0.00000000;0.00000000;29,162;28,178;-78,518;-222,907;2,729.40600000
123.00000000;0.00000000;0.00000000;29,161;28,177;-78,528;-222,907;2,751.15500000
124.00000000;0.00000000;0.00000000;29,159;28,175;-78,537;-222,907;2,773.31000000
125.00000000;0.00000000;0.00000000;29,157;28,173;-78,543;-222,907;2,795.96500000
126.00000000;0.00000000;0.00000000;29,155;28,171;-78,544;-222,907;2,817.98100000
127.00000000;0.00000000;0.00000000;29,153;28,168;-78,542;-222,910;2,839.83100000
128.00000000;0.00000000;0.00000000;29,149;28,164;-78,541;-222,911;2,862.69100000
129.00000000;0.00000000;0.00000000;29,145;28,160;-78,540;-222,911;2,884.46600000
130.00000000;0.00000000;0.00000000;29,141;28,156;-78,540;-222,908;2,906.42000000
131.00000000;0.00000000;0.00000000;29,138;28,152;-78,543;-222,904;2,929.58100000
132.00000000;0.00000000;0.00000000;29,134;28,148;-78,543;-222,903;2,951.78900000
133.00000000;0.00000000;0.00000000;29,130;28,144;-78,544;-222,903;2,973.38200000
134.00000000;0.00000000;0.00000000;29,125;28,140;-78,544;-222,902;2,996.12900000
135.00000000;0.00000000;0.00000000;29,122;28,137;-78,544;-222,904;3,018.48000000
136.00000000;0.00000000;0.00000000;29,118;28,134;-78,544;-222,904;3,040.47900000
