counter;event
start;4/5/2022 3:44:41 PM
1;antfreeze_off
49;rot_gain_set_to_-1
127;view_cleared
4,331;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,523;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,599;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,670;rot_gain_set_to_0
8,705;movedto_0;0
8,705;rotatedto_253degs
8,771;view_cleared
13,669;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,732;rot_gain_set_to_5
14,459;view_cleared
19,842;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
19,961;rot_gain_set_to_1
20,464;view_cleared
24,264;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
24,333;rot_gain_set_to_3
24,994;view_cleared
29,110;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
29,149;SUCCESS
end;4/5/2022 3:55:23 PM
