counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;61,812;70,010;194,483;-15,988;0.01400000
1.00000000;0.00000000;0.00000000;61,820;70,019;194,492;-15,994;25.46300000
2.00000000;0.00000000;0.00000000;61,825;70,026;194,501;-16,001;46.87100000
3.00000000;0.00000000;0.00000000;61,830;70,033;194,512;-16,009;69.48900000
4.00000000;0.00000000;0.00000000;61,836;70,038;194,522;-16,018;91.46800000
5.00000000;0.00000000;0.00000000;61,840;70,043;194,533;-16,028;112.89900000
6.00000000;0.00000000;0.00000000;61,844;70,047;194,542;-16,035;135.06600000
7.00000000;0.00000000;0.00000000;61,850;70,053;194,553;-16,041;157.70500000
8.00000000;0.00000000;0.00000000;61,854;70,058;194,560;-16,044;179.49700000
9.00000000;0.00000000;0.00000000;61,859;70,063;194,568;-16,049;202.45400000
10.00000000;0.00000000;0.00000000;61,862;70,067;194,573;-16,054;224.37300000
11.00000000;0.00000000;0.00000000;61,865;70,069;194,579;-16,061;245.57100000
12.00000000;0.00000000;0.00000000;61,868;70,073;194,586;-16,068;267.58300000
13.00000000;0.00000000;0.00000000;61,870;70,076;194,594;-16,075;288.93700000
14.00000000;0.00000000;0.00000000;61,873;70,079;194,606;-16,083;310.44100000
15.00000000;0.00000000;0.00000000;61,874;70,081;194,618;-16,090;332.83500000
16.00000000;0.00000000;0.00000000;61,876;70,083;194,627;-16,097;355.74400000
17.00000000;0.00000000;0.00000000;61,878;70,085;194,637;-16,102;377.73000000
18.00000000;0.00000000;0.00000000;61,879;70,086;194,644;-16,106;400.17100000
19.00000000;0.00000000;0.00000000;61,880;70,089;194,651;-16,105;420.24900000
20.00000000;0.00000000;0.00000000;61,880;70,090;194,656;-16,110;440.81300000
21.00000000;0.00000000;0.00000000;61,881;70,090;194,661;-16,118;461.75300000
22.00000000;0.00000000;0.00000000;61,882;70,091;194,667;-16,119;484.40400000
23.00000000;0.00000000;0.00000000;61,882;70,091;194,675;-16,126;505.83100000
24.00000000;0.00000000;0.00000000;61,882;70,092;194,684;-16,132;526.91500000
25.00000000;0.00000000;0.00000000;61,882;70,092;194,692;-16,135;547.86700000
26.00000000;0.00000000;0.00000000;61,882;70,090;194,698;-16,137;569.62500000
27.00000000;0.00000000;0.00000000;61,882;70,090;194,705;-16,141;591.35600000
28.00000000;0.00000000;0.00000000;61,882;70,089;194,712;-16,146;615.27600000
29.00000000;0.00000000;0.00000000;61,880;70,088;194,719;-16,151;639.24700000
30.00000000;0.00000000;0.00000000;61,878;70,086;194,726;-16,156;659.71100000
31.00000000;0.00000000;0.00000000;61,876;70,085;194,732;-16,161;680.54500000
32.00000000;0.00000000;0.00000000;61,874;70,083;194,740;-16,167;703.36700000
33.00000000;0.00000000;0.00000000;61,873;70,081;194,748;-16,172;724.27500000
34.00000000;0.00000000;0.00000000;61,871;70,079;194,754;-16,179;746.20300000
35.00000000;0.00000000;0.00000000;61,868;70,077;194,760;-16,184;768.88200000
36.00000000;0.00000000;0.00000000;61,865;70,075;194,765;-16,188;789.90500000
37.00000000;0.00000000;0.00000000;61,862;70,072;194,770;-16,188;811.43400000
38.00000000;0.00000000;0.00000000;61,859;70,068;194,772;-16,188;832.01900000
39.00000000;0.00000000;0.00000000;61,857;70,065;194,773;-16,184;853.41800000
40.00000000;0.00000000;0.00000000;61,853;70,061;194,773;-16,183;874.64500000
41.00000000;0.00000000;0.00000000;61,850;70,058;194,773;-16,183;896.42500000
42.00000000;0.00000000;0.00000000;61,846;70,056;194,773;-16,186;920.00700000
43.00000000;0.00000000;0.00000000;61,844;70,054;194,776;-16,189;944.38900000
44.00000000;0.00000000;0.00000000;61,841;70,052;194,781;-16,193;969.46100000
45.00000000;0.00000000;0.00000000;61,840;70,051;194,786;-16,195;991.06500000
46.00000000;0.00000000;0.00000000;61,839;70,050;194,791;-16,197;1,012.47600000
47.00000000;0.00000000;0.00000000;61,838;70,049;194,797;-16,200;1,036.89200000
48.00000000;0.00000000;0.00000000;61,837;70,048;194,802;-16,203;1,058.64600000
49.00000000;0.00000000;0.00000000;61,836;70,048;194,809;-16,209;1,080.65900000
50.00000000;0.00000000;0.00000000;61,834;70,047;194,816;-16,215;1,103.63800000
51.00000000;0.00000000;0.00000000;61,834;70,046;194,823;-16,222;1,124.96400000
52.00000000;0.00000000;0.00000000;61,833;70,045;194,830;-16,231;1,146.05500000
53.00000000;0.00000000;0.00000000;61,832;70,045;194,838;-16,242;1,167.95000000
54.00000000;0.00000000;0.00000000;61,830;70,045;194,848;-16,249;1,189.24500000
55.00000000;0.00000000;0.00000000;61,830;70,044;194,857;-16,254;1,209.97000000
56.00000000;0.00000000;0.00000000;61,830;70,044;194,869;-16,256;1,236.04500000
57.00000000;0.00000000;0.00000000;61,830;70,044;194,878;-16,259;1,257.29500000
58.00000000;0.00000000;0.00000000;61,829;70,044;194,889;-16,263;1,278.30700000
59.00000000;0.00000000;0.00000000;61,829;70,043;194,896;-16,269;1,300.07100000
60.00000000;0.00000000;0.00000000;61,828;70,043;194,905;-16,274;1,320.41800000
61.00000000;0.00000000;0.00000000;61,828;70,043;194,914;-16,281;1,341.73900000
62.00000000;0.00000000;0.00000000;61,828;70,043;194,923;-16,290;1,363.19100000
63.00000000;0.00000000;0.00000000;61,828;70,043;194,935;-16,300;1,385.21700000
64.00000000;0.00000000;0.00000000;61,828;70,043;194,945;-16,309;1,406.60600000
65.00000000;0.00000000;0.00000000;61,827;70,043;194,953;-16,314;1,427.44200000
66.00000000;0.00000000;0.00000000;61,826;70,043;194,962;-16,319;1,447.62700000
67.00000000;0.00000000;0.00000000;61,826;70,043;194,969;-16,322;1,469.27800000
