counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;215,367;219,809;-172,056;-319,869;0.01600000
1.00000000;0.00000000;0.00000000;215,371;219,814;-172,051;-319,872;26.71700000
2.00000000;0.00000000;0.00000000;215,374;219,817;-172,048;-319,876;49.47100000
3.00000000;0.00000000;0.00000000;215,378;219,821;-172,043;-319,880;71.47300000
4.00000000;0.00000000;0.00000000;215,381;219,823;-172,040;-319,883;93.55100000
5.00000000;0.00000000;0.00000000;215,384;219,827;-172,036;-319,887;116.11000000
6.00000000;0.00000000;0.00000000;215,386;219,830;-172,031;-319,889;138.17500000
7.00000000;0.00000000;0.00000000;215,388;219,832;-172,027;-319,891;160.28800000
8.00000000;0.00000000;0.00000000;215,390;219,834;-172,022;-319,892;182.91800000
9.00000000;0.00000000;0.00000000;215,391;219,835;-172,018;-319,894;204.86000000
10.00000000;0.00000000;0.00000000;215,392;219,836;-172,015;-319,895;226.71400000
11.00000000;0.00000000;0.00000000;215,392;219,836;-172,012;-319,896;249.41600000
12.00000000;0.00000000;0.00000000;215,392;219,836;-172,011;-319,896;271.00400000
13.00000000;0.00000000;0.00000000;215,392;219,836;-172,010;-319,897;291.92300000
14.00000000;0.00000000;0.00000000;215,392;219,836;-172,009;-319,899;314.08400000
15.00000000;0.00000000;0.00000000;215,392;219,836;-172,008;-319,901;335.11900000
16.00000000;0.00000000;0.00000000;215,390;219,833;-172,006;-319,905;356.48500000
17.00000000;0.00000000;0.00000000;215,387;219,832;-172,003;-319,908;377.44500000
18.00000000;0.00000000;0.00000000;215,385;219,830;-172,000;-319,912;399.39100000
19.00000000;0.00000000;0.00000000;215,383;219,829;-171,996;-319,915;421.69000000
20.00000000;0.00000000;0.00000000;215,380;219,825;-171,992;-319,920;443.50400000
21.00000000;0.00000000;0.00000000;215,377;219,822;-171,987;-319,923;466.05100000
22.00000000;0.00000000;0.00000000;215,373;219,819;-171,983;-319,925;488.12800000
23.00000000;0.00000000;0.00000000;215,369;219,815;-171,979;-319,927;509.98400000
24.00000000;0.00000000;0.00000000;215,365;219,810;-171,974;-319,928;532.90900000
25.00000000;0.00000000;0.00000000;215,360;219,805;-171,971;-319,931;555.04900000
26.00000000;0.00000000;0.00000000;215,355;219,800;-171,967;-319,935;576.42200000
27.00000000;0.00000000;0.00000000;215,350;219,795;-171,963;-319,939;598.56000000
28.00000000;0.00000000;0.00000000;215,344;219,791;-171,960;-319,943;620.29500000
29.00000000;0.00000000;0.00000000;215,338;219,785;-171,955;-319,947;641.94700000
30.00000000;0.00000000;0.00000000;215,332;219,780;-171,951;-319,951;664.09100000
31.00000000;0.00000000;0.00000000;215,326;219,775;-171,947;-319,954;686.59500000
32.00000000;0.00000000;0.00000000;215,319;219,767;-171,942;-319,957;711.11500000
33.00000000;0.00000000;0.00000000;215,314;219,762;-171,939;-319,959;733.55000000
34.00000000;0.00000000;0.00000000;215,308;219,756;-171,935;-319,960;755.42900000
35.00000000;0.00000000;0.00000000;215,303;219,751;-171,932;-319,962;777.23800000
