counter;event
start;4/7/2022 2:29:47 PM
1;antfreeze_off
65;rot_gain_set_to_0
115;movedto_0;0
115;rotatedto_320degs
186;view_cleared
4,203;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,290;rot_gain_set_to_-1
4,889;view_cleared
8,900;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,985;rot_gain_set_to_1
9,603;view_cleared
13,728;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,926;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,083;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,160;rot_gain_set_to_3
18,265;view_cleared
22,511;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,592;rot_gain_set_to_5
23,188;view_cleared
27,571;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,602;SUCCESS
end;4/7/2022 2:39:55 PM
