counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;18,720;21,764;61,448;79,577;0.01500000
1.00000000;0.00000000;0.00000000;18,735;21,779;61,456;79,583;27.56500000
2.00000000;0.00000000;0.00000000;18,744;21,788;61,461;79,587;49.76600000
3.00000000;0.00000000;0.00000000;18,753;21,797;61,466;79,593;73.24600000
4.00000000;0.00000000;0.00000000;18,762;21,806;61,472;79,597;95.58300000
5.00000000;0.00000000;0.00000000;18,769;21,814;61,476;79,600;117.85200000
6.00000000;0.00000000;0.00000000;18,775;21,819;61,479;79,603;140.65700000
7.00000000;0.00000000;0.00000000;18,779;21,825;61,482;79,605;162.52800000
8.00000000;0.00000000;0.00000000;18,784;21,830;61,487;79,609;184.94800000
9.00000000;0.00000000;0.00000000;18,788;21,834;61,492;79,613;207.71400000
10.00000000;0.00000000;0.00000000;18,792;21,837;61,495;79,617;229.02500000
11.00000000;0.00000000;0.00000000;18,795;21,840;61,500;79,624;253.35000000
12.00000000;0.00000000;0.00000000;18,797;21,842;61,505;79,631;278.01700000
13.00000000;0.00000000;0.00000000;18,799;21,844;61,510;79,638;299.50900000
14.00000000;0.00000000;0.00000000;18,800;21,846;61,515;79,644;321.44000000
15.00000000;0.00000000;0.00000000;18,801;21,847;61,520;79,650;341.58400000
16.00000000;0.00000000;0.00000000;18,801;21,847;61,524;79,657;362.62900000
17.00000000;0.00000000;0.00000000;18,801;21,847;61,529;79,663;383.86600000
18.00000000;0.00000000;0.00000000;18,799;21,847;61,535;79,668;406.23300000
19.00000000;0.00000000;0.00000000;18,797;21,844;61,540;79,669;427.88900000
20.00000000;0.00000000;0.00000000;18,794;21,842;61,546;79,669;450.24200000
21.00000000;0.00000000;0.00000000;18,790;21,839;61,552;79,669;473.61000000
22.00000000;0.00000000;0.00000000;18,785;21,834;61,557;79,670;495.82000000
23.00000000;0.00000000;0.00000000;18,781;21,830;61,561;79,673;518.17300000
24.00000000;0.00000000;0.00000000;18,776;21,826;61,565;79,679;541.56600000
25.00000000;0.00000000;0.00000000;18,771;21,821;61,568;79,685;563.52900000
26.00000000;0.00000000;0.00000000;18,766;21,816;61,573;79,692;585.53700000
27.00000000;0.00000000;0.00000000;18,760;21,811;61,579;79,699;607.81900000
28.00000000;0.00000000;0.00000000;18,754;21,805;61,587;79,705;629.56300000
29.00000000;0.00000000;0.00000000;18,748;21,797;61,594;79,709;651.56200000
30.00000000;0.00000000;0.00000000;18,739;21,789;61,600;79,711;674.41500000
31.00000000;0.00000000;0.00000000;18,731;21,782;61,605;79,711;696.24700000
32.00000000;0.00000000;0.00000000;18,723;21,774;61,610;79,709;717.82400000
33.00000000;0.00000000;0.00000000;18,712;21,766;61,615;79,707;740.32400000
34.00000000;0.00000000;0.00000000;18,703;21,757;61,618;79,706;762.99500000
35.00000000;0.00000000;0.00000000;18,693;21,748;61,620;79,706;784.34300000
36.00000000;0.00000000;0.00000000;18,682;21,737;61,620;79,706;806.97000000
37.00000000;0.00000000;0.00000000;18,671;21,728;61,620;79,709;829.16600000
38.00000000;0.00000000;0.00000000;18,660;21,718;61,621;79,713;850.67400000
39.00000000;0.00000000;0.00000000;18,649;21,706;61,625;79,714;873.09100000
40.00000000;0.00000000;0.00000000;18,638;21,696;61,628;79,715;894.45000000
41.00000000;0.00000000;0.00000000;18,625;21,683;61,632;79,715;916.09600000
42.00000000;0.00000000;0.00000000;18,612;21,671;61,635;79,715;938.14100000
43.00000000;0.00000000;0.00000000;18,598;21,657;61,637;79,715;959.30900000
44.00000000;0.00000000;0.00000000;18,585;21,644;61,639;79,713;981.03100000
45.00000000;0.00000000;0.00000000;18,574;21,634;61,640;79,715;1,001.94800000
46.00000000;0.00000000;0.00000000;18,561;21,621;61,642;79,719;1,025.99700000
47.00000000;0.00000000;0.00000000;18,549;21,612;61,645;79,724;1,049.09400000
48.00000000;0.00000000;0.00000000;18,539;21,602;61,649;79,729;1,070.93600000
49.00000000;0.00000000;0.00000000;18,529;21,593;61,654;79,734;1,092.07400000
50.00000000;0.00000000;0.00000000;18,520;21,584;61,658;79,739;1,113.98700000
51.00000000;0.00000000;0.00000000;18,511;21,576;61,663;79,743;1,136.24000000
52.00000000;0.00000000;0.00000000;18,503;21,567;61,666;79,749;1,158.74900000
53.00000000;0.00000000;0.00000000;18,494;21,560;61,669;79,755;1,180.64900000
54.00000000;0.00000000;0.00000000;18,486;21,552;61,671;79,761;1,202.63600000
55.00000000;0.00000000;0.00000000;18,479;21,545;61,674;79,766;1,225.66100000
56.00000000;0.00000000;0.00000000;18,471;21,538;61,677;79,771;1,247.28500000
57.00000000;0.00000000;0.00000000;18,464;21,531;61,681;79,775;1,269.02300000
58.00000000;0.00000000;0.00000000;18,458;21,525;61,686;79,780;1,291.52700000
59.00000000;0.00000000;0.00000000;18,452;21,520;61,690;79,785;1,313.75000000
60.00000000;0.00000000;0.00000000;18,447;21,515;61,693;79,789;1,335.52100000
61.00000000;0.00000000;0.00000000;18,441;21,510;61,696;79,794;1,357.99900000
62.00000000;0.00000000;0.00000000;18,438;21,506;61,698;79,799;1,379.88500000
63.00000000;0.00000000;0.00000000;18,434;21,504;61,699;79,802;1,401.52500000
64.00000000;0.00000000;0.00000000;18,431;21,501;61,699;79,806;1,424.22000000
65.00000000;0.00000000;0.00000000;18,428;21,499;61,697;79,810;1,446.02200000
66.00000000;0.00000000;0.00000000;18,427;21,498;61,696;79,812;1,468.36900000
67.00000000;0.00000000;0.00000000;18,426;21,497;61,696;79,814;1,491.18100000
68.00000000;0.00000000;0.00000000;18,426;21,497;61,696;79,815;1,512.31100000
69.00000000;0.00000000;0.00000000;18,426;21,497;61,696;79,818;1,533.53600000
70.00000000;0.00000000;0.00000000;18,428;21,499;61,696;79,820;1,555.71700000
71.00000000;0.00000000;0.00000000;18,431;21,503;61,694;79,821;1,576.37700000
72.00000000;0.00000000;0.00000000;18,438;21,508;61,690;79,823;1,597.56900000
73.00000000;0.00000000;0.00000000;18,444;21,515;61,686;79,824;1,619.70300000
74.00000000;0.00000000;0.00000000;18,452;21,524;61,683;79,824;1,642.40500000
75.00000000;0.00000000;0.00000000;18,462;21,534;61,681;79,824;1,664.39200000
76.00000000;0.00000000;0.00000000;18,475;21,545;61,679;79,824;1,686.17600000
77.00000000;0.00000000;0.00000000;18,490;21,559;61,676;79,824;1,708.81700000
78.00000000;0.00000000;0.00000000;18,502;21,572;61,671;79,824;1,730.65700000
79.00000000;0.00000000;0.00000000;18,519;21,589;61,665;79,821;1,754.46900000
80.00000000;0.00000000;0.00000000;18,534;21,605;61,659;79,821;1,776.25900000
81.00000000;0.00000000;0.00000000;18,551;21,622;61,654;79,821;1,797.49400000
82.00000000;0.00000000;0.00000000;18,569;21,639;61,649;79,820;1,819.07900000
83.00000000;0.00000000;0.00000000;18,592;21,659;61,646;79,820;1,841.66200000
84.00000000;0.00000000;0.00000000;18,612;21,677;61,643;79,823;1,864.18400000
85.00000000;0.00000000;0.00000000;18,637;21,699;61,643;79,829;1,888.83000000
86.00000000;0.00000000;0.00000000;18,661;21,720;61,643;79,836;1,913.62900000
87.00000000;0.00000000;0.00000000;18,685;21,742;61,646;79,842;1,938.52700000
88.00000000;0.00000000;0.00000000;18,705;21,760;61,647;79,848;1,959.44200000
89.00000000;0.00000000;0.00000000;18,727;21,780;61,649;79,856;1,981.35400000
90.00000000;0.00000000;0.00000000;18,745;21,797;61,652;79,862;2,002.68700000
91.00000000;0.00000000;0.00000000;18,764;21,817;61,657;79,872;2,025.45200000
92.00000000;0.00000000;0.00000000;18,781;21,832;61,662;79,878;2,047.29000000
93.00000000;0.00000000;0.00000000;18,800;21,850;61,667;79,882;2,069.40000000
94.00000000;0.00000000;0.00000000;18,818;21,867;61,672;79,882;2,092.38400000
95.00000000;0.00000000;0.00000000;18,833;21,881;61,676;79,882;2,114.78400000
96.00000000;0.00000000;0.00000000;18,847;21,896;61,680;79,882;2,136.46600000
97.00000000;0.00000000;0.00000000;18,861;21,911;61,683;79,883;2,159.32600000
98.00000000;0.00000000;0.00000000;18,872;21,922;61,687;79,887;2,180.81400000
99.00000000;0.00000000;0.00000000;18,882;21,931;61,691;79,890;2,202.60400000
100.00000000;0.00000000;0.00000000;18,891;21,940;61,695;79,894;2,225.52400000
101.00000000;0.00000000;0.00000000;18,897;21,947;61,699;79,897;2,247.43600000
102.00000000;0.00000000;0.00000000;18,901;21,950;61,701;79,897;2,269.02300000
103.00000000;0.00000000;0.00000000;18,904;21,953;61,701;79,895;2,291.43100000
104.00000000;0.00000000;0.00000000;18,905;21,954;61,701;79,892;2,312.51200000
105.00000000;0.00000000;0.00000000;18,905;21,954;61,697;79,891;2,335.11600000
106.00000000;0.00000000;0.00000000;18,901;21,951;61,695;79,890;2,359.42300000
107.00000000;0.00000000;0.00000000;18,896;21,946;61,694;79,890;2,380.64200000
108.00000000;0.00000000;0.00000000;18,890;21,942;61,694;79,890;2,402.56000000
109.00000000;0.00000000;0.00000000;18,883;21,936;61,694;79,893;2,425.24600000
110.00000000;0.00000000;0.00000000;18,877;21,930;61,697;79,894;2,447.40400000
111.00000000;0.00000000;0.00000000;18,871;21,923;61,698;79,895;2,469.49100000
112.00000000;0.00000000;0.00000000;18,863;21,915;61,698;79,895;2,492.77700000
113.00000000;0.00000000;0.00000000;18,855;21,908;61,696;79,896;2,515.06600000
114.00000000;0.00000000;0.00000000;18,847;21,900;61,695;79,896;2,537.28400000
115.00000000;0.00000000;0.00000000;18,840;21,894;61,694;79,896;2,560.00100000
116.00000000;0.00000000;0.00000000;18,832;21,886;61,694;79,897;2,581.99000000
117.00000000;0.00000000;0.00000000;18,826;21,880;61,694;79,897;2,603.94100000
118.00000000;0.00000000;0.00000000;18,820;21,874;61,694;79,897;2,626.85900000
119.00000000;0.00000000;0.00000000;18,814;21,868;61,694;79,897;2,649.09200000
120.00000000;0.00000000;0.00000000;18,808;21,864;61,693;79,898;2,671.23200000
121.00000000;0.00000000;0.00000000;18,804;21,860;61,691;79,900;2,693.31000000
122.00000000;0.00000000;0.00000000;18,801;21,856;61,689;79,902;2,714.99800000
123.00000000;0.00000000;0.00000000;18,798;21,853;61,687;79,907;2,736.31300000
124.00000000;0.00000000;0.00000000;18,797;21,852;61,685;79,913;2,758.60300000
125.00000000;0.00000000;0.00000000;18,797;21,851;61,684;79,919;2,779.81900000
126.00000000;0.00000000;0.00000000;18,797;21,851;61,683;79,925;2,800.84100000
127.00000000;0.00000000;0.00000000;18,799;21,851;61,682;79,931;2,821.76700000
128.00000000;0.00000000;0.00000000;18,803;21,855;61,681;79,937;2,846.72000000
129.00000000;0.00000000;0.00000000;18,806;21,859;61,679;79,941;2,869.25800000
130.00000000;0.00000000;0.00000000;18,812;21,863;61,678;79,945;2,892.61500000
131.00000000;0.00000000;0.00000000;18,817;21,868;61,677;79,950;2,915.07900000
132.00000000;0.00000000;0.00000000;18,823;21,874;61,677;79,956;2,937.92400000
133.00000000;0.00000000;0.00000000;18,829;21,880;61,679;79,965;2,960.19600000
134.00000000;0.00000000;0.00000000;18,835;21,885;61,683;79,975;2,982.56200000
135.00000000;0.00000000;0.00000000;18,841;21,891;61,689;79,987;3,004.38500000
136.00000000;0.00000000;0.00000000;18,847;21,895;61,698;79,999;3,027.25800000
137.00000000;0.00000000;0.00000000;18,853;21,900;61,706;80,010;3,049.27600000
