counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;145,369;141,925;-66,888;282,126;0.01400000
1.00000000;0.00000000;0.00000000;145,356;141,911;-66,887;282,118;25.85800000
2.00000000;0.00000000;0.00000000;145,343;141,899;-66,886;282,111;48.71400000
3.00000000;0.00000000;0.00000000;145,330;141,887;-66,886;282,102;71.41600000
4.00000000;0.00000000;0.00000000;145,316;141,875;-66,886;282,092;95.30900000
5.00000000;0.00000000;0.00000000;145,304;141,863;-66,883;282,080;118.40500000
6.00000000;0.00000000;0.00000000;145,290;141,851;-66,878;282,069;141.29300000
7.00000000;0.00000000;0.00000000;145,279;141,838;-66,872;282,058;163.49300000
8.00000000;0.00000000;0.00000000;145,268;141,829;-66,865;282,050;185.38700000
9.00000000;0.00000000;0.00000000;145,257;141,818;-66,855;282,044;207.44300000
10.00000000;0.00000000;0.00000000;145,246;141,807;-66,844;282,037;230.09300000
11.00000000;0.00000000;0.00000000;145,237;141,799;-66,834;282,029;251.52400000
12.00000000;0.00000000;0.00000000;145,228;141,787;-66,823;282,019;273.02000000
13.00000000;0.00000000;0.00000000;145,218;141,778;-66,813;282,008;295.48000000
14.00000000;0.00000000;0.00000000;145,210;141,771;-66,804;281,997;316.88800000
15.00000000;0.00000000;0.00000000;145,203;141,763;-66,793;281,983;338.42700000
16.00000000;0.00000000;0.00000000;145,196;141,756;-66,781;281,968;360.95500000
17.00000000;0.00000000;0.00000000;145,189;141,749;-66,771;281,956;382.43400000
18.00000000;0.00000000;0.00000000;145,182;141,742;-66,759;281,940;403.78500000
19.00000000;0.00000000;0.00000000;145,175;141,736;-66,749;281,927;425.22900000
20.00000000;0.00000000;0.00000000;145,168;141,729;-66,737;281,913;447.30000000
21.00000000;0.00000000;0.00000000;145,162;141,722;-66,723;281,898;468.89300000
22.00000000;0.00000000;0.00000000;145,157;141,716;-66,710;281,887;490.56300000
23.00000000;0.00000000;0.00000000;145,150;141,710;-66,697;281,876;513.49700000
24.00000000;0.00000000;0.00000000;145,145;141,703;-66,685;281,867;535.62700000
25.00000000;0.00000000;0.00000000;145,139;141,697;-66,673;281,860;558.11800000
26.00000000;0.00000000;0.00000000;145,134;141,691;-66,659;281,854;580.68600000
27.00000000;0.00000000;0.00000000;145,129;141,686;-66,645;281,848;603.05300000
28.00000000;0.00000000;0.00000000;145,124;141,680;-66,630;281,842;624.86700000
29.00000000;0.00000000;0.00000000;145,119;141,675;-66,617;281,841;647.32800000
30.00000000;0.00000000;0.00000000;145,115;141,671;-66,606;281,846;669.71200000
31.00000000;0.00000000;0.00000000;145,112;141,668;-66,596;281,854;694.72800000
32.00000000;0.00000000;0.00000000;145,110;141,667;-66,588;281,861;716.06200000
33.00000000;0.00000000;0.00000000;145,110;141,666;-66,580;281,867;737.09700000
34.00000000;0.00000000;0.00000000;145,110;141,668;-66,571;281,871;757.43500000
35.00000000;0.00000000;0.00000000;145,113;141,670;-66,560;281,873;779.64500000
36.00000000;0.00000000;0.00000000;145,116;141,673;-66,548;281,873;801.28400000
37.00000000;0.00000000;0.00000000;145,119;141,679;-66,533;281,873;822.77000000
38.00000000;0.00000000;0.00000000;145,125;141,684;-66,518;281,873;845.24500000
39.00000000;0.00000000;0.00000000;145,131;141,691;-66,504;281,867;866.70600000
