counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;1,551;1,307;-10,061;-1,212;2.55100000
1.00000000;0.00000000;0.00000000;1,554;1,310;-10,066;-1,210;22.88400000
2.00000000;0.00000000;0.00000000;1,559;1,315;-10,071;-1,209;45.63600000
3.00000000;0.00000000;0.00000000;1,563;1,319;-10,076;-1,208;67.49000000
4.00000000;0.00000000;0.00000000;1,567;1,323;-10,082;-1,207;89.29200000
5.00000000;0.00000000;0.00000000;1,570;1,327;-10,089;-1,205;112.23600000
6.00000000;0.00000000;0.00000000;1,573;1,329;-10,097;-1,204;134.29300000
7.00000000;0.00000000;0.00000000;1,576;1,333;-10,104;-1,202;156.46900000
8.00000000;0.00000000;0.00000000;1,579;1,336;-10,112;-1,199;182.15500000
9.00000000;0.00000000;0.00000000;1,583;1,339;-10,118;-1,197;203.80200000
10.00000000;0.00000000;0.00000000;1,586;1,343;-10,122;-1,194;225.00000000
11.00000000;0.00000000;0.00000000;1,590;1,344;-10,127;-1,192;247.50100000
12.00000000;0.00000000;0.00000000;1,593;1,347;-10,132;-1,190;269.76000000
13.00000000;0.00000000;0.00000000;1,595;1,350;-10,138;-1,188;291.84800000
14.00000000;0.00000000;0.00000000;1,597;1,351;-10,145;-1,187;314.43000000
15.00000000;0.00000000;0.00000000;1,598;1,353;-10,152;-1,186;336.13900000
16.00000000;0.00000000;0.00000000;1,599;1,353;-10,160;-1,185;357.94400000
17.00000000;0.00000000;0.00000000;1,599;1,354;-10,168;-1,182;380.82300000
18.00000000;0.00000000;0.00000000;1,599;1,354;-10,176;-1,179;403.84100000
19.00000000;0.00000000;0.00000000;1,599;1,354;-10,182;-1,175;424.09400000
20.00000000;0.00000000;0.00000000;1,599;1,352;-10,188;-1,170;445.91600000
21.00000000;0.00000000;0.00000000;1,599;1,351;-10,192;-1,167;467.83400000
22.00000000;0.00000000;0.00000000;1,597;1,350;-10,198;-1,163;489.96200000
23.00000000;0.00000000;0.00000000;1,595;1,348;-10,202;-1,160;513.10000000
24.00000000;0.00000000;0.00000000;1,592;1,345;-10,207;-1,158;535.15500000
25.00000000;0.00000000;0.00000000;1,589;1,342;-10,213;-1,156;557.79600000
26.00000000;0.00000000;0.00000000;1,585;1,337;-10,219;-1,153;580.75100000
27.00000000;0.00000000;0.00000000;1,581;1,332;-10,228;-1,149;603.61800000
28.00000000;0.00000000;0.00000000;1,578;1,329;-10,235;-1,145;624.82100000
29.00000000;0.00000000;0.00000000;1,574;1,323;-10,241;-1,139;647.16900000
30.00000000;0.00000000;0.00000000;1,570;1,319;-10,246;-1,135;668.55300000
31.00000000;0.00000000;0.00000000;1,565;1,314;-10,250;-1,132;689.97200000
32.00000000;0.00000000;0.00000000;1,559;1,306;-10,255;-1,128;712.80500000
33.00000000;0.00000000;0.00000000;1,554;1,301;-10,259;-1,125;735.01700000
34.00000000;0.00000000;0.00000000;1,548;1,296;-10,264;-1,123;757.07200000
35.00000000;0.00000000;0.00000000;1,541;1,289;-10,270;-1,119;780.58800000
36.00000000;0.00000000;0.00000000;1,535;1,282;-10,277;-1,116;803.08500000
