counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;11,533;6,998;-131,046;32,299;0.01500000
1.00000000;0.00000000;0.00000000;11,537;7,002;-131,058;32,288;27.97200000
2.00000000;0.00000000;0.00000000;11,540;7,005;-131,068;32,280;50.47700000
3.00000000;0.00000000;0.00000000;11,544;7,009;-131,074;32,276;72.16800000
4.00000000;0.00000000;0.00000000;11,550;7,014;-131,078;32,274;95.35300000
5.00000000;0.00000000;0.00000000;11,556;7,018;-131,080;32,272;117.44000000
6.00000000;0.00000000;0.00000000;11,561;7,023;-131,080;32,269;139.49800000
7.00000000;0.00000000;0.00000000;11,567;7,029;-131,080;32,265;162.69500000
8.00000000;0.00000000;0.00000000;11,573;7,036;-131,082;32,262;185.42400000
9.00000000;0.00000000;0.00000000;11,580;7,042;-131,086;32,258;208.09000000
10.00000000;0.00000000;0.00000000;11,585;7,048;-131,093;32,254;230.23600000
11.00000000;0.00000000;0.00000000;11,591;7,054;-131,100;32,252;251.58800000
12.00000000;0.00000000;0.00000000;11,597;7,059;-131,105;32,252;273.02700000
13.00000000;0.00000000;0.00000000;11,602;7,064;-131,106;32,252;296.21500000
14.00000000;0.00000000;0.00000000;11,607;7,069;-131,104;32,256;317.55900000
15.00000000;0.00000000;0.00000000;11,612;7,071;-131,101;32,257;338.78100000
16.00000000;0.00000000;0.00000000;11,615;7,074;-131,099;32,257;361.28400000
17.00000000;0.00000000;0.00000000;11,618;7,077;-131,098;32,253;382.78400000
18.00000000;0.00000000;0.00000000;11,620;7,080;-131,097;32,250;403.74300000
19.00000000;0.00000000;0.00000000;11,622;7,082;-131,097;32,247;424.54200000
20.00000000;0.00000000;0.00000000;11,624;7,085;-131,097;32,245;446.30800000
21.00000000;0.00000000;0.00000000;11,626;7,087;-131,097;32,245;467.83700000
22.00000000;0.00000000;0.00000000;11,627;7,088;-131,095;32,245;488.86300000
23.00000000;0.00000000;0.00000000;11,629;7,089;-131,092;32,245;511.10400000
24.00000000;0.00000000;0.00000000;11,629;7,090;-131,091;32,248;530.91300000
25.00000000;0.00000000;0.00000000;11,630;7,090;-131,090;32,249;551.95000000
26.00000000;0.00000000;0.00000000;11,630;7,090;-131,090;32,252;572.58500000
27.00000000;0.00000000;0.00000000;11,630;7,090;-131,093;32,257;594.28300000
28.00000000;0.00000000;0.00000000;11,627;7,088;-131,095;32,260;614.41200000
29.00000000;0.00000000;0.00000000;11,624;7,084;-131,097;32,264;635.19300000
30.00000000;0.00000000;0.00000000;11,619;7,080;-131,101;32,268;656.43500000
31.00000000;0.00000000;0.00000000;11,614;7,074;-131,105;32,270;678.75500000
32.00000000;0.00000000;0.00000000;11,607;7,067;-131,110;32,273;700.24800000
33.00000000;0.00000000;0.00000000;11,599;7,059;-131,115;32,274;721.92100000
34.00000000;0.00000000;0.00000000;11,590;7,052;-131,119;32,276;744.90700000
35.00000000;0.00000000;0.00000000;11,579;7,043;-131,122;32,276;767.15300000
36.00000000;0.00000000;0.00000000;11,567;7,031;-131,124;32,277;789.98000000
37.00000000;0.00000000;0.00000000;11,554;7,018;-131,125;32,278;813.03800000
38.00000000;0.00000000;0.00000000;11,542;7,004;-131,130;32,280;835.53000000
39.00000000;0.00000000;0.00000000;11,528;6,990;-131,138;32,282;857.91300000
40.00000000;0.00000000;0.00000000;11,514;6,977;-131,150;32,282;881.06500000
41.00000000;0.00000000;0.00000000;11,500;6,962;-131,165;32,278;902.79400000
42.00000000;0.00000000;0.00000000;11,487;6,950;-131,181;32,274;924.68600000
43.00000000;0.00000000;0.00000000;11,473;6,937;-131,199;32,269;947.52600000
44.00000000;0.00000000;0.00000000;11,462;6,926;-131,214;32,264;969.52300000
45.00000000;0.00000000;0.00000000;11,450;6,912;-131,231;32,256;991.60300000
46.00000000;0.00000000;0.00000000;11,439;6,900;-131,245;32,247;1,014.28200000
47.00000000;0.00000000;0.00000000;11,428;6,887;-131,260;32,235;1,035.97700000
48.00000000;0.00000000;0.00000000;11,418;6,876;-131,273;32,224;1,057.54300000
49.00000000;0.00000000;0.00000000;11,408;6,863;-131,289;32,213;1,080.53500000
50.00000000;0.00000000;0.00000000;11,399;6,854;-131,303;32,206;1,101.96300000
51.00000000;0.00000000;0.00000000;11,390;6,844;-131,318;32,201;1,123.73300000
52.00000000;0.00000000;0.00000000;11,380;6,834;-131,335;32,196;1,146.72100000
53.00000000;0.00000000;0.00000000;11,372;6,825;-131,349;32,191;1,168.74900000
54.00000000;0.00000000;0.00000000;11,364;6,816;-131,363;32,185;1,190.39300000
55.00000000;0.00000000;0.00000000;11,354;6,806;-131,373;32,180;1,213.02000000
56.00000000;0.00000000;0.00000000;11,347;6,799;-131,382;32,175;1,235.07000000
57.00000000;0.00000000;0.00000000;11,339;6,791;-131,392;32,171;1,257.18400000
58.00000000;0.00000000;0.00000000;11,331;6,783;-131,402;32,167;1,280.51300000
59.00000000;0.00000000;0.00000000;11,325;6,776;-131,410;32,162;1,302.69400000
60.00000000;0.00000000;0.00000000;11,319;6,768;-131,421;32,155;1,324.43000000
61.00000000;0.00000000;0.00000000;11,313;6,761;-131,431;32,147;1,346.78900000
62.00000000;0.00000000;0.00000000;11,307;6,754;-131,443;32,139;1,368.32000000
63.00000000;0.00000000;0.00000000;11,301;6,748;-131,455;32,131;1,389.70300000
64.00000000;0.00000000;0.00000000;11,295;6,741;-131,469;32,123;1,412.01300000
65.00000000;0.00000000;0.00000000;11,290;6,736;-131,483;32,118;1,433.24100000
66.00000000;0.00000000;0.00000000;11,286;6,731;-131,496;32,115;1,454.27800000
67.00000000;0.00000000;0.00000000;11,282;6,726;-131,508;32,113;1,474.52200000
68.00000000;0.00000000;0.00000000;11,277;6,723;-131,517;32,111;1,496.93100000
69.00000000;0.00000000;0.00000000;11,273;6,719;-131,521;32,111;1,518.44700000
70.00000000;0.00000000;0.00000000;11,270;6,714;-131,524;32,111;1,539.66200000
71.00000000;0.00000000;0.00000000;11,267;6,709;-131,529;32,111;1,562.26900000
72.00000000;0.00000000;0.00000000;11,263;6,706;-131,537;32,110;1,584.23500000
73.00000000;0.00000000;0.00000000;11,260;6,703;-131,548;32,105;1,605.72200000
74.00000000;0.00000000;0.00000000;11,257;6,700;-131,561;32,099;1,628.12800000
75.00000000;0.00000000;0.00000000;11,253;6,698;-131,572;32,093;1,648.91000000
76.00000000;0.00000000;0.00000000;11,252;6,696;-131,584;32,087;1,669.84700000
77.00000000;0.00000000;0.00000000;11,249;6,694;-131,592;32,081;1,691.84700000
78.00000000;0.00000000;0.00000000;11,246;6,691;-131,599;32,072;1,714.39700000
79.00000000;0.00000000;0.00000000;11,243;6,688;-131,605;32,065;1,735.78900000
80.00000000;0.00000000;0.00000000;11,240;6,684;-131,611;32,058;1,757.07700000
81.00000000;0.00000000;0.00000000;11,238;6,680;-131,616;32,050;1,779.87900000
82.00000000;0.00000000;0.00000000;11,234;6,677;-131,621;32,045;1,801.28900000
83.00000000;0.00000000;0.00000000;11,231;6,673;-131,628;32,039;1,822.90400000
84.00000000;0.00000000;0.00000000;11,227;6,671;-131,634;32,034;1,845.60000000
