counter;event;
start;4/7/2022 11:52:37 AM;
1;antfreeze_off;
55;rot_gain_set_to_-1;
126;view_cleared;
4198;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
4278;rot_gain_set_to_0;
4334;movedto_0;0
4334;rotatedto_255degs;
4755;view_cleared;
8820;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
9002;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
13449;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
13514;rot_gain_set_to_1;
13689;view_cleared;
18191;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
18257;rot_gain_set_to_5;
18838;view_cleared;
22905;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
22991;rot_gain_set_to_3;
23590;view_cleared;
28317;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
28411;SUCCESS;
end;4/7/2022 12:03:10 PM;
