counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;-21,703;-24,411;38,568;15,838;2.56600000
1.00000000;0.00000000;0.00000000;-21,718;-24,424;38,580;15,842;28.06200000
2.00000000;0.00000000;0.00000000;-21,731;-24,436;38,591;15,846;49.93100000
3.00000000;0.00000000;0.00000000;-21,744;-24,448;38,604;15,851;72.70800000
4.00000000;0.00000000;0.00000000;-21,758;-24,460;38,616;15,856;94.77400000
5.00000000;0.00000000;0.00000000;-21,773;-24,473;38,627;15,861;116.75600000
6.00000000;0.00000000;0.00000000;-21,787;-24,486;38,640;15,866;139.50100000
7.00000000;0.00000000;0.00000000;-21,793;-24,499;38,648;15,873;161.80600000
8.00000000;0.00000000;0.00000000;-21,792;-24,512;38,647;15,880;183.64700000
9.00000000;0.00000000;0.00000000;-21,793;-24,525;38,650;15,886;206.13100000
10.00000000;0.00000000;0.00000000;-21,794;-24,537;38,652;15,893;227.83400000
11.00000000;0.00000000;0.00000000;-21,797;-24,549;38,653;15,900;249.54600000
12.00000000;0.00000000;0.00000000;-21,798;-24,563;38,663;15,909;272.60000000
13.00000000;0.00000000;0.00000000;-21,811;-24,574;38,672;15,915;294.08200000
14.00000000;0.00000000;0.00000000;-21,826;-24,588;38,684;15,922;316.84600000
15.00000000;0.00000000;0.00000000;-21,840;-24,600;38,696;15,929;339.89700000
16.00000000;0.00000000;0.00000000;-21,853;-24,613;38,705;15,936;361.27000000
17.00000000;0.00000000;0.00000000;-21,860;-24,624;38,717;15,942;382.67000000
18.00000000;0.00000000;0.00000000;-21,873;-24,635;38,728;15,948;405.05300000
19.00000000;0.00000000;0.00000000;-21,883;-24,644;38,736;15,953;426.39300000
20.00000000;0.00000000;0.00000000;-21,897;-24,655;38,745;15,958;448.00600000
21.00000000;0.00000000;0.00000000;-21,910;-24,667;38,753;15,962;470.34200000
22.00000000;0.00000000;0.00000000;-21,921;-24,680;38,761;15,966;492.14700000
23.00000000;0.00000000;0.00000000;-21,931;-24,692;38,765;15,971;514.76700000
24.00000000;0.00000000;0.00000000;-21,943;-24,704;38,775;15,975;537.79100000
25.00000000;0.00000000;0.00000000;-21,954;-24,715;38,787;15,981;559.91300000
26.00000000;0.00000000;0.00000000;-21,966;-24,726;38,797;15,987;582.10600000
27.00000000;0.00000000;0.00000000;-21,974;-24,736;38,800;15,994;605.49800000
28.00000000;0.00000000;0.00000000;-21,985;-24,747;38,807;16,001;627.59700000
29.00000000;0.00000000;0.00000000;-21,990;-24,760;38,811;16,009;649.88100000
30.00000000;0.00000000;0.00000000;-22,001;-24,771;38,817;16,015;673.05500000
31.00000000;0.00000000;0.00000000;-22,012;-24,781;38,832;16,022;695.61100000
32.00000000;0.00000000;0.00000000;-22,021;-24,792;38,838;16,029;717.53300000
33.00000000;0.00000000;0.00000000;-22,030;-24,802;38,850;16,037;740.01200000
34.00000000;0.00000000;0.00000000;-22,039;-24,811;38,864;16,042;761.90800000
35.00000000;0.00000000;0.00000000;-22,049;-24,820;38,877;16,047;783.91500000
36.00000000;0.00000000;0.00000000;-22,059;-24,831;38,891;16,051;806.69800000
37.00000000;0.00000000;0.00000000;-22,069;-24,839;38,904;16,053;828.70100000
38.00000000;0.00000000;0.00000000;-22,079;-24,849;38,915;16,057;850.56100000
39.00000000;0.00000000;0.00000000;-22,090;-24,859;38,922;16,060;873.46000000
40.00000000;0.00000000;0.00000000;-22,100;-24,868;38,925;16,064;895.28000000
41.00000000;0.00000000;0.00000000;-22,110;-24,878;38,926;16,066;917.52700000
42.00000000;0.00000000;0.00000000;-22,120;-24,887;38,926;16,068;940.36500000
43.00000000;0.00000000;0.00000000;-22,131;-24,897;38,924;16,069;961.89800000
44.00000000;0.00000000;0.00000000;-22,141;-24,905;38,924;16,070;983.92900000
45.00000000;0.00000000;0.00000000;-22,152;-24,913;38,927;16,073;1,006.81600000
46.00000000;0.00000000;0.00000000;-22,162;-24,923;38,930;16,074;1,028.65300000
47.00000000;0.00000000;0.00000000;-22,170;-24,932;38,932;16,077;1,050.74100000
48.00000000;0.00000000;0.00000000;-22,179;-24,942;38,935;16,080;1,074.62000000
49.00000000;0.00000000;0.00000000;-22,187;-24,950;38,935;16,083;1,095.56100000
