counter;event
start;11/8/2022 4:28:16 PM
1;antfreeze_off
141;view_cleared
4,578;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,664;mode_ergefg_activated
4,671;display_1bar_white
4,995;view_cleared
9,868;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
10,330;mode_#5_activated
10,336;display_projection-horizontale(1)
10,812;view_cleared
14,182;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
14,335;mode_#4_activated
14,339;display_4bars
14,657;view_cleared
18,438;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,506;mode_#5_activated
18,512;display_8bars
18,875;view_cleared
22,926;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
23,043;mode_#3_activated
23,047;display_1bar
23,392;view_cleared
27,416;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,484;SUCCESS
end;11/8/2022 4:38:29 PM
