counter;event
start;11/8/2022 5:08:21 PM
1;antfreeze_off
36;mode_#4_activated
41;display_4bars
153;view_cleared
4,455;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,524;mode_#3_activated
4,528;display_1bar
4,942;view_cleared
9,065;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,267;mode_ergefg_activated
9,271;display_1bar_white
9,449;view_cleared
13,513;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,585;mode_#5_activated
13,590;display_8bars
13,959;view_cleared
18,034;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,171;display_black
18,437;view_cleared
22,539;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,634;display_projection-horizontale(1)
22,691;view_cleared
27,309;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,368;SUCCESS
end;11/8/2022 5:18:30 PM
