counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;3,480;-2,246;320,468;7,325;0.01500000
1.00000000;0.00000000;0.00000000;3,482;-2,243;320,473;7,330;28.67100000
2.00000000;0.00000000;0.00000000;3,484;-2,242;320,478;7,333;51.01200000
3.00000000;0.00000000;0.00000000;3,486;-2,240;320,483;7,337;73.06000000
4.00000000;0.00000000;0.00000000;3,488;-2,238;320,487;7,342;94.73100000
5.00000000;0.00000000;0.00000000;3,490;-2,236;320,492;7,346;117.63000000
6.00000000;0.00000000;0.00000000;3,492;-2,234;320,497;7,351;139.40900000
7.00000000;0.00000000;0.00000000;3,493;-2,232;320,500;7,356;160.63500000
8.00000000;0.00000000;0.00000000;3,495;-2,230;320,505;7,361;182.95400000
9.00000000;0.00000000;0.00000000;3,497;-2,228;320,510;7,365;204.08800000
10.00000000;0.00000000;0.00000000;3,499;-2,227;320,515;7,369;225.61700000
11.00000000;0.00000000;0.00000000;3,500;-2,225;320,519;7,372;247.73900000
12.00000000;0.00000000;0.00000000;3,502;-2,223;320,524;7,377;267.53200000
13.00000000;0.00000000;0.00000000;3,503;-2,221;320,528;7,380;288.56700000
14.00000000;0.00000000;0.00000000;3,505;-2,220;320,531;7,385;309.87200000
15.00000000;0.00000000;0.00000000;3,508;-2,218;320,536;7,388;332.26300000
16.00000000;0.00000000;0.00000000;3,510;-2,217;320,540;7,392;353.57900000
17.00000000;0.00000000;0.00000000;3,511;-2,216;320,545;7,396;374.56300000
18.00000000;0.00000000;0.00000000;3,512;-2,214;320,547;7,399;395.06100000
19.00000000;0.00000000;0.00000000;3,513;-2,214;320,550;7,402;417.45100000
20.00000000;0.00000000;0.00000000;3,515;-2,212;320,553;7,406;438.42300000
21.00000000;0.00000000;0.00000000;3,516;-2,211;320,556;7,410;459.77700000
22.00000000;0.00000000;0.00000000;3,518;-2,210;320,558;7,414;481.59400000
23.00000000;0.00000000;0.00000000;3,519;-2,209;320,560;7,417;501.59900000
24.00000000;0.00000000;0.00000000;3,521;-2,208;320,562;7,420;523.19100000
25.00000000;0.00000000;0.00000000;3,523;-2,205;320,565;7,423;544.43800000
26.00000000;0.00000000;0.00000000;3,526;-2,201;320,568;7,425;566.04300000
27.00000000;0.00000000;0.00000000;3,529;-2,199;320,571;7,427;587.23100000
28.00000000;0.00000000;0.00000000;3,532;-2,195;320,573;7,429;611.01900000
29.00000000;0.00000000;0.00000000;3,536;-2,192;320,575;7,429;632.88900000
30.00000000;0.00000000;0.00000000;3,540;-2,187;320,576;7,431;654.34300000
31.00000000;0.00000000;0.00000000;3,544;-2,184;320,576;7,431;676.05800000
32.00000000;0.00000000;0.00000000;3,550;-2,179;320,576;7,434;698.52600000
33.00000000;0.00000000;0.00000000;3,556;-2,174;320,574;7,435;720.03900000
34.00000000;0.00000000;0.00000000;3,563;-2,168;320,574;7,437;741.49300000
35.00000000;0.00000000;0.00000000;3,569;-2,162;320,573;7,437;762.78700000
36.00000000;0.00000000;0.00000000;3,575;-2,153;320,573;7,437;785.11500000
37.00000000;0.00000000;0.00000000;3,584;-2,146;320,573;7,437;807.09000000
38.00000000;0.00000000;0.00000000;3,590;-2,139;320,573;7,437;829.00200000
39.00000000;0.00000000;0.00000000;3,599;-2,129;320,573;7,435;851.63600000
40.00000000;0.00000000;0.00000000;3,607;-2,123;320,575;7,433;873.51600000
41.00000000;0.00000000;0.00000000;3,615;-2,114;320,576;7,432;895.44700000
