counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;-1,821;-1,801;960;-237;2.56500000
1.00000000;0.00000000;0.00000000;-1,827;-1,812;965;-241;27.92500000
2.00000000;0.00000000;0.00000000;-1,828;-1,820;971;-244;50.29400000
3.00000000;0.00000000;0.00000000;-1,837;-1,825;976;-245;71.90200000
4.00000000;0.00000000;0.00000000;-1,845;-1,834;983;-249;94.79000000
5.00000000;0.00000000;0.00000000;-1,853;-1,842;988;-253;116.73200000
6.00000000;0.00000000;0.00000000;-1,862;-1,850;995;-255;138.83000000
7.00000000;0.00000000;0.00000000;-1,865;-1,854;993;-256;161.22800000
8.00000000;0.00000000;0.00000000;-1,869;-1,861;992;-254;183.49700000
9.00000000;0.00000000;0.00000000;-1,869;-1,868;994;-252;205.35000000
10.00000000;0.00000000;0.00000000;-1,876;-1,876;995;-249;228.07300000
11.00000000;0.00000000;0.00000000;-1,884;-1,883;995;-248;249.85100000
12.00000000;0.00000000;0.00000000;-1,891;-1,892;992;-248;271.90700000
13.00000000;0.00000000;0.00000000;-1,902;-1,899;991;-251;296.54300000
14.00000000;0.00000000;0.00000000;-1,912;-1,911;990;-256;321.92100000
15.00000000;0.00000000;0.00000000;-1,922;-1,918;989;-259;344.20200000
16.00000000;0.00000000;0.00000000;-1,930;-1,925;989;-261;366.02900000
17.00000000;0.00000000;0.00000000;-1,939;-1,934;989;-263;388.96200000
18.00000000;0.00000000;0.00000000;-1,950;-1,944;988;-263;411.48400000
19.00000000;0.00000000;0.00000000;-1,958;-1,952;988;-263;432.99900000
20.00000000;0.00000000;0.00000000;-1,966;-1,960;987;-264;454.25900000
21.00000000;0.00000000;0.00000000;-1,976;-1,969;987;-267;476.55300000
22.00000000;0.00000000;0.00000000;-1,984;-1,971;991;-267;497.72500000
23.00000000;0.00000000;0.00000000;-1,993;-1,979;994;-267;519.15600000
24.00000000;0.00000000;0.00000000;-2,001;-1,988;997;-268;540.28400000
25.00000000;0.00000000;0.00000000;-2,006;-1,991;1,001;-265;561.51600000
26.00000000;0.00000000;0.00000000;-2,014;-1,999;1,010;-270;582.86400000
27.00000000;0.00000000;0.00000000;-2,022;-2,005;1,019;-273;604.37500000
28.00000000;0.00000000;0.00000000;-2,029;-2,013;1,033;-275;626.88500000
29.00000000;0.00000000;0.00000000;-2,035;-2,017;1,047;-275;648.94300000
30.00000000;0.00000000;0.00000000;-2,040;-2,022;1,056;-276;670.76200000
31.00000000;0.00000000;0.00000000;-2,047;-2,026;1,067;-276;693.76900000
32.00000000;0.00000000;0.00000000;-2,052;-2,031;1,075;-276;716.25300000
33.00000000;0.00000000;0.00000000;-2,058;-2,036;1,084;-277;739.80900000
34.00000000;0.00000000;0.00000000;-2,063;-2,042;1,092;-277;762.40800000
35.00000000;0.00000000;0.00000000;-2,068;-2,046;1,102;-279;784.55200000
36.00000000;0.00000000;0.00000000;-2,073;-2,052;1,111;-280;805.88500000
37.00000000;0.00000000;0.00000000;-2,078;-2,056;1,119;-281;828.92800000
38.00000000;0.00000000;0.00000000;-2,082;-2,061;1,127;-279;850.62300000
39.00000000;0.00000000;0.00000000;-2,086;-2,064;1,136;-275;872.77900000
40.00000000;0.00000000;0.00000000;-2,089;-2,067;1,147;-270;895.66300000
41.00000000;0.00000000;0.00000000;-2,093;-2,069;1,159;-267;917.85400000
42.00000000;0.00000000;0.00000000;-2,097;-2,071;1,170;-266;939.79300000
43.00000000;0.00000000;0.00000000;-2,096;-2,074;1,179;-266;961.84600000
44.00000000;0.00000000;0.00000000;-2,099;-2,074;1,190;-266;983.22800000
45.00000000;0.00000000;0.00000000;-2,101;-2,075;1,202;-266;1,004.72600000
46.00000000;0.00000000;0.00000000;-2,103;-2,076;1,217;-266;1,027.07400000
47.00000000;0.00000000;0.00000000;-2,106;-2,078;1,219;-268;1,048.55900000
48.00000000;0.00000000;0.00000000;-2,108;-2,079;1,235;-268;1,070.10600000
49.00000000;0.00000000;0.00000000;-2,109;-2,081;1,248;-272;1,092.27000000
50.00000000;0.00000000;0.00000000;-2,112;-2,082;1,261;-275;1,112.79000000
51.00000000;0.00000000;0.00000000;-2,116;-2,082;1,272;-277;1,134.00500000
52.00000000;0.00000000;0.00000000;-2,118;-2,084;1,284;-280;1,155.49600000
53.00000000;0.00000000;0.00000000;-2,120;-2,085;1,296;-282;1,177.64900000
54.00000000;0.00000000;0.00000000;-2,122;-2,086;1,308;-283;1,199.11300000
55.00000000;0.00000000;0.00000000;-2,124;-2,086;1,319;-283;1,220.22900000
56.00000000;0.00000000;0.00000000;-2,127;-2,087;1,330;-283;1,242.03500000
57.00000000;0.00000000;0.00000000;-2,123;-2,088;1,335;-280;1,262.49100000
58.00000000;0.00000000;0.00000000;-2,123;-2,088;1,340;-277;1,283.71900000
59.00000000;0.00000000;0.00000000;-2,123;-2,088;1,345;-273;1,304.90800000
60.00000000;0.00000000;0.00000000;-2,123;-2,086;1,352;-269;1,327.22500000
61.00000000;0.00000000;0.00000000;-2,121;-2,084;1,360;-266;1,349.13500000
62.00000000;0.00000000;0.00000000;-2,119;-2,082;1,369;-263;1,371.11600000
63.00000000;0.00000000;0.00000000;-2,116;-2,079;1,379;-260;1,394.64800000
64.00000000;0.00000000;0.00000000;-2,114;-2,076;1,386;-260;1,416.59100000
65.00000000;0.00000000;0.00000000;-2,111;-2,073;1,392;-259;1,438.74500000
66.00000000;0.00000000;0.00000000;-2,107;-2,070;1,399;-259;1,462.25500000
67.00000000;0.00000000;0.00000000;-2,104;-2,065;1,405;-259;1,484.49600000
68.00000000;0.00000000;0.00000000;-2,101;-2,062;1,413;-259;1,506.44900000
69.00000000;0.00000000;0.00000000;-2,096;-2,058;1,421;-258;1,529.43400000
70.00000000;0.00000000;0.00000000;-2,092;-2,054;1,430;-256;1,551.23500000
71.00000000;0.00000000;0.00000000;-2,086;-2,049;1,441;-255;1,573.18300000
72.00000000;0.00000000;0.00000000;-2,080;-2,042;1,453;-255;1,596.41300000
73.00000000;0.00000000;0.00000000;-2,074;-2,035;1,462;-255;1,618.13500000
74.00000000;0.00000000;0.00000000;-2,068;-2,028;1,473;-255;1,640.31400000
75.00000000;0.00000000;0.00000000;-2,061;-2,021;1,484;-258;1,663.12000000
76.00000000;0.00000000;0.00000000;-2,054;-2,015;1,496;-260;1,686.70100000
77.00000000;0.00000000;0.00000000;-2,048;-2,008;1,508;-260;1,709.68500000
78.00000000;0.00000000;0.00000000;-2,044;-2,003;1,516;-261;1,731.28400000
79.00000000;0.00000000;0.00000000;-2,038;-1,997;1,525;-262;1,752.00200000
80.00000000;0.00000000;0.00000000;-2,034;-1,992;1,533;-264;1,773.26000000
81.00000000;0.00000000;0.00000000;-2,029;-1,987;1,538;-266;1,795.50400000
82.00000000;0.00000000;0.00000000;-2,025;-1,982;1,544;-268;1,816.89400000
83.00000000;0.00000000;0.00000000;-2,020;-1,976;1,546;-268;1,838.21600000
84.00000000;0.00000000;0.00000000;-2,016;-1,971;1,548;-268;1,860.43400000
85.00000000;0.00000000;0.00000000;-2,011;-1,968;1,548;-268;1,881.57700000
86.00000000;0.00000000;0.00000000;-2,008;-1,964;1,548;-268;1,902.04700000
87.00000000;0.00000000;0.00000000;-2,004;-1,961;1,546;-268;1,922.76700000
88.00000000;0.00000000;0.00000000;-2,000;-1,958;1,544;-269;1,944.56700000
89.00000000;0.00000000;0.00000000;-1,997;-1,954;1,543;-270;1,965.69900000
90.00000000;0.00000000;0.00000000;-1,994;-1,953;1,543;-270;1,986.75100000
91.00000000;0.00000000;0.00000000;-1,990;-1,950;1,543;-271;2,012.89400000
92.00000000;0.00000000;0.00000000;-1,988;-1,947;1,545;-271;2,033.79400000
93.00000000;0.00000000;0.00000000;-1,985;-1,945;1,545;-271;2,054.36100000
94.00000000;0.00000000;0.00000000;-1,983;-1,944;1,545;-271;2,075.65900000
95.00000000;0.00000000;0.00000000;-1,982;-1,943;1,545;-271;2,096.09200000
96.00000000;0.00000000;0.00000000;-1,980;-1,941;1,545;-272;2,117.14400000
97.00000000;0.00000000;0.00000000;-1,979;-1,940;1,548;-272;2,137.86600000
98.00000000;0.00000000;0.00000000;-1,977;-1,937;1,552;-272;2,158.36800000
99.00000000;0.00000000;0.00000000;-1,974;-1,935;1,559;-270;2,184.13700000
100.00000000;0.00000000;0.00000000;-1,972;-1,934;1,566;-269;2,204.35500000
101.00000000;0.00000000;0.00000000;-1,970;-1,932;1,572;-268;2,225.55400000
102.00000000;0.00000000;0.00000000;-1,968;-1,929;1,579;-268;2,246.23400000
103.00000000;0.00000000;0.00000000;-1,965;-1,926;1,586;-268;2,266.59600000
104.00000000;0.00000000;0.00000000;-1,963;-1,921;1,595;-268;2,287.32700000
105.00000000;0.00000000;0.00000000;-1,960;-1,918;1,605;-268;2,307.22800000
106.00000000;0.00000000;0.00000000;-1,957;-1,915;1,616;-271;2,329.39100000
107.00000000;0.00000000;0.00000000;-1,955;-1,912;1,624;-273;2,350.25000000
108.00000000;0.00000000;0.00000000;-1,952;-1,909;1,631;-277;2,370.67400000
109.00000000;0.00000000;0.00000000;-1,949;-1,906;1,641;-282;2,396.68100000
110.00000000;0.00000000;0.00000000;-1,946;-1,904;1,648;-287;2,417.05100000
111.00000000;0.00000000;0.00000000;-1,944;-1,900;1,658;-289;2,438.18500000
112.00000000;0.00000000;0.00000000;-1,942;-1,897;1,668;-292;2,459.37400000
113.00000000;0.00000000;0.00000000;-1,938;-1,894;1,680;-295;2,479.79100000
114.00000000;0.00000000;0.00000000;-1,935;-1,891;1,691;-299;2,501.33300000
115.00000000;0.00000000;0.00000000;-1,933;-1,889;1,701;-302;2,522.81800000
116.00000000;0.00000000;0.00000000;-1,931;-1,886;1,713;-308;2,544.65500000
117.00000000;0.00000000;0.00000000;-1,928;-1,886;1,724;-308;2,565.55900000
