counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;52,741;55,072;146,089;-57,594;0.01700000
1.00000000;0.00000000;0.00000000;52,735;55,068;146,091;-57,595;27.99700000
2.00000000;0.00000000;0.00000000;52,732;55,065;146,093;-57,591;50.17900000
3.00000000;0.00000000;0.00000000;52,729;55,063;146,094;-57,587;72.30500000
4.00000000;0.00000000;0.00000000;52,726;55,059;146,095;-57,586;95.06100000
5.00000000;0.00000000;0.00000000;52,721;55,053;146,095;-57,586;117.80600000
6.00000000;0.00000000;0.00000000;52,716;55,047;146,092;-57,591;140.46500000
7.00000000;0.00000000;0.00000000;52,711;55,043;146,091;-57,596;163.18800000
8.00000000;0.00000000;0.00000000;52,706;55,037;146,091;-57,601;185.55600000
9.00000000;0.00000000;0.00000000;52,700;55,031;146,096;-57,604;207.95200000
10.00000000;0.00000000;0.00000000;52,695;55,026;146,101;-57,607;230.30800000
11.00000000;0.00000000;0.00000000;52,697;55,022;146,104;-57,610;251.80800000
12.00000000;0.00000000;0.00000000;52,699;55,016;146,107;-57,615;273.34600000
13.00000000;0.00000000;0.00000000;52,693;55,010;146,112;-57,621;296.44200000
14.00000000;0.00000000;0.00000000;52,686;55,005;146,113;-57,623;318.30900000
15.00000000;0.00000000;0.00000000;52,682;55,001;146,113;-57,623;339.84400000
16.00000000;0.00000000;0.00000000;52,679;54,998;146,111;-57,617;362.63600000
17.00000000;0.00000000;0.00000000;52,677;54,995;146,109;-57,613;384.79400000
18.00000000;0.00000000;0.00000000;52,674;54,992;146,109;-57,612;406.40700000
19.00000000;0.00000000;0.00000000;52,670;54,988;146,112;-57,615;428.53800000
20.00000000;0.00000000;0.00000000;52,666;54,985;146,115;-57,619;450.72600000
21.00000000;0.00000000;0.00000000;52,663;54,982;146,116;-57,620;472.16200000
22.00000000;0.00000000;0.00000000;52,662;54,980;146,117;-57,620;494.59800000
23.00000000;0.00000000;0.00000000;52,661;54,979;146,115;-57,617;515.44200000
24.00000000;0.00000000;0.00000000;52,661;54,979;146,115;-57,616;535.35400000
25.00000000;0.00000000;0.00000000;52,660;54,979;146,114;-57,615;556.49600000
26.00000000;0.00000000;0.00000000;52,660;54,979;146,117;-57,615;578.54600000
27.00000000;0.00000000;0.00000000;52,660;54,979;146,119;-57,615;599.69500000
28.00000000;0.00000000;0.00000000;52,662;54,981;146,124;-57,617;620.62400000
29.00000000;0.00000000;0.00000000;52,666;54,984;146,128;-57,617;641.72800000
30.00000000;0.00000000;0.00000000;52,669;54,988;146,132;-57,618;663.94700000
31.00000000;0.00000000;0.00000000;52,674;54,993;146,138;-57,621;685.61500000
32.00000000;0.00000000;0.00000000;52,679;54,998;146,143;-57,624;707.19300000
33.00000000;0.00000000;0.00000000;52,685;55,005;146,150;-57,628;729.97500000
34.00000000;0.00000000;0.00000000;52,691;55,011;146,156;-57,632;751.82200000
35.00000000;0.00000000;0.00000000;52,698;55,018;146,162;-57,638;774.16600000
36.00000000;0.00000000;0.00000000;52,706;55,025;146,167;-57,641;797.71100000
37.00000000;0.00000000;0.00000000;52,713;55,033;146,170;-57,642;820.08400000
38.00000000;0.00000000;0.00000000;52,721;55,042;146,174;-57,643;842.12800000
39.00000000;0.00000000;0.00000000;52,730;55,051;146,179;-57,647;864.76300000
40.00000000;0.00000000;0.00000000;52,738;55,059;146,185;-57,653;886.58700000
41.00000000;0.00000000;0.00000000;52,745;55,066;146,189;-57,661;908.36900000
42.00000000;0.00000000;0.00000000;52,752;55,074;146,196;-57,670;931.12100000
43.00000000;0.00000000;0.00000000;52,760;55,081;146,202;-57,680;953.12600000
44.00000000;0.00000000;0.00000000;52,768;55,088;146,207;-57,689;975.13000000
45.00000000;0.00000000;0.00000000;52,775;55,096;146,213;-57,698;997.74100000
46.00000000;0.00000000;0.00000000;52,781;55,103;146,217;-57,704;1,019.92600000
47.00000000;0.00000000;0.00000000;52,790;55,111;146,222;-57,709;1,041.87900000
48.00000000;0.00000000;0.00000000;52,796;55,117;146,227;-57,711;1,064.49300000
49.00000000;0.00000000;0.00000000;52,803;55,125;146,232;-57,712;1,086.50800000
50.00000000;0.00000000;0.00000000;52,810;55,131;146,237;-57,716;1,108.61600000
51.00000000;0.00000000;0.00000000;52,816;55,137;146,241;-57,722;1,131.41200000
52.00000000;0.00000000;0.00000000;52,821;55,143;146,244;-57,730;1,153.76900000
53.00000000;0.00000000;0.00000000;52,827;55,150;146,248;-57,740;1,178.67800000
54.00000000;0.00000000;0.00000000;52,833;55,155;146,253;-57,749;1,200.44600000
55.00000000;0.00000000;0.00000000;52,838;55,159;146,259;-57,758;1,222.38000000
56.00000000;0.00000000;0.00000000;52,843;55,165;146,265;-57,767;1,244.89900000
57.00000000;0.00000000;0.00000000;52,849;55,170;146,270;-57,773;1,267.37300000
58.00000000;0.00000000;0.00000000;52,854;55,175;146,275;-57,774;1,289.20800000
59.00000000;0.00000000;0.00000000;52,860;55,178;146,281;-57,774;1,311.37400000
60.00000000;0.00000000;0.00000000;52,867;55,182;146,287;-57,774;1,332.02500000
61.00000000;0.00000000;0.00000000;52,872;55,187;146,291;-57,774;1,353.50500000
62.00000000;0.00000000;0.00000000;52,877;55,191;146,296;-57,777;1,375.29100000
63.00000000;0.00000000;0.00000000;52,881;55,194;146,298;-57,784;1,398.05600000
64.00000000;0.00000000;0.00000000;52,885;55,199;146,300;-57,795;1,422.38600000
65.00000000;0.00000000;0.00000000;52,889;55,203;146,303;-57,806;1,448.78500000
66.00000000;0.00000000;0.00000000;52,893;55,208;146,307;-57,814;1,470.52900000
67.00000000;0.00000000;0.00000000;52,898;55,212;146,313;-57,819;1,491.75700000
68.00000000;0.00000000;0.00000000;52,903;55,217;146,319;-57,822;1,514.64000000
69.00000000;0.00000000;0.00000000;52,906;55,221;146,324;-57,823;1,536.50900000
70.00000000;0.00000000;0.00000000;52,910;55,225;146,328;-57,823;1,558.03500000
71.00000000;0.00000000;0.00000000;52,914;55,229;146,330;-57,826;1,580.11400000
72.00000000;0.00000000;0.00000000;52,917;55,232;146,331;-57,830;1,600.74000000
73.00000000;0.00000000;0.00000000;52,920;55,234;146,333;-57,835;1,621.38700000
74.00000000;0.00000000;0.00000000;52,922;55,237;146,335;-57,842;1,646.93800000
75.00000000;0.00000000;0.00000000;52,923;55,238;146,337;-57,847;1,668.05600000
76.00000000;0.00000000;0.00000000;52,925;55,240;146,339;-57,852;1,689.08600000
77.00000000;0.00000000;0.00000000;52,926;55,242;146,339;-57,855;1,709.07300000
78.00000000;0.00000000;0.00000000;52,928;55,243;146,340;-57,858;1,730.64300000
79.00000000;0.00000000;0.00000000;52,929;55,243;146,342;-57,859;1,751.83600000
80.00000000;0.00000000;0.00000000;52,929;55,244;146,343;-57,859;1,773.08900000
81.00000000;0.00000000;0.00000000;52,930;55,244;146,345;-57,859;1,795.00900000
82.00000000;0.00000000;0.00000000;52,930;55,244;146,346;-57,862;1,815.25100000
83.00000000;0.00000000;0.00000000;52,930;55,244;146,349;-57,864;1,836.03300000
84.00000000;0.00000000;0.00000000;52,930;55,244;146,351;-57,867;1,858.81300000
85.00000000;0.00000000;0.00000000;52,930;55,244;146,353;-57,869;1,880.38600000
86.00000000;0.00000000;0.00000000;52,930;55,244;146,355;-57,872;1,901.32600000
87.00000000;0.00000000;0.00000000;52,931;55,245;146,357;-57,876;1,922.56800000
88.00000000;0.00000000;0.00000000;52,931;55,245;146,362;-57,882;1,943.24300000
89.00000000;0.00000000;0.00000000;52,932;55,245;146,369;-57,890;1,964.23700000
90.00000000;0.00000000;0.00000000;52,933;55,245;146,374;-57,897;1,984.91800000
91.00000000;0.00000000;0.00000000;52,933;55,246;146,382;-57,902;2,005.85400000
92.00000000;0.00000000;0.00000000;52,933;55,247;146,386;-57,903;2,026.05700000
93.00000000;0.00000000;0.00000000;52,935;55,249;146,391;-57,903;2,047.85100000
94.00000000;0.00000000;0.00000000;52,938;55,250;146,395;-57,903;2,068.94600000
95.00000000;0.00000000;0.00000000;52,940;55,252;146,399;-57,908;2,090.65200000
96.00000000;0.00000000;0.00000000;52,942;55,254;146,404;-57,914;2,112.64800000
97.00000000;0.00000000;0.00000000;52,943;55,255;146,409;-57,921;2,133.80200000
98.00000000;0.00000000;0.00000000;52,944;55,257;146,414;-57,929;2,154.56100000
99.00000000;0.00000000;0.00000000;52,946;55,260;146,420;-57,938;2,175.82700000
100.00000000;0.00000000;0.00000000;52,949;55,262;146,428;-57,946;2,198.04900000
101.00000000;0.00000000;0.00000000;52,951;55,265;146,435;-57,955;2,219.98000000
102.00000000;0.00000000;0.00000000;52,953;55,268;146,441;-57,959;2,241.65900000
103.00000000;0.00000000;0.00000000;52,956;55,270;146,447;-57,960;2,263.66400000
104.00000000;0.00000000;0.00000000;52,960;55,273;146,449;-57,956;2,285.19700000
105.00000000;0.00000000;0.00000000;52,963;55,275;146,451;-57,954;2,305.89200000
106.00000000;0.00000000;0.00000000;52,964;55,277;146,451;-57,956;2,326.14700000
107.00000000;0.00000000;0.00000000;52,965;55,278;146,452;-57,961;2,347.87400000
108.00000000;0.00000000;0.00000000;52,965;55,279;146,454;-57,969;2,368.70000000
109.00000000;0.00000000;0.00000000;52,966;55,279;146,456;-57,978;2,390.10700000
110.00000000;0.00000000;0.00000000;52,966;55,279;146,460;-57,987;2,410.63200000
111.00000000;0.00000000;0.00000000;52,966;55,279;146,462;-57,994;2,436.45900000
112.00000000;0.00000000;0.00000000;52,966;55,277;146,463;-57,997;2,458.03400000
113.00000000;0.00000000;0.00000000;52,964;55,277;146,465;-57,999;2,481.52900000
114.00000000;0.00000000;0.00000000;52,963;55,275;146,466;-57,999;2,502.76400000
115.00000000;0.00000000;0.00000000;52,961;55,272;146,466;-58,001;2,524.10800000
116.00000000;0.00000000;0.00000000;52,958;55,269;146,466;-58,004;2,546.79500000
117.00000000;0.00000000;0.00000000;52,955;55,265;146,467;-58,008;2,568.46100000
118.00000000;0.00000000;0.00000000;52,950;55,260;146,468;-58,013;2,589.79100000
119.00000000;0.00000000;0.00000000;52,945;55,253;146,468;-58,017;2,612.87100000
120.00000000;0.00000000;0.00000000;52,939;55,247;146,468;-58,020;2,636.79300000
121.00000000;0.00000000;0.00000000;52,934;55,240;146,465;-58,023;2,658.83600000
122.00000000;0.00000000;0.00000000;52,928;55,233;146,464;-58,028;2,680.79300000
123.00000000;0.00000000;0.00000000;52,923;55,228;146,464;-58,032;2,702.05300000
124.00000000;0.00000000;0.00000000;52,915;55,223;146,464;-58,034;2,723.24900000
125.00000000;0.00000000;0.00000000;52,908;55,217;146,469;-58,035;2,745.52800000
126.00000000;0.00000000;0.00000000;52,903;55,209;146,473;-58,036;2,766.46900000
127.00000000;0.00000000;0.00000000;52,895;55,203;146,478;-58,039;2,788.36600000
128.00000000;0.00000000;0.00000000;52,887;55,196;146,483;-58,042;2,810.35000000
129.00000000;0.00000000;0.00000000;52,879;55,189;146,486;-58,045;2,833.20500000
130.00000000;0.00000000;0.00000000;52,871;55,181;146,490;-58,048;2,855.23100000
131.00000000;0.00000000;0.00000000;52,863;55,175;146,492;-58,048;2,876.93900000
132.00000000;0.00000000;0.00000000;52,853;55,167;146,494;-58,052;2,899.90200000
133.00000000;0.00000000;0.00000000;52,844;55,164;146,496;-58,054;2,924.15200000
134.00000000;0.00000000;0.00000000;52,833;55,160;146,499;-58,062;2,950.12400000
135.00000000;0.00000000;0.00000000;52,822;55,149;146,503;-58,069;2,975.79300000
136.00000000;0.00000000;0.00000000;52,813;55,140;146,509;-58,077;3,000.16000000
137.00000000;0.00000000;0.00000000;52,804;55,131;146,514;-58,085;3,022.18600000
138.00000000;0.00000000;0.00000000;52,795;55,123;146,519;-58,091;3,044.74400000
139.00000000;0.00000000;0.00000000;52,786;55,114;146,521;-58,093;3,066.78600000
140.00000000;0.00000000;0.00000000;52,778;55,106;146,521;-58,090;3,088.32200000
141.00000000;0.00000000;0.00000000;52,771;55,098;146,517;-58,085;3,109.87700000
142.00000000;0.00000000;0.00000000;52,764;55,090;146,513;-58,082;3,132.57600000
143.00000000;0.00000000;0.00000000;52,754;55,081;146,511;-58,082;3,154.09400000
