counter;event
start;11/9/2022 3:40:38 PM
1;antfreeze_off
43;mode_#5_activated
47;display_projection-horizontale(1)
82;view_cleared
4,322;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,382;display_8bars
4,767;view_cleared
9,801;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,955;display_black
10,106;view_cleared
14,288;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
14,473;mode_#3_activated
14,477;display_1bar
14,527;view_cleared
18,541;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,632;mode_ergefg_activated
18,638;display_1bar_white
18,969;view_cleared
23,178;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
23,298;mode_#4_activated
23,303;display_4bars
23,527;view_cleared
27,681;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,729;SUCCESS
end;11/9/2022 3:50:52 PM
