counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;96,834;88,522;495,043;39,566;0.01500000
1.00000000;0.00000000;0.00000000;96,829;88,516;495,039;39,561;26.73000000
2.00000000;0.00000000;0.00000000;96,822;88,510;495,035;39,558;49.55400000
3.00000000;0.00000000;0.00000000;96,817;88,503;495,033;39,555;71.65200000
4.00000000;0.00000000;0.00000000;96,811;88,496;495,032;39,554;93.60900000
5.00000000;0.00000000;0.00000000;96,803;88,488;495,030;39,552;115.96700000
6.00000000;0.00000000;0.00000000;96,797;88,483;495,028;39,550;138.33700000
7.00000000;0.00000000;0.00000000;96,790;88,479;495,026;39,548;161.35000000
8.00000000;0.00000000;0.00000000;96,782;88,471;495,022;39,545;186.14100000
9.00000000;0.00000000;0.00000000;96,774;88,464;495,019;39,542;208.20900000
10.00000000;0.00000000;0.00000000;96,767;88,454;495,017;39,538;231.70700000
11.00000000;0.00000000;0.00000000;96,759;88,446;495,015;39,531;254.01500000
12.00000000;0.00000000;0.00000000;96,751;88,437;495,014;39,523;276.32400000
13.00000000;0.00000000;0.00000000;96,742;88,429;495,013;39,518;298.93300000
14.00000000;0.00000000;0.00000000;96,733;88,420;495,012;39,513;321.47700000
15.00000000;0.00000000;0.00000000;96,724;88,411;495,011;39,508;344.04000000
16.00000000;0.00000000;0.00000000;96,716;88,401;495,008;39,502;366.51700000
17.00000000;0.00000000;0.00000000;96,708;88,392;495,005;39,497;388.20700000
18.00000000;0.00000000;0.00000000;96,699;88,384;495,002;39,493;410.44100000
19.00000000;0.00000000;0.00000000;96,693;88,374;495,000;39,486;433.46900000
20.00000000;0.00000000;0.00000000;96,684;88,368;495,000;39,481;455.72800000
21.00000000;0.00000000;0.00000000;96,674;88,361;495,003;39,476;478.96300000
22.00000000;0.00000000;0.00000000;96,665;88,352;495,007;39,473;502.61100000
23.00000000;0.00000000;0.00000000;96,654;88,342;495,012;39,470;525.96800000
24.00000000;0.00000000;0.00000000;96,645;88,331;495,015;39,469;550.06200000
25.00000000;0.00000000;0.00000000;96,637;88,323;495,018;39,469;574.49600000
26.00000000;0.00000000;0.00000000;96,627;88,313;495,020;39,467;600.49900000
27.00000000;0.00000000;0.00000000;96,619;88,305;495,022;39,464;620.04100000
28.00000000;0.00000000;0.00000000;96,611;88,297;495,023;39,459;642.54300000
29.00000000;0.00000000;0.00000000;96,603;88,290;495,025;39,452;665.75400000
30.00000000;0.00000000;0.00000000;96,596;88,282;495,026;39,444;687.77600000
31.00000000;0.00000000;0.00000000;96,588;88,274;495,028;39,436;709.76900000
32.00000000;0.00000000;0.00000000;96,581;88,267;495,029;39,429;732.86400000
33.00000000;0.00000000;0.00000000;96,573;88,259;495,030;39,422;754.91100000
34.00000000;0.00000000;0.00000000;96,567;88,252;495,031;39,416;776.97300000
35.00000000;0.00000000;0.00000000;96,561;88,248;495,031;39,411;800.20000000
36.00000000;0.00000000;0.00000000;96,555;88,242;495,033;39,405;822.18200000
37.00000000;0.00000000;0.00000000;96,549;88,235;495,035;39,397;844.10000000
38.00000000;0.00000000;0.00000000;96,543;88,229;495,038;39,392;866.88000000
39.00000000;0.00000000;0.00000000;96,537;88,224;495,041;39,388;888.73700000
40.00000000;0.00000000;0.00000000;96,533;88,219;495,044;39,387;910.92800000
41.00000000;0.00000000;0.00000000;96,526;88,214;495,047;39,387;933.34500000
42.00000000;0.00000000;0.00000000;96,522;88,210;495,049;39,387;955.43800000
43.00000000;0.00000000;0.00000000;96,517;88,206;495,051;39,389;977.73400000
44.00000000;0.00000000;0.00000000;96,512;88,201;495,053;39,390;1,000.19700000
45.00000000;0.00000000;0.00000000;96,508;88,199;495,054;39,390;1,022.33800000
46.00000000;0.00000000;0.00000000;96,506;88,195;495,055;39,386;1,044.26700000
47.00000000;0.00000000;0.00000000;96,501;88,190;495,055;39,380;1,066.85200000
48.00000000;0.00000000;0.00000000;96,498;88,187;495,055;39,374;1,089.23200000
49.00000000;0.00000000;0.00000000;96,496;88,185;495,052;39,367;1,110.80100000
50.00000000;0.00000000;0.00000000;96,494;88,182;495,051;39,361;1,133.21000000
51.00000000;0.00000000;0.00000000;96,492;88,180;495,051;39,355;1,153.96700000
52.00000000;0.00000000;0.00000000;96,489;88,178;495,051;39,351;1,175.59200000
53.00000000;0.00000000;0.00000000;96,488;88,176;495,051;39,348;1,197.97400000
54.00000000;0.00000000;0.00000000;96,486;88,175;495,051;39,348;1,218.60600000
55.00000000;0.00000000;0.00000000;96,485;88,174;495,054;39,348;1,239.09800000
56.00000000;0.00000000;0.00000000;96,484;88,173;495,058;39,348;1,260.30700000
57.00000000;0.00000000;0.00000000;96,481;88,171;495,061;39,347;1,282.58400000
58.00000000;0.00000000;0.00000000;96,480;88,170;495,064;39,347;1,303.87100000
59.00000000;0.00000000;0.00000000;96,479;88,169;495,064;39,346;1,325.62900000
60.00000000;0.00000000;0.00000000;96,479;88,167;495,065;39,345;1,347.82800000
61.00000000;0.00000000;0.00000000;96,479;88,167;495,065;39,345;1,368.92300000
62.00000000;0.00000000;0.00000000;96,477;88,167;495,065;39,344;1,388.98100000
63.00000000;0.00000000;0.00000000;96,477;88,167;495,065;39,340;1,410.08000000
64.00000000;0.00000000;0.00000000;96,477;88,167;495,065;39,333;1,431.64800000
65.00000000;0.00000000;0.00000000;96,477;88,167;495,065;39,326;1,453.03200000
66.00000000;0.00000000;0.00000000;96,477;88,167;495,066;39,320;1,473.24600000
67.00000000;0.00000000;0.00000000;96,479;88,167;495,069;39,312;1,494.18800000
68.00000000;0.00000000;0.00000000;96,480;88,170;495,072;39,305;1,516.29400000
69.00000000;0.00000000;0.00000000;96,481;88,171;495,075;39,299;1,537.63300000
70.00000000;0.00000000;0.00000000;96,483;88,171;495,079;39,297;1,559.77400000
71.00000000;0.00000000;0.00000000;96,485;88,172;495,081;39,295;1,584.16700000
72.00000000;0.00000000;0.00000000;96,486;88,173;495,082;39,293;1,607.76300000
73.00000000;0.00000000;0.00000000;96,487;88,175;495,082;39,291;1,628.63400000
74.00000000;0.00000000;0.00000000;96,489;88,177;495,082;39,289;1,650.63600000
75.00000000;0.00000000;0.00000000;96,492;88,179;495,080;39,285;1,672.34500000
76.00000000;0.00000000;0.00000000;96,494;88,181;495,080;39,280;1,693.98700000
77.00000000;0.00000000;0.00000000;96,497;88,184;495,083;39,272;1,716.74300000
78.00000000;0.00000000;0.00000000;96,500;88,187;495,085;39,266;1,739.37100000
79.00000000;0.00000000;0.00000000;96,503;88,191;495,090;39,260;1,760.99400000
80.00000000;0.00000000;0.00000000;96,506;88,194;495,093;39,256;1,783.56200000
81.00000000;0.00000000;0.00000000;96,510;88,198;495,097;39,253;1,805.33100000
82.00000000;0.00000000;0.00000000;96,514;88,202;495,099;39,253;1,827.85800000
83.00000000;0.00000000;0.00000000;96,518;88,206;495,102;39,253;1,851.59800000
84.00000000;0.00000000;0.00000000;96,522;88,209;495,103;39,253;1,873.46500000
85.00000000;0.00000000;0.00000000;96,527;88,214;495,104;39,255;1,895.45100000
86.00000000;0.00000000;0.00000000;96,532;88,220;495,104;39,255;1,917.45000000
87.00000000;0.00000000;0.00000000;96,537;88,224;495,104;39,253;1,938.72800000
88.00000000;0.00000000;0.00000000;96,542;88,229;495,105;39,248;1,960.12300000
89.00000000;0.00000000;0.00000000;96,549;88,235;495,106;39,242;1,982.64900000
90.00000000;0.00000000;0.00000000;96,554;88,242;495,107;39,237;2,004.57400000
91.00000000;0.00000000;0.00000000;96,561;88,249;495,109;39,233;2,026.65700000
92.00000000;0.00000000;0.00000000;96,567;88,256;495,111;39,230;2,049.57100000
93.00000000;0.00000000;0.00000000;96,574;88,264;495,114;39,230;2,071.89500000
94.00000000;0.00000000;0.00000000;96,582;88,272;495,116;39,230;2,094.16500000
95.00000000;0.00000000;0.00000000;96,589;88,282;495,117;39,230;2,117.04800000
96.00000000;0.00000000;0.00000000;96,597;88,291;495,120;39,230;2,139.12500000
97.00000000;0.00000000;0.00000000;96,604;88,299;495,122;39,230;2,160.99300000
98.00000000;0.00000000;0.00000000;96,612;88,309;495,124;39,230;2,184.07500000
99.00000000;0.00000000;0.00000000;96,621;88,319;495,128;39,230;2,206.08700000
100.00000000;0.00000000;0.00000000;96,629;88,328;495,131;39,229;2,228.07000000
101.00000000;0.00000000;0.00000000;96,639;88,338;495,133;39,227;2,250.77600000
102.00000000;0.00000000;0.00000000;96,648;88,346;495,135;39,225;2,272.32600000
103.00000000;0.00000000;0.00000000;96,659;88,355;495,135;39,220;2,293.75600000
104.00000000;0.00000000;0.00000000;96,670;88,366;495,136;39,215;2,316.66800000
105.00000000;0.00000000;0.00000000;96,680;88,375;495,136;39,210;2,338.82900000
106.00000000;0.00000000;0.00000000;96,691;88,386;495,136;39,204;2,361.09100000
107.00000000;0.00000000;0.00000000;96,701;88,396;495,138;39,199;2,383.77400000
108.00000000;0.00000000;0.00000000;96,710;88,405;495,141;39,195;2,405.40900000
109.00000000;0.00000000;0.00000000;96,720;88,414;495,144;39,192;2,426.94700000
110.00000000;0.00000000;0.00000000;96,729;88,424;495,147;39,188;2,449.47500000
111.00000000;0.00000000;0.00000000;96,738;88,433;495,150;39,185;2,470.99300000
112.00000000;0.00000000;0.00000000;96,748;88,442;495,153;39,181;2,492.30500000
113.00000000;0.00000000;0.00000000;96,756;88,450;495,155;39,178;2,513.11800000
114.00000000;0.00000000;0.00000000;96,767;88,461;495,158;39,173;2,538.23300000
115.00000000;0.00000000;0.00000000;96,775;88,470;495,162;39,169;2,560.00600000
116.00000000;0.00000000;0.00000000;96,784;88,479;495,165;39,165;2,582.96500000
117.00000000;0.00000000;0.00000000;96,793;88,489;495,169;39,162;2,604.64600000
118.00000000;0.00000000;0.00000000;96,802;88,497;495,172;39,159;2,626.01500000
119.00000000;0.00000000;0.00000000;96,810;88,505;495,175;39,156;2,647.14300000
120.00000000;0.00000000;0.00000000;96,818;88,514;495,179;39,153;2,668.50200000
121.00000000;0.00000000;0.00000000;96,826;88,522;495,183;39,150;2,690.23200000
122.00000000;0.00000000;0.00000000;96,836;88,531;495,188;39,146;2,711.69700000
123.00000000;0.00000000;0.00000000;96,844;88,539;495,192;39,143;2,734.15000000
124.00000000;0.00000000;0.00000000;96,854;88,547;495,198;39,137;2,756.57200000
125.00000000;0.00000000;0.00000000;96,862;88,557;495,202;39,132;2,781.02900000
126.00000000;0.00000000;0.00000000;96,871;88,565;495,206;39,127;2,802.00700000
127.00000000;0.00000000;0.00000000;96,878;88,573;495,209;39,122;2,823.73500000
128.00000000;0.00000000;0.00000000;96,887;88,583;495,212;39,116;2,845.40500000
129.00000000;0.00000000;0.00000000;96,895;88,591;495,215;39,111;2,868.13700000
130.00000000;0.00000000;0.00000000;96,904;88,599;495,218;39,105;2,890.09200000
131.00000000;0.00000000;0.00000000;96,911;88,607;495,220;39,100;2,911.79300000
132.00000000;0.00000000;0.00000000;96,921;88,616;495,225;39,094;2,934.47300000
133.00000000;0.00000000;0.00000000;96,930;88,624;495,230;39,089;2,956.21400000
134.00000000;0.00000000;0.00000000;96,937;88,632;495,234;39,083;2,977.86300000
135.00000000;0.00000000;0.00000000;96,944;88,640;495,240;39,076;3,000.51600000
136.00000000;0.00000000;0.00000000;96,953;88,648;495,245;39,072;3,022.39100000
137.00000000;0.00000000;0.00000000;96,960;88,656;495,250;39,067;3,045.14600000
138.00000000;0.00000000;0.00000000;96,969;88,665;495,255;39,064;3,068.93000000
139.00000000;0.00000000;0.00000000;96,975;88,671;495,260;39,062;3,091.26300000
140.00000000;0.00000000;0.00000000;96,983;88,678;495,265;39,062;3,112.86600000
141.00000000;0.00000000;0.00000000;96,991;88,686;495,268;39,062;3,135.79700000
142.00000000;0.00000000;0.00000000;96,997;88,694;495,271;39,061;3,157.33200000
143.00000000;0.00000000;0.00000000;97,005;88,701;495,272;39,060;3,179.38000000
144.00000000;0.00000000;0.00000000;97,012;88,708;495,272;39,058;3,202.54600000
145.00000000;0.00000000;0.00000000;97,019;88,715;495,272;39,054;3,224.48500000
146.00000000;0.00000000;0.00000000;97,026;88,722;495,272;39,050;3,247.59800000
147.00000000;0.00000000;0.00000000;97,034;88,728;495,269;39,045;3,273.21500000
148.00000000;0.00000000;0.00000000;97,041;88,735;495,268;39,042;3,298.24100000
149.00000000;0.00000000;0.00000000;97,050;88,741;495,265;39,038;3,323.17500000
150.00000000;0.00000000;0.00000000;97,057;88,747;495,264;39,035;3,344.46300000
151.00000000;0.00000000;0.00000000;97,064;88,753;495,264;39,031;3,367.07500000
152.00000000;0.00000000;0.00000000;97,070;88,759;495,266;39,027;3,388.02800000
153.00000000;0.00000000;0.00000000;97,074;88,764;495,269;39,021;3,408.32100000
154.00000000;0.00000000;0.00000000;97,080;88,770;495,271;39,015;3,429.51200000
155.00000000;0.00000000;0.00000000;97,086;88,775;495,274;39,008;3,452.91700000
156.00000000;0.00000000;0.00000000;97,091;88,782;495,276;39,002;3,474.18400000
157.00000000;0.00000000;0.00000000;97,097;88,787;495,279;38,997;3,496.03600000
158.00000000;0.00000000;0.00000000;97,103;88,793;495,281;38,993;3,518.87700000
159.00000000;0.00000000;0.00000000;97,108;88,799;495,283;38,989;3,540.87300000
160.00000000;0.00000000;0.00000000;97,112;88,804;495,286;38,986;3,562.82100000
161.00000000;0.00000000;0.00000000;97,118;88,810;495,290;38,982;3,585.34100000
162.00000000;0.00000000;0.00000000;97,123;88,815;495,294;38,979;3,607.47100000
163.00000000;0.00000000;0.00000000;97,128;88,819;495,297;38,976;3,629.31900000
164.00000000;0.00000000;0.00000000;97,133;88,824;495,299;38,970;3,652.60500000
165.00000000;0.00000000;0.00000000;97,138;88,828;495,301;38,964;3,674.78700000
166.00000000;0.00000000;0.00000000;97,142;88,832;495,304;38,957;3,696.64500000
167.00000000;0.00000000;0.00000000;97,146;88,837;495,305;38,949;3,719.39600000
168.00000000;0.00000000;0.00000000;97,152;88,841;495,307;38,940;3,741.85800000
169.00000000;0.00000000;0.00000000;97,155;88,844;495,309;38,931;3,764.67800000
170.00000000;0.00000000;0.00000000;97,160;88,848;495,312;38,922;3,786.75500000
171.00000000;0.00000000;0.00000000;97,164;88,851;495,314;38,914;3,809.09500000
172.00000000;0.00000000;0.00000000;97,167;88,855;495,317;38,907;3,830.29500000
173.00000000;0.00000000;0.00000000;97,172;88,858;495,321;38,897;3,853.14200000
174.00000000;0.00000000;0.00000000;97,175;88,861;495,325;38,889;3,875.13600000
