counter;event
start;11/15/2022 1:57:14 PM
1;antfreeze_off
48;mode_#5_activated
53;display_black
108;view_cleared
4,878;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
5,001;display_projection-horizontale(1)
5,029;view_cleared
8,756;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,039;mode_ergefg_activated
9,044;display_1bar_white
9,223;view_cleared
14,265;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
14,417;mode_#5_activated
14,421;display_8bars
14,723;view_cleared
18,240;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,289;mode_#4_activated
18,293;display_4bars
18,791;view_cleared
23,043;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
23,110;mode_#1_activated
23,114;display_live
23,211;mode_#3_activated
23,214;display_1bar
23,526;view_cleared
28,118;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
28,172;SUCCESS
end;11/15/2022 2:07:35 PM
