counter;event
start;11/15/2022 2:21:01 PM
1;antfreeze_off
32;mode_ergefg_activated
36;display_1bar_white
96;view_cleared
4,280;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,375;mode_#5_activated
4,382;display_black
4,902;view_cleared
8,917;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,080;mode_#4_activated
9,086;display_4bars
9,123;view_cleared
13,640;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,793;mode_#5_activated
13,796;display_projection-horizontale(1)
14,034;view_cleared
18,069;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,150;mode_#3_activated
18,155;display_1bar
18,513;view_cleared
22,604;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,678;mode_#5_activated
22,682;display_8bars
23,087;view_cleared
27,194;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,223;SUCCESS
end;11/15/2022 2:31:05 PM
