counter;event
start;11/15/2022 2:36:06 PM
1;antfreeze_off
39;mode_#4_activated
43;display_4bars
104;view_cleared
4,259;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,312;mode_ergefg_activated
4,317;display_1bar_white
4,739;view_cleared
9,090;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,282;mode_#3_activated
9,288;display_1bar
9,526;view_cleared
13,633;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,692;mode_#5_activated
13,695;display_black
14,025;view_cleared
18,106;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,226;display_8bars
18,271;view_cleared
22,512;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,572;display_projection-horizontale(1)
22,972;view_cleared
27,242;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,289;SUCCESS
end;11/15/2022 2:46:10 PM
