counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;3,302;4,559;34,768;-5,802;2.58500000
1.00000000;0.00000000;0.00000000;3,307;4,564;34,781;-5,799;22.58700000
2.00000000;0.00000000;0.00000000;3,312;4,569;34,796;-5,799;43.95900000
3.00000000;0.00000000;0.00000000;3,314;4,575;34,806;-5,799;66.51000000
4.00000000;0.00000000;0.00000000;3,318;4,579;34,821;-5,802;88.33100000
5.00000000;0.00000000;0.00000000;3,322;4,583;34,837;-5,805;109.95500000
6.00000000;0.00000000;0.00000000;3,327;4,585;34,853;-5,806;133.16000000
7.00000000;0.00000000;0.00000000;3,330;4,586;34,870;-5,806;155.54800000
8.00000000;0.00000000;0.00000000;3,335;4,588;34,887;-5,807;179.21400000
9.00000000;0.00000000;0.00000000;3,341;4,593;34,902;-5,807;201.37700000
10.00000000;0.00000000;0.00000000;3,345;4,596;34,916;-5,808;220.55000000
11.00000000;0.00000000;0.00000000;3,349;4,601;34,931;-5,810;242.94300000
12.00000000;0.00000000;0.00000000;3,354;4,607;34,947;-5,808;266.55900000
13.00000000;0.00000000;0.00000000;3,358;4,613;34,960;-5,802;288.96200000
14.00000000;0.00000000;0.00000000;3,363;4,618;34,971;-5,800;310.83700000
15.00000000;0.00000000;0.00000000;3,368;4,624;34,985;-5,797;333.49200000
16.00000000;0.00000000;0.00000000;3,373;4,629;34,999;-5,796;355.09500000
17.00000000;0.00000000;0.00000000;3,377;4,633;35,009;-5,796;376.66900000
18.00000000;0.00000000;0.00000000;3,381;4,639;35,021;-5,799;399.34300000
19.00000000;0.00000000;0.00000000;3,386;4,645;35,032;-5,799;422.01600000
20.00000000;0.00000000;0.00000000;3,391;4,651;35,042;-5,797;443.42900000
21.00000000;0.00000000;0.00000000;3,397;4,657;35,056;-5,797;466.09100000
22.00000000;0.00000000;0.00000000;3,401;4,662;35,068;-5,797;487.28700000
23.00000000;0.00000000;0.00000000;3,406;4,668;35,082;-5,800;508.99800000
24.00000000;0.00000000;0.00000000;3,410;4,674;35,096;-5,802;531.30600000
25.00000000;0.00000000;0.00000000;3,416;4,679;35,111;-5,803;552.86400000
26.00000000;0.00000000;0.00000000;3,422;4,686;35,126;-5,806;573.99200000
27.00000000;0.00000000;0.00000000;3,428;4,692;35,138;-5,808;594.51400000
28.00000000;0.00000000;0.00000000;3,433;4,697;35,159;-5,813;616.35900000
29.00000000;0.00000000;0.00000000;3,438;4,703;35,177;-5,819;637.97900000
30.00000000;0.00000000;0.00000000;3,442;4,708;35,192;-5,825;659.36500000
31.00000000;0.00000000;0.00000000;3,447;4,714;35,210;-5,832;682.51900000
32.00000000;0.00000000;0.00000000;3,450;4,719;35,225;-5,837;704.36400000
33.00000000;0.00000000;0.00000000;3,455;4,725;35,243;-5,841;726.23800000
34.00000000;0.00000000;0.00000000;3,459;4,731;35,259;-5,844;748.99400000
35.00000000;0.00000000;0.00000000;3,463;4,736;35,276;-5,848;772.77100000
36.00000000;0.00000000;0.00000000;3,467;4,742;35,291;-5,851;797.39800000
37.00000000;0.00000000;0.00000000;3,473;4,747;35,305;-5,855;822.54200000
38.00000000;0.00000000;0.00000000;3,476;4,751;35,316;-5,856;844.11000000
39.00000000;0.00000000;0.00000000;3,480;4,757;35,328;-5,858;867.36800000
40.00000000;0.00000000;0.00000000;3,484;4,761;35,339;-5,859;889.03700000
41.00000000;0.00000000;0.00000000;3,489;4,766;35,352;-5,862;910.62200000
42.00000000;0.00000000;0.00000000;3,493;4,770;35,363;-5,865;933.57900000
43.00000000;0.00000000;0.00000000;3,497;4,775;35,373;-5,868;956.01400000
44.00000000;0.00000000;0.00000000;3,501;4,779;35,383;-5,870;979.07400000
45.00000000;0.00000000;0.00000000;3,505;4,784;35,391;-5,870;1,001.24400000
46.00000000;0.00000000;0.00000000;3,509;4,788;35,400;-5,870;1,023.39800000
47.00000000;0.00000000;0.00000000;3,513;4,792;35,408;-5,870;1,045.17100000
48.00000000;0.00000000;0.00000000;3,518;4,797;35,417;-5,870;1,069.00800000
49.00000000;0.00000000;0.00000000;3,524;4,805;35,430;-5,870;1,098.15800000
50.00000000;0.00000000;0.00000000;3,528;4,810;35,439;-5,870;1,119.13600000
51.00000000;0.00000000;0.00000000;3,534;4,815;35,449;-5,870;1,142.62000000
52.00000000;0.00000000;0.00000000;3,540;4,822;35,459;-5,868;1,168.21800000
53.00000000;0.00000000;0.00000000;3,545;4,829;35,468;-5,868;1,190.49600000
54.00000000;0.00000000;0.00000000;3,549;4,835;35,479;-5,868;1,211.99700000
55.00000000;0.00000000;0.00000000;3,553;4,840;35,490;-5,868;1,234.28400000
56.00000000;0.00000000;0.00000000;3,558;4,846;35,500;-5,870;1,257.53500000
57.00000000;0.00000000;0.00000000;3,564;4,852;35,512;-5,871;1,278.95600000
58.00000000;0.00000000;0.00000000;3,568;4,855;35,520;-5,871;1,301.24700000
59.00000000;0.00000000;0.00000000;3,571;4,861;35,527;-5,871;1,323.40900000
60.00000000;0.00000000;0.00000000;3,575;4,867;35,535;-5,871;1,345.75800000
61.00000000;0.00000000;0.00000000;3,578;4,871;35,543;-5,872;1,368.19000000
62.00000000;0.00000000;0.00000000;3,581;4,876;35,554;-5,872;1,391.08600000
63.00000000;0.00000000;0.00000000;3,584;4,879;35,562;-5,872;1,412.27600000
64.00000000;0.00000000;0.00000000;3,588;4,883;35,572;-5,870;1,434.56900000
65.00000000;0.00000000;0.00000000;3,592;4,887;35,581;-5,869;1,456.56800000
66.00000000;0.00000000;0.00000000;3,596;4,891;35,590;-5,868;1,478.14300000
67.00000000;0.00000000;0.00000000;3,600;4,894;35,596;-5,867;1,501.52600000
68.00000000;0.00000000;0.00000000;3,602;4,898;35,602;-5,866;1,523.71300000
69.00000000;0.00000000;0.00000000;3,605;4,902;35,610;-5,866;1,545.86500000
70.00000000;0.00000000;0.00000000;3,608;4,905;35,620;-5,869;1,568.25800000
71.00000000;0.00000000;0.00000000;3,610;4,907;35,628;-5,871;1,590.42500000
72.00000000;0.00000000;0.00000000;3,612;4,910;35,638;-5,871;1,612.53900000
73.00000000;0.00000000;0.00000000;3,615;4,914;35,649;-5,867;1,639.19800000
74.00000000;0.00000000;0.00000000;3,618;4,918;35,658;-5,865;1,662.21400000
75.00000000;0.00000000;0.00000000;3,620;4,921;35,666;-5,860;1,685.01000000
76.00000000;0.00000000;0.00000000;3,623;4,924;35,674;-5,858;1,707.18800000
77.00000000;0.00000000;0.00000000;3,627;4,929;35,684;-5,858;1,729.74400000
78.00000000;0.00000000;0.00000000;3,629;4,933;35,697;-5,862;1,751.87600000
79.00000000;0.00000000;0.00000000;3,632;4,935;35,710;-5,865;1,773.74800000
80.00000000;0.00000000;0.00000000;3,635;4,938;35,721;-5,870;1,795.54900000
81.00000000;0.00000000;0.00000000;3,637;4,942;35,733;-5,872;1,818.42300000
82.00000000;0.00000000;0.00000000;3,639;4,944;35,743;-5,872;1,840.07500000
83.00000000;0.00000000;0.00000000;3,641;4,947;35,752;-5,872;1,861.36800000
84.00000000;0.00000000;0.00000000;3,644;4,950;35,762;-5,872;1,883.81300000
85.00000000;0.00000000;0.00000000;3,648;4,954;35,773;-5,872;1,907.01200000
86.00000000;0.00000000;0.00000000;3,650;4,958;35,786;-5,875;1,929.19900000
87.00000000;0.00000000;0.00000000;3,653;4,960;35,796;-5,880;1,951.33600000
88.00000000;0.00000000;0.00000000;3,656;4,962;35,797;-5,885;1,973.40800000
89.00000000;0.00000000;0.00000000;3,656;4,964;35,797;-5,888;1,995.24100000
90.00000000;0.00000000;0.00000000;3,653;4,967;35,795;-5,890;2,017.73600000
91.00000000;0.00000000;0.00000000;3,655;4,970;35,805;-5,890;2,039.61100000
92.00000000;0.00000000;0.00000000;3,657;4,972;35,814;-5,888;2,061.40300000
93.00000000;0.00000000;0.00000000;3,659;4,974;35,824;-5,886;2,083.77500000
94.00000000;0.00000000;0.00000000;3,662;4,977;35,834;-5,886;2,106.01700000
95.00000000;0.00000000;0.00000000;3,663;4,979;35,847;-5,890;2,127.26400000
96.00000000;0.00000000;0.00000000;3,665;4,980;35,860;-5,893;2,149.59700000
97.00000000;0.00000000;0.00000000;3,665;4,982;35,870;-5,898;2,170.23200000
98.00000000;0.00000000;0.00000000;3,666;4,984;35,882;-5,900;2,192.67700000
99.00000000;0.00000000;0.00000000;3,668;4,987;35,895;-5,901;2,217.90200000
100.00000000;0.00000000;0.00000000;3,671;4,989;35,908;-5,902;2,240.55700000
101.00000000;0.00000000;0.00000000;3,674;4,991;35,919;-5,904;2,262.83200000
102.00000000;0.00000000;0.00000000;3,676;4,993;35,930;-5,907;2,284.85500000
103.00000000;0.00000000;0.00000000;3,677;4,994;35,943;-5,914;2,306.33400000
104.00000000;0.00000000;0.00000000;3,678;4,995;35,943;-5,919;2,327.74900000
105.00000000;0.00000000;0.00000000;3,678;4,996;35,954;-5,925;2,352.21400000
106.00000000;0.00000000;0.00000000;3,676;4,997;35,950;-5,932;2,375.94400000
107.00000000;0.00000000;0.00000000;3,673;4,997;35,956;-5,935;2,397.47600000
108.00000000;0.00000000;0.00000000;3,672;4,997;35,957;-5,935;2,418.68100000
109.00000000;0.00000000;0.00000000;3,677;4,997;35,962;-5,936;2,440.11400000
110.00000000;0.00000000;0.00000000;3,677;4,995;35,969;-5,936;2,461.08700000
111.00000000;0.00000000;0.00000000;3,674;4,994;35,973;-5,938;2,483.44800000
112.00000000;0.00000000;0.00000000;3,673;4,992;35,976;-5,942;2,504.89200000
113.00000000;0.00000000;0.00000000;3,669;4,988;35,980;-5,946;2,526.09100000
114.00000000;0.00000000;0.00000000;3,665;4,985;35,982;-5,951;2,546.89000000
115.00000000;0.00000000;0.00000000;3,659;4,981;35,985;-5,954;2,568.42700000
116.00000000;0.00000000;0.00000000;3,654;4,975;35,989;-5,957;2,590.17700000
117.00000000;0.00000000;0.00000000;3,649;4,971;35,994;-5,959;2,611.32500000
118.00000000;0.00000000;0.00000000;3,642;4,966;36,002;-5,961;2,634.00500000
119.00000000;0.00000000;0.00000000;3,637;4,961;36,011;-5,962;2,656.17800000
120.00000000;0.00000000;0.00000000;3,631;4,954;36,021;-5,965;2,678.28400000
121.00000000;0.00000000;0.00000000;3,624;4,948;36,034;-5,967;2,701.43600000
122.00000000;0.00000000;0.00000000;3,617;4,951;36,045;-5,969;2,724.47800000
123.00000000;0.00000000;0.00000000;3,610;4,943;36,058;-5,972;2,747.33400000
124.00000000;0.00000000;0.00000000;3,602;4,935;36,071;-5,976;2,770.69600000
125.00000000;0.00000000;0.00000000;3,601;4,928;36,077;-5,980;2,793.02000000
126.00000000;0.00000000;0.00000000;3,593;4,920;36,089;-5,983;2,815.12200000
127.00000000;0.00000000;0.00000000;3,588;4,911;36,094;-5,987;2,837.56500000
128.00000000;0.00000000;0.00000000;3,580;4,903;36,109;-5,990;2,859.71500000
129.00000000;0.00000000;0.00000000;3,571;4,895;36,123;-5,993;2,881.92000000
