counter;event
start;11/9/2022 2:08:05 PM
1;antfreeze_off
35;mode_#5_activated
39;display_black
77;view_cleared
4,553;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,650;display_projection-horizontale(1)
4,949;view_cleared
9,149;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,304;mode_ergefg_activated
9,308;display_1bar_white
9,556;view_cleared
13,638;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,822;mode_#5_activated
13,826;display_8bars
14,018;view_cleared
18,055;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,160;mode_#4_activated
18,164;display_4bars
18,480;view_cleared
22,615;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,755;mode_#3_activated
22,763;display_1bar
23,013;view_cleared
27,096;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,160;SUCCESS
end;11/9/2022 2:18:09 PM
