counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;3302;4559;34768;-5802;2.58500000
1.00000000;0.00000000;0.00000000;3307;4564;34781;-5799;22.58700000
2.00000000;0.00000000;0.00000000;3312;4569;34796;-5799;43.95900000
3.00000000;0.00000000;0.00000000;3314;4575;34806;-5799;66.51000000
4.00000000;0.00000000;0.00000000;3318;4579;34821;-5802;88.33100000
5.00000000;0.00000000;0.00000000;3322;4583;34837;-5805;109.95500000
6.00000000;0.00000000;0.00000000;3327;4585;34853;-5806;133.16000000
7.00000000;0.00000000;0.00000000;3330;4586;34870;-5806;155.54800000
8.00000000;0.00000000;0.00000000;3335;4588;34887;-5807;179.21400000
9.00000000;0.00000000;0.00000000;3341;4593;34902;-5807;201.37700000
10.00000000;0.00000000;0.00000000;3345;4596;34916;-5808;220.55000000
11.00000000;0.00000000;0.00000000;3349;4601;34931;-5810;242.94300000
12.00000000;0.00000000;0.00000000;3354;4607;34947;-5808;266.55900000
13.00000000;0.00000000;0.00000000;3358;4613;34960;-5802;288.96200000
14.00000000;0.00000000;0.00000000;3363;4618;34971;-5800;310.83700000
15.00000000;0.00000000;0.00000000;3368;4624;34985;-5797;333.49200000
16.00000000;0.00000000;0.00000000;3373;4629;34999;-5796;355.09500000
17.00000000;0.00000000;0.00000000;3377;4633;35009;-5796;376.66900000
18.00000000;0.00000000;0.00000000;3381;4639;35021;-5799;399.34300000
19.00000000;0.00000000;0.00000000;3386;4645;35032;-5799;422.01600000
20.00000000;0.00000000;0.00000000;3391;4651;35042;-5797;443.42900000
21.00000000;0.00000000;0.00000000;3397;4657;35056;-5797;466.09100000
22.00000000;0.00000000;0.00000000;3401;4662;35068;-5797;487.28700000
23.00000000;0.00000000;0.00000000;3406;4668;35082;-5800;508.99800000
24.00000000;0.00000000;0.00000000;3410;4674;35096;-5802;531.30600000
25.00000000;0.00000000;0.00000000;3416;4679;35111;-5803;552.86400000
26.00000000;0.00000000;0.00000000;3422;4686;35126;-5806;573.99200000
27.00000000;0.00000000;0.00000000;3428;4692;35138;-5808;594.51400000
28.00000000;0.00000000;0.00000000;3433;4697;35159;-5813;616.35900000
29.00000000;0.00000000;0.00000000;3438;4703;35177;-5819;637.97900000
30.00000000;0.00000000;0.00000000;3442;4708;35192;-5825;659.36500000
31.00000000;0.00000000;0.00000000;3447;4714;35210;-5832;682.51900000
32.00000000;0.00000000;0.00000000;3450;4719;35225;-5837;704.36400000
33.00000000;0.00000000;0.00000000;3455;4725;35243;-5841;726.23800000
34.00000000;0.00000000;0.00000000;3459;4731;35259;-5844;748.99400000
35.00000000;0.00000000;0.00000000;3463;4736;35276;-5848;772.77100000
36.00000000;0.00000000;0.00000000;3467;4742;35291;-5851;797.39800000
37.00000000;0.00000000;0.00000000;3473;4747;35305;-5855;822.54200000
38.00000000;0.00000000;0.00000000;3476;4751;35316;-5856;844.11000000
39.00000000;0.00000000;0.00000000;3480;4757;35328;-5858;867.36800000
40.00000000;0.00000000;0.00000000;3484;4761;35339;-5859;889.03700000
41.00000000;0.00000000;0.00000000;3489;4766;35352;-5862;910.62200000
42.00000000;0.00000000;0.00000000;3493;4770;35363;-5865;933.57900000
43.00000000;0.00000000;0.00000000;3497;4775;35373;-5868;956.01400000
44.00000000;0.00000000;0.00000000;3501;4779;35383;-5870;979.07400000
45.00000000;0.00000000;0.00000000;3505;4784;35391;-5870;1001.24400000
46.00000000;0.00000000;0.00000000;3509;4788;35400;-5870;1023.39800000
47.00000000;0.00000000;0.00000000;3513;4792;35408;-5870;1045.17100000
48.00000000;0.00000000;0.00000000;3518;4797;35417;-5870;1069.00800000
49.00000000;0.00000000;0.00000000;3524;4805;35430;-5870;1098.15800000
50.00000000;0.00000000;0.00000000;3528;4810;35439;-5870;1119.13600000
51.00000000;0.00000000;0.00000000;3534;4815;35449;-5870;1142.62000000
52.00000000;0.00000000;0.00000000;3540;4822;35459;-5868;1168.21800000
53.00000000;0.00000000;0.00000000;3545;4829;35468;-5868;1190.49600000
54.00000000;0.00000000;0.00000000;3549;4835;35479;-5868;1211.99700000
55.00000000;0.00000000;0.00000000;3553;4840;35490;-5868;1234.28400000
56.00000000;0.00000000;0.00000000;3558;4846;35500;-5870;1257.53500000
57.00000000;0.00000000;0.00000000;3564;4852;35512;-5871;1278.95600000
58.00000000;0.00000000;0.00000000;3568;4855;35520;-5871;1301.24700000
59.00000000;0.00000000;0.00000000;3571;4861;35527;-5871;1323.40900000
60.00000000;0.00000000;0.00000000;3575;4867;35535;-5871;1345.75800000
61.00000000;0.00000000;0.00000000;3578;4871;35543;-5872;1368.19000000
62.00000000;0.00000000;0.00000000;3581;4876;35554;-5872;1391.08600000
63.00000000;0.00000000;0.00000000;3584;4879;35562;-5872;1412.27600000
64.00000000;0.00000000;0.00000000;3588;4883;35572;-5870;1434.56900000
65.00000000;0.00000000;0.00000000;3592;4887;35581;-5869;1456.56800000
66.00000000;0.00000000;0.00000000;3596;4891;35590;-5868;1478.14300000
67.00000000;0.00000000;0.00000000;3600;4894;35596;-5867;1501.52600000
68.00000000;0.00000000;0.00000000;3602;4898;35602;-5866;1523.71300000
69.00000000;0.00000000;0.00000000;3605;4902;35610;-5866;1545.86500000
70.00000000;0.00000000;0.00000000;3608;4905;35620;-5869;1568.25800000
71.00000000;0.00000000;0.00000000;3610;4907;35628;-5871;1590.42500000
72.00000000;0.00000000;0.00000000;3612;4910;35638;-5871;1612.53900000
73.00000000;0.00000000;0.00000000;3615;4914;35649;-5867;1639.19800000
74.00000000;0.00000000;0.00000000;3618;4918;35658;-5865;1662.21400000
75.00000000;0.00000000;0.00000000;3620;4921;35666;-5860;1685.01000000
76.00000000;0.00000000;0.00000000;3623;4924;35674;-5858;1707.18800000
77.00000000;0.00000000;0.00000000;3627;4929;35684;-5858;1729.74400000
78.00000000;0.00000000;0.00000000;3629;4933;35697;-5862;1751.87600000
79.00000000;0.00000000;0.00000000;3632;4935;35710;-5865;1773.74800000
80.00000000;0.00000000;0.00000000;3635;4938;35721;-5870;1795.54900000
81.00000000;0.00000000;0.00000000;3637;4942;35733;-5872;1818.42300000
82.00000000;0.00000000;0.00000000;3639;4944;35743;-5872;1840.07500000
83.00000000;0.00000000;0.00000000;3641;4947;35752;-5872;1861.36800000
84.00000000;0.00000000;0.00000000;3644;4950;35762;-5872;1883.81300000
85.00000000;0.00000000;0.00000000;3648;4954;35773;-5872;1907.01200000
86.00000000;0.00000000;0.00000000;3650;4958;35786;-5875;1929.19900000
87.00000000;0.00000000;0.00000000;3653;4960;35796;-5880;1951.33600000
88.00000000;0.00000000;0.00000000;3656;4962;35797;-5885;1973.40800000
89.00000000;0.00000000;0.00000000;3656;4964;35797;-5888;1995.24100000
90.00000000;0.00000000;0.00000000;3653;4967;35795;-5890;2017.73600000
91.00000000;0.00000000;0.00000000;3655;4970;35805;-5890;2039.61100000
92.00000000;0.00000000;0.00000000;3657;4972;35814;-5888;2061.40300000
93.00000000;0.00000000;0.00000000;3659;4974;35824;-5886;2083.77500000
94.00000000;0.00000000;0.00000000;3662;4977;35834;-5886;2106.01700000
95.00000000;0.00000000;0.00000000;3663;4979;35847;-5890;2127.26400000
96.00000000;0.00000000;0.00000000;3665;4980;35860;-5893;2149.59700000
97.00000000;0.00000000;0.00000000;3665;4982;35870;-5898;2170.23200000
98.00000000;0.00000000;0.00000000;3666;4984;35882;-5900;2192.67700000
99.00000000;0.00000000;0.00000000;3668;4987;35895;-5901;2217.90200000
100.00000000;0.00000000;0.00000000;3671;4989;35908;-5902;2240.55700000
101.00000000;0.00000000;0.00000000;3674;4991;35919;-5904;2262.83200000
102.00000000;0.00000000;0.00000000;3676;4993;35930;-5907;2284.85500000
103.00000000;0.00000000;0.00000000;3677;4994;35943;-5914;2306.33400000
104.00000000;0.00000000;0.00000000;3678;4995;35943;-5919;2327.74900000
105.00000000;0.00000000;0.00000000;3678;4996;35954;-5925;2352.21400000
106.00000000;0.00000000;0.00000000;3676;4997;35950;-5932;2375.94400000
107.00000000;0.00000000;0.00000000;3673;4997;35956;-5935;2397.47600000
108.00000000;0.00000000;0.00000000;3672;4997;35957;-5935;2418.68100000
109.00000000;0.00000000;0.00000000;3677;4997;35962;-5936;2440.11400000
110.00000000;0.00000000;0.00000000;3677;4995;35969;-5936;2461.08700000
111.00000000;0.00000000;0.00000000;3674;4994;35973;-5938;2483.44800000
112.00000000;0.00000000;0.00000000;3673;4992;35976;-5942;2504.89200000
113.00000000;0.00000000;0.00000000;3669;4988;35980;-5946;2526.09100000
114.00000000;0.00000000;0.00000000;3665;4985;35982;-5951;2546.89000000
115.00000000;0.00000000;0.00000000;3659;4981;35985;-5954;2568.42700000
116.00000000;0.00000000;0.00000000;3654;4975;35989;-5957;2590.17700000
117.00000000;0.00000000;0.00000000;3649;4971;35994;-5959;2611.32500000
118.00000000;0.00000000;0.00000000;3642;4966;36002;-5961;2634.00500000
119.00000000;0.00000000;0.00000000;3637;4961;36011;-5962;2656.17800000
120.00000000;0.00000000;0.00000000;3631;4954;36021;-5965;2678.28400000
121.00000000;0.00000000;0.00000000;3624;4948;36034;-5967;2701.43600000
122.00000000;0.00000000;0.00000000;3617;4951;36045;-5969;2724.47800000
123.00000000;0.00000000;0.00000000;3610;4943;36058;-5972;2747.33400000
124.00000000;0.00000000;0.00000000;3602;4935;36071;-5976;2770.69600000
125.00000000;0.00000000;0.00000000;3601;4928;36077;-5980;2793.02000000
126.00000000;0.00000000;0.00000000;3593;4920;36089;-5983;2815.12200000
127.00000000;0.00000000;0.00000000;3588;4911;36094;-5987;2837.56500000
128.00000000;0.00000000;0.00000000;3580;4903;36109;-5990;2859.71500000
129.00000000;0.00000000;0.00000000;3571;4895;36123;-5993;2881.92000000
130.00000000;0.00000000;0.00000000;3562;4885;36138;-5997;2904.54900000
131.00000000;0.00000000;0.00000000;3556;4876;36146;-6000;2927.02800000
132.00000000;0.00000000;0.00000000;3547;4866;36156;-6004;2950.28900000
133.00000000;0.00000000;0.00000000;3536;4858;36170;-6006;2972.41900000
134.00000000;0.00000000;0.00000000;3535;4849;36173;-6006;2994.47300000
135.00000000;0.00000000;0.00000000;3533;4840;36180;-6006;3017.85000000
136.00000000;0.00000000;0.00000000;3525;4830;36186;-6006;3040.04300000
137.00000000;0.00000000;0.00000000;3515;4821;36192;-6004;3062.29200000
138.00000000;0.00000000;0.00000000;3503;4812;36206;-6003;3085.19700000
139.00000000;0.00000000;0.00000000;3491;4804;36219;-6003;3107.37400000
140.00000000;0.00000000;0.00000000;3482;4794;36223;-6000;3129.43500000
141.00000000;0.00000000;0.00000000;3473;4786;36235;-5996;3152.14700000
142.00000000;0.00000000;0.00000000;3465;4779;36245;-5992;3173.78100000
143.00000000;0.00000000;0.00000000;3467;4771;36245;-5988;3195.53700000
144.00000000;0.00000000;0.00000000;3463;4764;36243;-5984;3217.87000000
145.00000000;0.00000000;0.00000000;3463;4757;36247;-5981;3239.23800000
