counter;event
start;11/9/2022 2:22:43 PM
1;antfreeze_off
38;mode_ergefg_activated
42;display_1bar_white
87;view_cleared
4,390;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,530;mode_#5_activated
4,535;display_black
4,773;view_cleared
8,969;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,202;mode_#4_activated
9,206;display_4bars
9,403;view_cleared
13,428;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,577;mode_#5_activated
13,582;display_projection-horizontale(1)
13,906;view_cleared
20,851;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
20,908;mode_#3_activated
20,913;display_1bar
21,301;view_cleared
27,515;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,650;mode_#5_activated
27,656;display_8bars
27,905;view_cleared
31,378;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
31,410;SUCCESS
end;11/9/2022 2:34:18 PM
