counter;event
start;11/9/2022 2:44:55 PM
1;antfreeze_off
33;mode_#4_activated
37;display_4bars
108;view_cleared
4,357;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,443;mode_ergefg_activated
4,450;display_1bar_white
4,823;view_cleared
9,059;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,115;mode_#3_activated
9,121;display_1bar
9,913;view_cleared
13,620;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,669;mode_#5_activated
13,674;display_black
14,089;view_cleared
18,112;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,388;display_8bars
18,527;view_cleared
22,672;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,785;display_projection-horizontale(1)
23,144;view_cleared
27,326;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,370;SUCCESS
end;11/9/2022 2:55:02 PM
