counter;event
start;11/9/2022 3:12:51 PM
1;antfreeze_off
33;mode_#3_activated
38;display_1bar
74;view_cleared
5,703;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
5,877;mode_#4_activated
5,882;display_4bars
6,149;view_cleared
9,861;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
10,047;mode_#5_activated
10,052;display_8bars
10,283;view_cleared
14,739;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
14,874;mode_ergefg_activated
14,880;display_1bar_white
15,188;view_cleared
20,265;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
20,426;mode_#5_activated
20,431;display_projection-horizontale(1)
20,583;view_cleared
24,313;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
24,410;display_black
24,676;view_cleared
28,322;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
28,364;SUCCESS
end;11/9/2022 3:23:17 PM
