counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;81,972;88,320;225,166;-210,751;0.01400000
1.00000000;0.00000000;0.00000000;81,977;88,326;225,175;-210,777;26.59900000
2.00000000;0.00000000;0.00000000;81,981;88,330;225,181;-210,802;49.30900000
3.00000000;0.00000000;0.00000000;81,986;88,336;225,190;-210,827;74.81400000
4.00000000;0.00000000;0.00000000;81,990;88,337;225,195;-210,849;97.55600000
5.00000000;0.00000000;0.00000000;81,996;88,344;225,201;-210,871;120.14500000
6.00000000;0.00000000;0.00000000;82,000;88,349;225,209;-210,893;143.69400000
7.00000000;0.00000000;0.00000000;82,004;88,353;225,215;-210,912;165.47700000
8.00000000;0.00000000;0.00000000;82,008;88,355;225,219;-210,931;186.66500000
9.00000000;0.00000000;0.00000000;82,011;88,359;225,225;-210,952;209.15800000
10.00000000;0.00000000;0.00000000;82,016;88,363;225,229;-210,971;230.87100000
11.00000000;0.00000000;0.00000000;82,020;88,366;225,234;-210,995;252.70600000
12.00000000;0.00000000;0.00000000;82,024;88,370;225,239;-211,016;276.23500000
13.00000000;0.00000000;0.00000000;82,028;88,372;225,244;-211,036;298.46700000
14.00000000;0.00000000;0.00000000;82,031;88,376;225,246;-211,055;320.73500000
15.00000000;0.00000000;0.00000000;82,035;88,380;225,248;-211,077;343.44500000
16.00000000;0.00000000;0.00000000;82,038;88,383;225,250;-211,098;365.52800000
17.00000000;0.00000000;0.00000000;82,040;88,386;225,253;-211,119;386.72100000
18.00000000;0.00000000;0.00000000;82,042;88,388;225,258;-211,139;410.40400000
19.00000000;0.00000000;0.00000000;82,046;88,391;225,264;-211,158;432.53600000
20.00000000;0.00000000;0.00000000;82,050;88,392;225,269;-211,181;454.41800000
21.00000000;0.00000000;0.00000000;82,052;88,396;225,274;-211,198;477.08000000
22.00000000;0.00000000;0.00000000;82,056;88,399;225,281;-211,217;499.07500000
23.00000000;0.00000000;0.00000000;82,059;88,402;225,288;-211,235;521.34400000
24.00000000;0.00000000;0.00000000;82,062;88,405;225,296;-211,251;543.67400000
25.00000000;0.00000000;0.00000000;82,066;88,408;225,304;-211,270;566.01500000
26.00000000;0.00000000;0.00000000;82,070;88,411;225,310;-211,288;588.01500000
27.00000000;0.00000000;0.00000000;82,074;88,415;225,317;-211,305;610.36300000
28.00000000;0.00000000;0.00000000;82,077;88,419;225,325;-211,323;631.97000000
29.00000000;0.00000000;0.00000000;82,082;88,422;225,332;-211,338;653.81600000
30.00000000;0.00000000;0.00000000;82,087;88,427;225,340;-211,351;676.63800000
31.00000000;0.00000000;0.00000000;82,093;88,432;225,349;-211,369;701.10400000
32.00000000;0.00000000;0.00000000;82,098;88,436;225,355;-211,382;721.62700000
33.00000000;0.00000000;0.00000000;82,103;88,441;225,362;-211,402;748.00000000
34.00000000;0.00000000;0.00000000;82,109;88,446;225,368;-211,421;771.82100000
35.00000000;0.00000000;0.00000000;82,114;88,450;225,374;-211,439;794.30100000
36.00000000;0.00000000;0.00000000;82,118;88,455;225,382;-211,458;816.40500000
37.00000000;0.00000000;0.00000000;82,123;88,459;225,389;-211,474;838.10400000
38.00000000;0.00000000;0.00000000;82,129;88,466;225,392;-211,496;860.88700000
39.00000000;0.00000000;0.00000000;82,133;88,471;225,395;-211,514;883.24300000
