counter;event
start;11/15/2022 1:00:53 PM
1;antfreeze_off
45;mode_#3_activated
51;display_1bar
89;view_cleared
4,393;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,503;mode_#5_activated
4,508;display_8bars
4,887;view_cleared
8,929;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,013;mode_#4_activated
9,017;display_4bars
9,392;view_cleared
13,454;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,521;mode_#5_activated
13,526;display_projection-horizontale(1)
13,904;view_cleared
17,954;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,056;mode_ergefg_activated
18,061;display_1bar_white
18,443;view_cleared
22,573;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,717;mode_#5_activated
22,721;display_black
23,074;view_cleared
27,278;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,396;SUCCESS
end;11/15/2022 1:10:58 PM
