counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;83,751;89,230;240,708;-52,789;0.01500000
1.00000000;0.00000000;0.00000000;83,749;89,221;240,716;-52,784;25.82200000
2.00000000;0.00000000;0.00000000;83,747;89,212;240,715;-52,781;47.28700000
3.00000000;0.00000000;0.00000000;83,739;89,203;240,719;-52,778;69.68400000
4.00000000;0.00000000;0.00000000;83,728;89,193;240,722;-52,776;91.13800000
5.00000000;0.00000000;0.00000000;83,730;89,182;240,724;-52,774;112.96800000
6.00000000;0.00000000;0.00000000;83,732;89,170;240,723;-52,771;136.17700000
7.00000000;0.00000000;0.00000000;83,732;89,156;240,723;-52,771;157.86600000
8.00000000;0.00000000;0.00000000;83,721;89,143;240,721;-52,774;179.91300000
9.00000000;0.00000000;0.00000000;83,708;89,128;240,720;-52,780;203.14700000
10.00000000;0.00000000;0.00000000;83,692;89,115;240,718;-52,787;224.97000000
11.00000000;0.00000000;0.00000000;83,679;89,102;240,712;-52,790;247.45800000
12.00000000;0.00000000;0.00000000;83,667;89,088;240,704;-52,786;270.77500000
13.00000000;0.00000000;0.00000000;83,659;89,080;240,698;-52,779;292.65900000
14.00000000;0.00000000;0.00000000;83,650;89,070;240,693;-52,771;314.67400000
15.00000000;0.00000000;0.00000000;83,642;89,060;240,687;-52,763;337.38100000
16.00000000;0.00000000;0.00000000;83,634;89,051;240,680;-52,757;359.02200000
17.00000000;0.00000000;0.00000000;83,630;89,043;240,673;-52,751;380.61400000
18.00000000;0.00000000;0.00000000;83,622;89,037;240,660;-52,743;403.32900000
19.00000000;0.00000000;0.00000000;83,617;89,033;240,652;-52,738;424.69900000
20.00000000;0.00000000;0.00000000;83,612;89,027;240,644;-52,732;446.48300000
21.00000000;0.00000000;0.00000000;83,608;89,022;240,639;-52,723;468.87100000
22.00000000;0.00000000;0.00000000;83,604;89,017;240,634;-52,711;490.74600000
23.00000000;0.00000000;0.00000000;83,600;89,013;240,627;-52,697;513.43000000
24.00000000;0.00000000;0.00000000;83,596;89,005;240,619;-52,680;536.03600000
25.00000000;0.00000000;0.00000000;83,593;89,000;240,614;-52,665;557.99900000
26.00000000;0.00000000;0.00000000;83,590;88,997;240,609;-52,642;579.70600000
27.00000000;0.00000000;0.00000000;83,586;88,992;240,605;-52,622;601.98800000
28.00000000;0.00000000;0.00000000;83,583;88,987;240,600;-52,603;626.09200000
29.00000000;0.00000000;0.00000000;83,578;88,980;240,596;-52,582;648.09800000
30.00000000;0.00000000;0.00000000;83,576;88,978;240,595;-52,563;670.96500000
31.00000000;0.00000000;0.00000000;83,573;88,973;240,595;-52,539;692.76000000
32.00000000;0.00000000;0.00000000;83,571;88,969;240,597;-52,519;713.88000000
33.00000000;0.00000000;0.00000000;83,568;88,965;240,597;-52,498;736.42200000
34.00000000;0.00000000;0.00000000;83,566;88,961;240,594;-52,480;757.90400000
35.00000000;0.00000000;0.00000000;83,564;88,959;240,592;-52,454;779.72200000
36.00000000;0.00000000;0.00000000;83,561;88,956;240,590;-52,433;802.37700000
37.00000000;0.00000000;0.00000000;83,560;88,954;240,585;-52,412;823.62400000
38.00000000;0.00000000;0.00000000;83,559;88,950;240,577;-52,393;844.05200000
39.00000000;0.00000000;0.00000000;83,559;88,950;240,572;-52,380;864.38800000
40.00000000;0.00000000;0.00000000;83,559;88,949;240,566;-52,378;886.49300000
41.00000000;0.00000000;0.00000000;83,562;88,948;240,560;-52,365;907.56500000
42.00000000;0.00000000;0.00000000;83,563;88,948;240,553;-52,356;928.91200000
43.00000000;0.00000000;0.00000000;83,567;88,947;240,545;-52,351;949.93200000
44.00000000;0.00000000;0.00000000;83,569;88,950;240,541;-52,345;971.30000000
45.00000000;0.00000000;0.00000000;83,574;88,947;240,543;-52,341;992.63900000
46.00000000;0.00000000;0.00000000;83,578;88,946;240,537;-52,331;1,014.49400000
47.00000000;0.00000000;0.00000000;83,583;88,951;240,534;-52,322;1,037.26000000
48.00000000;0.00000000;0.00000000;83,588;88,954;240,531;-52,313;1,059.43100000
49.00000000;0.00000000;0.00000000;83,591;88,957;240,529;-52,304;1,081.40900000
50.00000000;0.00000000;0.00000000;83,597;88,951;240,530;-52,298;1,104.80900000
51.00000000;0.00000000;0.00000000;83,602;88,948;240,533;-52,292;1,126.94400000
52.00000000;0.00000000;0.00000000;83,605;88,944;240,541;-52,285;1,148.76000000
53.00000000;0.00000000;0.00000000;83,610;88,947;240,550;-52,280;1,170.90400000
54.00000000;0.00000000;0.00000000;83,614;88,952;240,558;-52,269;1,192.69100000
55.00000000;0.00000000;0.00000000;83,617;88,954;240,562;-52,256;1,214.43900000
56.00000000;0.00000000;0.00000000;83,621;88,958;240,565;-52,239;1,236.78700000
57.00000000;0.00000000;0.00000000;83,624;88,962;240,566;-52,222;1,257.98100000
58.00000000;0.00000000;0.00000000;83,628;88,964;240,567;-52,201;1,280.07800000
59.00000000;0.00000000;0.00000000;83,632;88,966;240,568;-52,182;1,303.01800000
60.00000000;0.00000000;0.00000000;83,635;88,969;240,566;-52,164;1,324.71900000
61.00000000;0.00000000;0.00000000;83,638;88,972;240,560;-52,146;1,346.97800000
62.00000000;0.00000000;0.00000000;83,640;88,978;240,555;-52,129;1,370.67600000
63.00000000;0.00000000;0.00000000;83,644;88,983;240,552;-52,114;1,393.09400000
64.00000000;0.00000000;0.00000000;83,648;88,987;240,551;-52,096;1,415.43600000
65.00000000;0.00000000;0.00000000;83,654;88,991;240,551;-52,081;1,438.98400000
66.00000000;0.00000000;0.00000000;83,658;88,995;240,548;-52,066;1,460.81400000
67.00000000;0.00000000;0.00000000;83,663;89,000;240,544;-52,055;1,482.59100000
68.00000000;0.00000000;0.00000000;83,669;89,006;240,540;-52,042;1,505.23500000
69.00000000;0.00000000;0.00000000;83,674;89,011;240,538;-52,029;1,527.31000000
70.00000000;0.00000000;0.00000000;83,679;89,016;240,536;-52,016;1,549.11700000
71.00000000;0.00000000;0.00000000;83,686;89,021;240,536;-52,006;1,571.92400000
72.00000000;0.00000000;0.00000000;83,691;89,027;240,535;-51,994;1,594.05800000
73.00000000;0.00000000;0.00000000;83,697;89,034;240,532;-51,981;1,619.57600000
74.00000000;0.00000000;0.00000000;83,705;89,041;240,530;-51,971;1,643.56300000
75.00000000;0.00000000;0.00000000;83,711;89,047;240,530;-51,961;1,665.99500000
76.00000000;0.00000000;0.00000000;83,720;89,055;240,530;-51,952;1,688.74700000
77.00000000;0.00000000;0.00000000;83,728;89,062;240,529;-51,946;1,710.44400000
78.00000000;0.00000000;0.00000000;83,737;89,071;240,526;-51,940;1,731.87100000
79.00000000;0.00000000;0.00000000;83,744;89,081;240,524;-51,936;1,754.81000000
80.00000000;0.00000000;0.00000000;83,752;89,090;240,522;-51,930;1,776.90400000
81.00000000;0.00000000;0.00000000;83,762;89,100;240,522;-51,923;1,799.43800000
82.00000000;0.00000000;0.00000000;83,771;89,109;240,525;-51,912;1,822.13200000
83.00000000;0.00000000;0.00000000;83,778;89,117;240,530;-51,901;1,843.57000000
84.00000000;0.00000000;0.00000000;83,785;89,123;240,536;-51,894;1,864.98600000
85.00000000;0.00000000;0.00000000;83,793;89,130;240,543;-51,884;1,887.38000000
86.00000000;0.00000000;0.00000000;83,800;89,136;240,549;-51,874;1,908.66700000
87.00000000;0.00000000;0.00000000;83,807;89,144;240,557;-51,862;1,930.08100000
88.00000000;0.00000000;0.00000000;83,814;89,152;240,563;-51,854;1,951.16500000
89.00000000;0.00000000;0.00000000;83,820;89,158;240,571;-51,845;1,972.45100000
90.00000000;0.00000000;0.00000000;83,827;89,164;240,578;-51,836;1,993.92300000
91.00000000;0.00000000;0.00000000;83,832;89,168;240,587;-51,832;2,015.93300000
92.00000000;0.00000000;0.00000000;83,838;89,175;240,593;-51,826;2,039.05600000
93.00000000;0.00000000;0.00000000;83,843;89,179;240,600;-51,825;2,061.26600000
94.00000000;0.00000000;0.00000000;83,846;89,184;240,607;-51,814;2,083.11300000
95.00000000;0.00000000;0.00000000;83,851;89,189;240,615;-51,804;2,106.23700000
96.00000000;0.00000000;0.00000000;83,856;89,192;240,623;-51,794;2,127.70100000
97.00000000;0.00000000;0.00000000;83,860;89,195;240,632;-51,785;2,149.97900000
98.00000000;0.00000000;0.00000000;83,863;89,198;240,639;-51,776;2,172.49100000
99.00000000;0.00000000;0.00000000;83,866;89,201;240,646;-51,766;2,194.58800000
100.00000000;0.00000000;0.00000000;83,868;89,202;240,651;-51,756;2,215.79500000
101.00000000;0.00000000;0.00000000;83,870;89,201;240,656;-51,748;2,238.39300000
102.00000000;0.00000000;0.00000000;83,871;89,203;240,662;-51,737;2,259.91300000
103.00000000;0.00000000;0.00000000;83,872;89,203;240,669;-51,726;2,281.37300000
104.00000000;0.00000000;0.00000000;83,874;89,202;240,676;-51,719;2,304.11500000
105.00000000;0.00000000;0.00000000;83,874;89,199;240,679;-51,711;2,325.41600000
