counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;91,232;81,432;363,617;67,620;0.01500000
1.00000000;0.00000000;0.00000000;91,237;81,437;363,621;67,620;27.27000000
2.00000000;0.00000000;0.00000000;91,240;81,439;363,622;67,620;48.93000000
3.00000000;0.00000000;0.00000000;91,242;81,441;363,623;67,619;70.90100000
4.00000000;0.00000000;0.00000000;91,243;81,442;363,623;67,619;93.45300000
5.00000000;0.00000000;0.00000000;91,244;81,442;363,623;67,618;114.79600000
6.00000000;0.00000000;0.00000000;91,244;81,442;363,620;67,618;135.87000000
7.00000000;0.00000000;0.00000000;91,244;81,442;363,619;67,618;157.79800000
8.00000000;0.00000000;0.00000000;91,244;81,442;363,618;67,618;178.72500000
9.00000000;0.00000000;0.00000000;91,242;81,442;363,618;67,618;199.39300000
10.00000000;0.00000000;0.00000000;91,241;81,439;363,618;67,620;221.23400000
11.00000000;0.00000000;0.00000000;91,239;81,436;363,618;67,620;243.53300000
12.00000000;0.00000000;0.00000000;91,237;81,434;363,618;67,620;265.82700000
13.00000000;0.00000000;0.00000000;91,235;81,432;363,618;67,620;288.16800000
14.00000000;0.00000000;0.00000000;91,232;81,429;363,618;67,620;310.62300000
15.00000000;0.00000000;0.00000000;91,231;81,426;363,618;67,620;332.86500000
16.00000000;0.00000000;0.00000000;91,226;81,425;363,617;67,620;354.74900000
17.00000000;0.00000000;0.00000000;91,224;81,421;363,617;67,620;377.82800000
18.00000000;0.00000000;0.00000000;91,221;81,419;363,617;67,620;400.89500000
19.00000000;0.00000000;0.00000000;91,218;81,415;363,616;67,620;423.77200000
20.00000000;0.00000000;0.00000000;91,216;81,413;363,616;67,620;446.83700000
21.00000000;0.00000000;0.00000000;91,213;81,410;363,615;67,620;469.96000000
22.00000000;0.00000000;0.00000000;91,210;81,406;363,612;67,620;493.77200000
23.00000000;0.00000000;0.00000000;91,207;81,403;363,609;67,618;517.06900000
24.00000000;0.00000000;0.00000000;91,204;81,399;363,606;67,616;538.17200000
25.00000000;0.00000000;0.00000000;91,199;81,393;363,602;67,614;560.95900000
26.00000000;0.00000000;0.00000000;91,194;81,388;363,598;67,612;582.90100000
