counter;event
start;11/15/2022 1:36:18 PM
1;view_cleared
1;antfreeze_off
4,13;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,181;display_black
4,979;view_cleared
9,132;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,188;display_8bars
9,284;view_cleared
13,669;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13740;mode_ergefg_activated
13,746;display_1bar_white
14,152;view_cleared
18,018;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,091;mode_#3_activated
18,095;display_1bar
18,496;view_cleared
22,694;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,787;mode_#4_activated
22,792;display_4bars
23,167;view_cleared
28040;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
28,084;SUCCESS
end;11/15/2022 1:46:36 PM
