counter;event
start;11/15/2022 3:41:25 PM
1;antfreeze_off
30;mode_#5_activated
35;display_8bars
76;view_cleared
4,287;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,372;mode_#3_activated
4,378;display_1bar
4,747;view_cleared
8,940;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,039;mode_#5_activated
9,044;display_projection-horizontale(1)
9,387;view_cleared
13,917;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
14,090;mode_#4_activated
14,094;display_4bars
14,235;view_cleared
18,054;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,249;mode_#5_activated
18,255;display_black
18,514;view_cleared
22,719;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,803;mode_ergefg_activated
22,809;display_1bar_white
22,878;view_cleared
27,150;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,210;SUCCESS
end;11/15/2022 3:51:29 PM
