counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;84,398;86,578;244,959;-274,101;0.01500000
1.00000000;0.00000000;0.00000000;84,384;86,566;244,965;-274,106;27.48800000
2.00000000;0.00000000;0.00000000;84,373;86,554;244,969;-274,109;50.49100000
3.00000000;0.00000000;0.00000000;84,364;86,545;244,973;-274,112;73.03600000
4.00000000;0.00000000;0.00000000;84,357;86,538;244,976;-274,115;97.06400000
5.00000000;0.00000000;0.00000000;84,348;86,531;244,980;-274,119;120.09200000
6.00000000;0.00000000;0.00000000;84,339;86,525;244,985;-274,123;143.29300000
7.00000000;0.00000000;0.00000000;84,330;86,527;244,990;-274,124;165.98800000
8.00000000;0.00000000;0.00000000;84,322;86,525;244,996;-274,128;188.55500000
9.00000000;0.00000000;0.00000000;84,316;86,519;245,002;-274,133;210.94600000
10.00000000;0.00000000;0.00000000;84,309;86,513;245,008;-274,138;232.71600000
11.00000000;0.00000000;0.00000000;84,304;86,508;245,014;-274,142;254.38200000
12.00000000;0.00000000;0.00000000;84,300;86,505;245,018;-274,145;276.47200000
13.00000000;0.00000000;0.00000000;84,297;86,503;245,022;-274,147;298.55800000
14.00000000;0.00000000;0.00000000;84,295;86,501;245,026;-274,147;320.19200000
15.00000000;0.00000000;0.00000000;84,293;86,499;245,030;-274,147;341.86500000
16.00000000;0.00000000;0.00000000;84,292;86,499;245,035;-274,147;364.04300000
17.00000000;0.00000000;0.00000000;84,292;86,499;245,038;-274,148;387.41200000
18.00000000;0.00000000;0.00000000;84,295;86,501;245,042;-274,148;411.89100000
19.00000000;0.00000000;0.00000000;84,298;86,505;245,046;-274,148;433.94200000
20.00000000;0.00000000;0.00000000;84,303;86,511;245,051;-274,149;455.00800000
21.00000000;0.00000000;0.00000000;84,310;86,518;245,056;-274,151;477.02600000
22.00000000;0.00000000;0.00000000;84,317;86,524;245,061;-274,154;499.55200000
23.00000000;0.00000000;0.00000000;84,326;86,532;245,066;-274,158;521.76500000
24.00000000;0.00000000;0.00000000;84,334;86,541;245,073;-274,161;543.92800000
25.00000000;0.00000000;0.00000000;84,343;86,551;245,080;-274,166;566.22600000
26.00000000;0.00000000;0.00000000;84,351;86,559;245,088;-274,171;588.44700000
27.00000000;0.00000000;0.00000000;84,363;86,571;245,094;-274,176;613.51600000
28.00000000;0.00000000;0.00000000;84,374;86,581;245,100;-274,179;636.99000000
29.00000000;0.00000000;0.00000000;84,385;86,593;245,105;-274,181;659.91700000
30.00000000;0.00000000;0.00000000;84,396;86,604;245,110;-274,184;683.23100000
31.00000000;0.00000000;0.00000000;84,406;86,614;245,115;-274,187;705.46400000
32.00000000;0.00000000;0.00000000;84,417;86,624;245,121;-274,191;726.87300000
33.00000000;0.00000000;0.00000000;84,429;86,636;245,128;-274,197;749.97700000
34.00000000;0.00000000;0.00000000;84,441;86,648;245,136;-274,202;772.08300000
35.00000000;0.00000000;0.00000000;84,451;86,659;245,142;-274,207;793.78200000
36.00000000;0.00000000;0.00000000;84,463;86,671;245,150;-274,212;816.80400000
37.00000000;0.00000000;0.00000000;84,473;86,682;245,156;-274,215;838.45300000
38.00000000;0.00000000;0.00000000;84,485;86,693;245,163;-274,218;860.62900000
39.00000000;0.00000000;0.00000000;84,495;86,704;245,169;-274,219;883.23200000
40.00000000;0.00000000;0.00000000;84,506;86,716;245,176;-274,222;905.24500000
41.00000000;0.00000000;0.00000000;84,516;86,726;245,182;-274,224;927.06800000
42.00000000;0.00000000;0.00000000;84,527;86,736;245,186;-274,227;949.92800000
43.00000000;0.00000000;0.00000000;84,536;86,746;245,188;-274,231;971.86100000
44.00000000;0.00000000;0.00000000;84,545;86,755;245,190;-274,235;993.74700000
45.00000000;0.00000000;0.00000000;84,555;86,765;245,192;-274,238;1,016.63600000
46.00000000;0.00000000;0.00000000;84,564;86,774;245,195;-274,241;1,038.83500000
47.00000000;0.00000000;0.00000000;84,572;86,782;245,198;-274,243;1,060.72100000
48.00000000;0.00000000;0.00000000;84,581;86,791;245,202;-274,246;1,083.45300000
49.00000000;0.00000000;0.00000000;84,590;86,800;245,208;-274,247;1,105.97300000
50.00000000;0.00000000;0.00000000;84,598;86,807;245,212;-274,249;1,127.75300000
51.00000000;0.00000000;0.00000000;84,605;86,814;245,217;-274,251;1,150.19000000
