counter;event
start;11/15/2022 4:04:22 PM
1;antfreeze_off
35;mode_#5_activated
40;display_projection-horizontale(1)
82;view_cleared
4,350;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,484;display_8bars
4,795;view_cleared
9,179;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,307;display_black
9,668;view_cleared
13,579;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,631;mode_#3_activated
13,636;display_1bar
13,868;view_cleared
18,070;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,181;mode_ergefg_activated
18,186;display_1bar_white
18,482;view_cleared
22,520;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,594;mode_#4_activated
22,601;display_4bars
22,960;view_cleared
27,089;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,163;SUCCESS
end;11/15/2022 4:14:27 PM
