counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;1,427;1,374;1,842;232;2.55000000
1.00000000;0.00000000;0.00000000;1,439;1,386;1,856;232;23.17000000
2.00000000;0.00000000;0.00000000;1,454;1,400;1,868;234;46.38200000
3.00000000;0.00000000;0.00000000;1,468;1,413;1,878;235;68.35500000
4.00000000;0.00000000;0.00000000;1,480;1,425;1,886;238;90.19100000
5.00000000;0.00000000;0.00000000;1,494;1,439;1,895;242;113.18500000
6.00000000;0.00000000;0.00000000;1,507;1,450;1,901;246;135.10800000
7.00000000;0.00000000;0.00000000;1,521;1,463;1,909;250;157.02500000
8.00000000;0.00000000;0.00000000;1,536;1,476;1,917;252;181.09100000
9.00000000;0.00000000;0.00000000;1,551;1,491;1,926;254;205.76300000
10.00000000;0.00000000;0.00000000;1,565;1,504;1,931;256;231.10400000
11.00000000;0.00000000;0.00000000;1,578;1,517;1,934;256;254.53800000
12.00000000;0.00000000;0.00000000;1,588;1,528;1,934;256;275.54400000
13.00000000;0.00000000;0.00000000;1,599;1,538;1,934;254;297.37900000
14.00000000;0.00000000;0.00000000;1,611;1,548;1,934;253;319.10500000
15.00000000;0.00000000;0.00000000;1,620;1,557;1,932;253;341.07900000
16.00000000;0.00000000;0.00000000;1,630;1,567;1,932;253;363.98200000
17.00000000;0.00000000;0.00000000;1,639;1,576;1,932;252;386.37800000
18.00000000;0.00000000;0.00000000;1,646;1,581;1,934;252;408.08100000
19.00000000;0.00000000;0.00000000;1,651;1,587;1,935;252;430.81300000
20.00000000;0.00000000;0.00000000;1,657;1,593;1,935;252;452.73800000
21.00000000;0.00000000;0.00000000;1,662;1,597;1,935;252;474.52400000
22.00000000;0.00000000;0.00000000;1,665;1,600;1,935;252;497.54000000
23.00000000;0.00000000;0.00000000;1,667;1,602;1,935;251;519.21000000
24.00000000;0.00000000;0.00000000;1,668;1,603;1,935;251;541.01300000
25.00000000;0.00000000;0.00000000;1,668;1,603;1,935;251;563.31700000
26.00000000;0.00000000;0.00000000;1,668;1,603;1,935;251;584.60300000
27.00000000;0.00000000;0.00000000;1,666;1,603;1,935;251;606.25200000
28.00000000;0.00000000;0.00000000;1,665;1,601;1,935;251;628.78000000
29.00000000;0.00000000;0.00000000;1,663;1,598;1,935;251;650.88600000
30.00000000;0.00000000;0.00000000;1,660;1,596;1,935;251;673.23000000
31.00000000;0.00000000;0.00000000;1,657;1,593;1,935;251;697.07700000
32.00000000;0.00000000;0.00000000;1,654;1,590;1,935;251;719.53500000
33.00000000;0.00000000;0.00000000;1,651;1,587;1,935;251;741.68200000
34.00000000;0.00000000;0.00000000;1,648;1,585;1,935;251;764.35800000
35.00000000;0.00000000;0.00000000;1,646;1,582;1,935;253;786.11100000
36.00000000;0.00000000;0.00000000;1,643;1,580;1,935;253;807.87400000
37.00000000;0.00000000;0.00000000;1,640;1,577;1,935;253;830.95200000
38.00000000;0.00000000;0.00000000;1,638;1,574;1,935;253;852.61100000
39.00000000;0.00000000;0.00000000;1,635;1,572;1,935;253;874.44300000
40.00000000;0.00000000;0.00000000;1,633;1,570;1,935;253;897.60200000
41.00000000;0.00000000;0.00000000;1,631;1,569;1,935;254;918.91800000
42.00000000;0.00000000;0.00000000;1,629;1,567;1,936;257;941.01900000
43.00000000;0.00000000;0.00000000;1,628;1,565;1,940;260;964.70700000
44.00000000;0.00000000;0.00000000;1,627;1,565;1,945;265;986.38400000
45.00000000;0.00000000;0.00000000;1,627;1,565;1,952;270;1,007.82800000
46.00000000;0.00000000;0.00000000;1,629;1,565;1,958;275;1,030.01900000
47.00000000;0.00000000;0.00000000;1,631;1,568;1,967;280;1,051.97400000
48.00000000;0.00000000;0.00000000;1,633;1,570;1,977;285;1,074.71900000
49.00000000;0.00000000;0.00000000;1,637;1,573;1,989;289;1,097.46800000
50.00000000;0.00000000;0.00000000;1,640;1,576;1,999;291;1,119.22900000
51.00000000;0.00000000;0.00000000;1,644;1,580;2,009;294;1,141.48000000
52.00000000;0.00000000;0.00000000;1,648;1,584;2,017;297;1,164.62900000
53.00000000;0.00000000;0.00000000;1,652;1,590;2,024;300;1,186.46600000
54.00000000;0.00000000;0.00000000;1,656;1,596;2,032;304;1,208.53700000
55.00000000;0.00000000;0.00000000;1,662;1,601;2,042;308;1,231.51900000
56.00000000;0.00000000;0.00000000;1,667;1,607;2,053;310;1,253.69900000
57.00000000;0.00000000;0.00000000;1,672;1,612;2,062;312;1,275.43100000
58.00000000;0.00000000;0.00000000;1,678;1,618;2,073;314;1,298.20100000
59.00000000;0.00000000;0.00000000;1,684;1,624;2,081;315;1,320.07400000
60.00000000;0.00000000;0.00000000;1,689;1,630;2,088;316;1,342.19300000
61.00000000;0.00000000;0.00000000;1,696;1,637;2,099;317;1,365.09100000
62.00000000;0.00000000;0.00000000;1,702;1,643;2,110;317;1,386.73800000
63.00000000;0.00000000;0.00000000;1,708;1,650;2,122;317;1,408.57800000
64.00000000;0.00000000;0.00000000;1,716;1,657;2,137;317;1,433.09500000
65.00000000;0.00000000;0.00000000;1,721;1,662;2,148;317;1,455.60900000
66.00000000;0.00000000;0.00000000;1,726;1,667;2,160;313;1,478.52200000
67.00000000;0.00000000;0.00000000;1,731;1,673;2,171;310;1,500.64200000
68.00000000;0.00000000;0.00000000;1,736;1,677;2,180;307;1,522.34900000
69.00000000;0.00000000;0.00000000;1,740;1,682;2,187;304;1,543.22300000
70.00000000;0.00000000;0.00000000;1,744;1,686;2,194;302;1,565.21600000
71.00000000;0.00000000;0.00000000;1,748;1,691;2,200;301;1,587.06300000
72.00000000;0.00000000;0.00000000;1,752;1,693;2,205;301;1,608.60000000
73.00000000;0.00000000;0.00000000;1,755;1,697;2,212;301;1,631.10800000
74.00000000;0.00000000;0.00000000;1,759;1,700;2,217;301;1,653.03000000
75.00000000;0.00000000;0.00000000;1,761;1,702;2,218;301;1,674.56800000
76.00000000;0.00000000;0.00000000;1,764;1,705;2,218;301;1,697.02800000
77.00000000;0.00000000;0.00000000;1,766;1,708;2,215;301;1,718.50800000
78.00000000;0.00000000;0.00000000;1,767;1,710;2,213;301;1,739.80800000
79.00000000;0.00000000;0.00000000;1,768;1,711;2,212;301;1,760.70300000
80.00000000;0.00000000;0.00000000;1,770;1,712;2,212;301;1,786.64500000
81.00000000;0.00000000;0.00000000;1,771;1,713;2,212;301;1,807.90700000
82.00000000;0.00000000;0.00000000;1,772;1,714;2,212;301;1,829.66000000
83.00000000;0.00000000;0.00000000;1,772;1,714;2,212;301;1,849.91300000
84.00000000;0.00000000;0.00000000;1,772;1,715;2,212;301;1,869.92600000
85.00000000;0.00000000;0.00000000;1,772;1,715;2,212;301;1,890.85200000
86.00000000;0.00000000;0.00000000;1,772;1,715;2,212;301;1,915.30300000
87.00000000;0.00000000;0.00000000;1,772;1,715;2,212;301;1,937.36100000
88.00000000;0.00000000;0.00000000;1,772;1,715;2,212;304;1,958.24800000
89.00000000;0.00000000;0.00000000;1,772;1,715;2,216;305;1,979.77600000
90.00000000;0.00000000;0.00000000;1,772;1,715;2,220;308;2,000.28100000
91.00000000;0.00000000;0.00000000;1,772;1,715;2,224;309;2,020.30800000
92.00000000;0.00000000;0.00000000;1,773;1,715;2,229;312;2,041.66700000
93.00000000;0.00000000;0.00000000;1,775;1,717;2,237;317;2,063.96600000
94.00000000;0.00000000;0.00000000;1,777;1,718;2,245;321;2,085.63300000
95.00000000;0.00000000;0.00000000;1,779;1,720;2,255;326;2,107.39600000
96.00000000;0.00000000;0.00000000;1,783;1,723;2,266;331;2,132.43800000
97.00000000;0.00000000;0.00000000;1,786;1,725;2,275;336;2,153.89700000
98.00000000;0.00000000;0.00000000;1,789;1,728;2,282;338;2,175.09300000
99.00000000;0.00000000;0.00000000;1,793;1,731;2,289;342;2,197.71000000
100.00000000;0.00000000;0.00000000;1,795;1,734;2,296;344;2,218.73700000
101.00000000;0.00000000;0.00000000;1,800;1,740;2,303;347;2,240.29100000
