counter;event
start;10/6/2022 11:29:23 AM
1;antfreeze_off
65;view_cleared
4,137;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,198;mode_ergefg_activated
4,203;display_white
4,586;view_cleared
8,664;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
8,821;mode_#3_activated
8,827;display_horizontal
9,099;view_cleared
13,386;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13470;rot_gain_set_to_0
13,588;mode_#1_activated
13,592;display_live
13,933;view_cleared
18,306;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,639;rot_gain_set_to_2.5
18,765;view_cleared
22,814;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,893;mode_#4_activated
22,898;display_vertical
23,247;view_cleared
27,765;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27830;SUCCESS
end;10/6/2022 11:39:35 AM
