counter;event
start;10/6/2022 12:03:25 PM
1;antfreeze_off
40;mode_ergefg_activated
44;display_white
99;view_cleared
4,585;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,651;mode_#1_activated
4,656;display_live
4,725;rot_gain_set_to_0
4,775;movedto_0;0
4,775;rotatedto_230degs
5,021;view_cleared
9,431;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,524;rot_gain_set_to_1
9,606;mode_#5_activated
9,610;display_black
9,678;view_cleared
13,719;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,803;mode_#4_activated
13,808;display_vertical
14,140;view_cleared
18,220;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,309;mode_#3_activated
18,314;display_horizontal
18,642;view_cleared
22,859;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,918;mode_#1_activated
22,921;display_live
22,986;rot_gain_set_to_2.5
23,247;view_cleared
27,402;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,446;SUCCESS
end;10/6/2022 12:13:31 PM
